id,source,text,arguments
0,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps began and ended the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
1,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps begins and ends the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
2,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps can begin and end the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
3,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps can promptly begin and end the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
4,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps has begun and ended the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
5,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps has promptly begun and ended the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
6,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps is able to begin and end the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
7,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps is able to promptly begin and end the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
8,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps is assumed to have begun and ended the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
9,EGRAM,"Bending of 31 into the major groove over the CC and CT base pair steps is assumed to have promptly begun and ended the CArG-box, and 15 into the minor groove over the five central TA, AA and AT base pair steps.",{'0': 'bending of 31 into the major groove over the CC and CT base pair steps'}
