id,source,text,arguments
0,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance can be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
1,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance can have been conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
2,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance could be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
3,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance has been able to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
4,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance has been conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
5,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is able to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
6,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is believed to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
7,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is believed to have been conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
8,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
9,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is observed to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
10,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance is shown to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
11,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance may be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
12,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance may have been conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
13,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance might be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
14,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance was able to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
15,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance was believed to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
16,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance was conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
17,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance was observed to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
18,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance was shown to be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
19,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance will be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
20,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance will have been conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
