id,source,text,arguments
0,EGRAM,"Alternative mRNA splicing in the coding region (encoded by exons 3-12) generates transcripts deleting exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt) and that encode distinct protein isoforms (delta25, delta52 and delta56 aa, respectively).","{'1': 'exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt)', '2': 'transcripts'}"
1,EGRAM,"Alternative mRNA splicing in the coding region (encoded by exons 3-12) generates transcripts which can delete exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt) and that encode distinct protein isoforms (delta25, delta52 and delta56 aa, respectively).","{'1': 'exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt)', '2': 'transcripts'}"
2,EGRAM,"Alternative mRNA splicing in the coding region (encoded by exons 3-12) generates transcripts which deleted exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt) and that encode distinct protein isoforms (delta25, delta52 and delta56 aa, respectively).","{'1': 'exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt)', '2': 'transcripts'}"
3,EGRAM,"Alternative mRNA splicing in the coding region (encoded by exons 3-12) generates transcripts which have deleted exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt) and that encode distinct protein isoforms (delta25, delta52 and delta56 aa, respectively).","{'1': 'exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt)', '2': 'transcripts'}"
4,EGRAM,Appropriate progenitor strains may now be constructed to delete virtually any chromosomal region by utilizing an extensive collection of lines containing single P element insertions throughout the Drosophila genome.,"{'0': 'Appropriate progenitor strains', '1': 'any chromosomal region'}"
5,EGRAM,Appropriate progenitor strains will be constructed to delete virtually any chromosomal region by utilizing an extensive collection of lines containing single P element insertions throughout the Drosophila genome.,"{'0': 'Appropriate progenitor strains', '1': 'any chromosomal region'}"
6,EGRAM,"By using homologous recombination in mouse embryonic stem cells, the headpiece domain of dematin is deleted to evaluate its function in vivo.","{'0': 'using homologous recombination in mouse embryonic stem cells', '1': 'the headpiece domain of dematin'}"
7,EGRAM,"By using homologous recombination in mouse embryonic stem cells, the headpiece domain of dematin will be deleted to evaluate its function in vivo.","{'0': 'using homologous recombination in mouse embryonic stem cells', '1': 'the headpiece domain of dematin'}"
8,EGRAM,Colonies of C.albicans cells being deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
9,EGRAM,Colonies of C.albicans cells that are deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
10,EGRAM,Colonies of C.albicans cells that can be deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
11,EGRAM,Colonies of C.albicans cells which CST20 deleted revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
12,EGRAM,Colonies of C.albicans cells which are deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
13,EGRAM,Colonies of C.albicans cells deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
14,EGRAM,Colonies of C.albicans cells which were deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,"{'1': 'Colonies of C.albicans cells', '2': 'CST20'}"
15,EGRAM,"Exon 4 sequences may be deleted by alternative messenger RNA (mRNA) splicing, resulting in a mRNA that does not encode a functional IL-2 receptor.","{'0': 'Alternative messenger RNA (mRNA) splicing', '1': 'exon 4 sequences', 'M-MOD': 'may'}"
16,EGRAM,From both the man and mouse we have isolated an alternative spliced form of Dmc1 cDNA (Dmc1-d) being deleted for a region between the two motifs involved in nucleotide binding.,"{'1': 'an alternative spliced form of Dmc1 cDNA (Dmc1-d)', '2': 'a region between the two motifs'}"
17,EGRAM,From both the man and mouse we have isolated an alternative spliced form of Dmc1 cDNA (Dmc1-d) deleted for a region between the two motifs involved in nucleotide binding.,"{'1': 'an alternative spliced form of Dmc1 cDNA (Dmc1-d)', '2': 'a region between the two motifs'}"
18,EGRAM,From both the man and mouse we have isolated an alternative spliced form of Dmc1 cDNA (Dmc1-d) that can be deleted for a region between the two motifs involved in nucleotide binding.,"{'1': 'an alternative spliced form of Dmc1 cDNA (Dmc1-d)', '2': 'a region between the two motifs'}"
19,EGRAM,From both the man and mouse we have isolated an alternative spliced form of Dmc1 cDNA (Dmc1-d) which was deleted for a region between the two motifs involved in nucleotide binding.,"{'1': 'an alternative spliced form of Dmc1 cDNA (Dmc1-d)', '2': 'a region between the two motifs'}"
20,EGRAM,"However, the GATA-4 mutants being able to delete the C-terminal transactivition domain (1  332, 201  332) were all unable to support MEF2 synergy.","{'1': 'C-terminal transactivition domain', '2': 'the GATA-4 mutants'}"
21,EGRAM,"However, the GATA-4 mutants deleting the C-terminal transactivition domain (1  332, 201  332) were all unable to support MEF2 synergy.","{'1': 'C-terminal transactivition domain', '2': 'the GATA-4 mutants'}"
22,EGRAM,"However, the GATA-4 mutants that make the C-terminal transactivition domain (1  332, 201  332) deleted were all unable to support MEF2 synergy.","{'1': 'C-terminal transactivition domain', '2': 'the GATA-4 mutants'}"
23,EGRAM,"However, the GATA-4 mutants which can delete the C-terminal transactivition domain (1  332, 201  332) were all unable to support MEF2 synergy.","{'1': 'C-terminal transactivition domain', '2': 'the GATA-4 mutants'}"
24,EGRAM,"However, the GATA-4 mutants which deleted the C-terminal transactivition domain (1  332, 201  332) were all unable to support MEF2 synergy.","{'1': 'C-terminal transactivition domain', '2': 'the GATA-4 mutants'}"
25,EGRAM,"In plasmid ErbB-2: S-D, the ZONAB binding has been deleted, and in ErbB-2: S-A the inverted CCAAT box has been substituted.","{'1': 'the ZONAB binding', '2': 'plasmid ErbB-2: S-D'}"
26,EGRAM,"In plasmid ErbB-2: S-D, the ZONAB binding is deleted, and in ErbB-2: S-A the inverted CCAAT box is substituted.","{'1': 'the ZONAB binding', '2': 'plasmid ErbB-2: S-D'}"
27,EGRAM,"In the presence of the phage P1 cyclization recombinase cre, the transposon could delete the URA3, tetA, and lacZ genes between the two loxP sites.","{'0': 'the transposon', '1': 'the URA3, tetA, and lacZ genes between the two loxP sites'}"
28,EGRAM,"In the presence of the phage P1 cyclization recombinase cre, the transposon is able to delete the URA3, tetA, and lacZ genes between the two loxP sites.","{'0': 'the transposon', '1': 'the URA3, tetA, and lacZ genes between the two loxP sites'}"
29,EGRAM,"In the presence of the phage P1 cyclization recombinase cre, the transposon may delete the URA3, tetA, and lacZ genes between the two loxP sites.","{'0': 'the transposon', '1': 'the URA3, tetA, and lacZ genes between the two loxP sites'}"
30,EGRAM,Mutation of the hns gene in E. coli has resulted in strong expression of the V. fischeri lux system at low cell density even in an rpoS that deleted strain of E. coli that emits very low levels of luminescence.,"{'1': 'strain of E. coli that emits very low levels of luminescence', '2': 'rpoS'}"
31,EGRAM,Mutation of the hns gene in E. coli has resulted in strong expression of the V. fischeri lux system at low cell density even in an rpoS which has deleted strain of E. coli that emits very low levels of luminescence.,"{'1': 'strain of E. coli that emits very low levels of luminescence', '2': 'rpoS'}"
32,EGRAM,"Of note, the V82F mutation, which occurs adjacent to the 5 donor site of intron 4, resulted in approximately 54% aberrantly spliced transcripts where exon 4 has been deleted.","{'1': 'exon 4', '2': 'aberrantly spliced transcripts'}"
33,EGRAM,"Of note, the V82F mutation, which occurs adjacent to the 5 donor site of intron 4, resulted in approximately 54% aberrantly spliced transcripts where exon 4 is deleted.","{'1': 'exon 4', '2': 'aberrantly spliced transcripts'}"
34,EGRAM,"Of note, the V82F mutation, which occurs adjacent to the 5 donor site of intron 4, resulted in approximately 54% aberrantly spliced transcripts where exon 4 was deleted.","{'1': 'exon 4', '2': 'aberrantly spliced transcripts'}"
35,EGRAM,"Of note, the V82F mutation, which occurs adjacent to the 5 donor site of intron 4, resulted in approximately 54% aberrantly spliced transcripts with exon 4 being deleted.","{'1': 'exon 4', '2': 'aberrantly spliced transcripts'}"
36,EGRAM,"Of the splicing mutations, the IVS2+1 allele produced a single transcript where exon 2 can be deleted.","{'1': 'exon 2', '2': 'a single transcript'}"
37,EGRAM,"Of the splicing mutations, the IVS2+1 allele produced a single transcript where exon 2 has been deleted.","{'1': 'exon 2', '2': 'a single transcript'}"
38,EGRAM,"Of the splicing mutations, the IVS2+1 allele produced a single transcript where exon 2 is deleted.","{'1': 'exon 2', '2': 'a single transcript'}"
39,EGRAM,"Of the splicing mutations, the IVS2+1 allele produced a single transcript where exon 2 was deleted.","{'1': 'exon 2', '2': 'a single transcript'}"
40,EGRAM,"Of the splicing mutations, the IVS9 delta A+4 allele was alternatively spliced, approximately 26% being normal transcripts and the remainder where exon 9 can be deleted.","{'1': 'exon 9', '2': 'the remainder'}"
41,EGRAM,"Of the splicing mutations, the IVS9 delta A+4 allele was alternatively spliced, approximately 26% being normal transcripts and the remainder where exon 9 has been deleted.","{'1': 'exon 9', '2': 'the remainder'}"
42,EGRAM,"Of the splicing mutations, the IVS9 delta A+4 allele was alternatively spliced, approximately 26% being normal transcripts and the remainder where exon 9 is deleted.","{'1': 'exon 9', '2': 'the remainder'}"
43,EGRAM,"Of the splicing mutations, the IVS9 delta A+4 allele was alternatively spliced, approximately 26% being normal transcripts and the remainder where exon 9 was deleted.","{'1': 'exon 9', '2': 'the remainder'}"
44,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs are able to delete T cells to silence them.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
45,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs can delete T cells to silence them.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
46,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs delete T cells or by expanding regulatory T cells.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
47,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs deleted T cells to silence them.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
48,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs have deleted T cells to silence them.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
49,EGRAM,Recent experiments have provided direct evidence that antigen-loaded immature DCs will delete T cells to silence them.,"{'0': 'antigen-loaded immature DCs', '1': 'T cells'}"
50,EGRAM,Studies with strains which are deleted for the micF locus showed that the marA-dependent reduction of OmpF required an intact micF locus.,"{'0': 'micF locus', '1': 'strains'}"
51,EGRAM,Studies with strains which has been deleted for the micF locus showed that the marA-dependent reduction of OmpF required an intact micF locus.,"{'0': 'micF locus', '1': 'strains'}"
52,EGRAM,Studies with strains which were deleted for the micF locus showed that the marA-dependent reduction of OmpF required an intact micF locus.,"{'0': 'micF locus', '1': 'strains'}"
53,EGRAM,Studies with strains which will be deleted for the micF locus showed that the marA-dependent reduction of OmpF required an intact micF locus.,"{'0': 'micF locus', '1': 'strains'}"
54,EGRAM,"Study of the promoter-lacZ gene fusions introduced into the chromosome indicated that galS expression was elevated in cells in which the normal galS gene was interrupted, but not in cells in which the galR gene has been deleted.",{'1': 'the galR gene'}
55,EGRAM,"Study of the promoter-lacZ gene fusions introduced into the chromosome indicated that galS expression was elevated in cells in which the normal galS gene was interrupted, but not in cells in which the galR gene is deleted.",{'1': 'the galR gene'}
56,EGRAM,The GATA-4 mutants that delete the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
57,EGRAM,The GATA-4 mutants which can delete the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
58,EGRAM,The GATA-4 mutants which delete the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
59,EGRAM,The GATA-4 mutants which deleted the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
60,EGRAM,The GATA-4 mutants which has deleted the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
61,EGRAM,The GATA-4 mutants with the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443) deleted were able to synergize with MEF2A (Figure 6A).,"{'1': 'the N-terminal region (127 443 and 201 443) and the first zinc finger (242 443)', '2': 'The GATA-4 mutants'}"
62,EGRAM,"The ZONAB binding is deleted in plasmid ErbB-2: S-D, and in ErbB-2: S-A the inverted CCAAT box is substituted.","{'1': 'the ZONAB binding', '2': 'plasmid ErbB-2: S-D'}"
63,EGRAM,"The ZONAB binding was deleted in plasmid ErbB-2: S-D, and in ErbB-2: S-A the inverted CCAAT box was substituted.","{'1': 'the ZONAB binding', '2': 'plasmid ErbB-2: S-D'}"
64,EGRAM,"The ZONAB binding will be deleted in plasmid ErbB-2: S-D, and in ErbB-2: S-A the inverted CCAAT box will be substituted.","{'1': 'the ZONAB binding', '2': 'plasmid ErbB-2: S-D'}"
65,EGRAM,The generation of replication-competent virus is considered less likely with vectors deleting the viral transcription elements.,"{'1': 'the viral transcription elements', '2': 'vectors'}"
66,EGRAM,The generation of replication-competent virus is considered less likely with vectors that deleted the viral transcription elements.,"{'1': 'the viral transcription elements', '2': 'vectors'}"
67,EGRAM,The generation of replication-competent virus is considered less likely with vectors which delete the viral transcription elements.,"{'1': 'the viral transcription elements', '2': 'vectors'}"
68,EGRAM,The generation of replication-competent virus is considered less likely with vectors which deleted the viral transcription elements.,"{'1': 'the viral transcription elements', '2': 'vectors'}"
69,EGRAM,The generation of replication-competent virus is considered less likely with vectors which that delete the viral transcription elements.,"{'1': 'the viral transcription elements', '2': 'vectors'}"
70,EGRAM,The propensity of isolates of the malaria parasite Plasmodium falciparum beleieved to delete a segment of chromosome 9 has provided positional information that has allowed us to identify a gene necessary for cytoadherence.,"{'0': 'isolates of the malaria parasite Plasmodium falciparum', '1': 'a segment of chromosome 9'}"
71,EGRAM,The propensity of isolates of the malaria parasite Plasmodium falciparum deleting a segment of chromosome 9 has provided positional information that has allowed us to identify a gene necessary for cytoadherence.,"{'0': 'isolates of the malaria parasite Plasmodium falciparum', '1': 'a segment of chromosome 9'}"
72,EGRAM,The propensity of isolates of the malaria parasite Plasmodium falciparum proven to delete a segment of chromosome 9 has provided positional information that has allowed us to identify a gene necessary for cytoadherence.,"{'0': 'isolates of the malaria parasite Plasmodium falciparum', '1': 'a segment of chromosome 9'}"
73,EGRAM,The propensity of isolates of the malaria parasite Plasmodium falciparum which delete a segment of chromosome 9 has provided positional information that has allowed us to identify a gene necessary for cytoadherence.,"{'0': 'isolates of the malaria parasite Plasmodium falciparum', '1': 'a segment of chromosome 9'}"
74,EGRAM,"The reporter plasmids contained a shorter fragment of the ErbB-2 promoter with a functional (D: ErbB-2: S) or mutated ZONAB-binding site (D: ErbB-2: S-D, being deleted; ErbB-2: S-A, substitution of the inverted CCAAT box).","{'1': 'D: ErbB-2: S-D', '2': 'mutated ZONAB-binding site'}"
75,EGRAM,"The reporter plasmids contained a shorter fragment of the ErbB-2 promoter with a functional (D: ErbB-2: S) or mutated ZONAB-binding site where D: ErbB-2: S-D has been deleted (ErbB-2: S-A, substitution of the inverted CCAAT box).","{'1': 'D: ErbB-2: S-D', '2': 'mutated ZONAB-binding site'}"
76,EGRAM,"The reporter plasmids contained a shorter fragment of the ErbB-2 promoter with a functional (D: ErbB-2: S) or mutated ZONAB-binding site where D: ErbB-2: S-D is deleted (ErbB-2: S-A, substitution of the inverted CCAAT box).","{'1': 'D: ErbB-2: S-D', '2': 'mutated ZONAB-binding site'}"
77,EGRAM,"Thus, this granule enzyme is required for the unique effects of Leu-Leu-OMe and may provide a target for the development of other immunotherapeutic agents being proven to delete cytotoxic lymphocyte responses.","{'0': 'the development of other immunotherapeutic agents', '1': 'cytotoxic lymphocyte responses'}"
78,EGRAM,"Thus, this granule enzyme is required for the unique effects of Leu-Leu-OMe and may provide a target for the development of other immunotherapeutic agents found to delete cytotoxic lymphocyte responses.","{'0': 'the development of other immunotherapeutic agents', '1': 'cytotoxic lymphocyte responses'}"
79,EGRAM,"Thus, this granule enzyme is required for the unique effects of Leu-Leu-OMe and may provide a target for the development of other immunotherapeutic agents proven to delete cytotoxic lymphocyte responses.","{'0': 'the development of other immunotherapeutic agents', '1': 'cytotoxic lymphocyte responses'}"
80,EGRAM,"Thus, this granule enzyme is required for the unique effects of Leu-Leu-OMe and may provide a target for the development of other immunotherapeutic agents which are proven to delete cytotoxic lymphocyte responses.","{'0': 'the development of other immunotherapeutic agents', '1': 'cytotoxic lymphocyte responses'}"
81,EGRAM,Using homologous recombination in mouse embryonic stem cells deletes the headpiece domain of dematin to evaluate its function in vivo.,"{'0': 'using homologous recombination in mouse embryonic stem cells', '1': 'the headpiece domain of dematin'}"
82,EGRAM,Using homologous recombination in mouse embryonic stem cells will delete the headpiece domain of dematin to evaluate its function in vivo.,"{'0': 'using homologous recombination in mouse embryonic stem cells', '1': 'the headpiece domain of dematin'}"
