id,source,text,arguments
0,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son can develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
1,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son can have developed acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
2,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son develops acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
3,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the ability to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
4,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the risk of developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
5,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is able to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
6,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is believed to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
7,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
8,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is found to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
9,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is observed to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
10,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is predicted to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
11,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is shown to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
12,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son may develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
13,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son may have developed acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
14,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son will develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
15,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son will have developed acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
16,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son could develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
17,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son had the ability to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
18,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son had the risk of developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
19,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son has been developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
20,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son has developed acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
21,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son might develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
22,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was believed to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
23,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
24,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was found to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
25,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was observed to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
26,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was predicted to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
27,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was shown to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
28,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son would develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
29,EGRAM,"Although Pin1 -/- mice are able to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
30,EGRAM,"Although Pin1 -/- mice are believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
31,EGRAM,"Although Pin1 -/- mice are believed to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
32,EGRAM,"Although Pin1 -/- mice are found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
33,EGRAM,"Although Pin1 -/- mice are found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
34,EGRAM,"Although Pin1 -/- mice are predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
35,EGRAM,"Although Pin1 -/- mice are predicted to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
36,EGRAM,"Although Pin1 -/- mice are previously able to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
37,EGRAM,"Although Pin1 -/- mice are previously believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
38,EGRAM,"Although Pin1 -/- mice are previously believed to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
39,EGRAM,"Although Pin1 -/- mice are previously found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
40,EGRAM,"Although Pin1 -/- mice are previously found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
41,EGRAM,"Although Pin1 -/- mice are previously predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
42,EGRAM,"Although Pin1 -/- mice are previously predicted to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
43,EGRAM,"Although Pin1 -/- mice are previously shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
44,EGRAM,"Although Pin1 -/- mice are previously shown to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
45,EGRAM,"Although Pin1 -/- mice are shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
46,EGRAM,"Although Pin1 -/- mice are shown to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
47,EGRAM,"Although Pin1 -/- mice can develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
48,EGRAM,"Although Pin1 -/- mice can have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
49,EGRAM,"Although Pin1 -/- mice can have previously developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
50,EGRAM,"Although Pin1 -/- mice can previously develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
51,EGRAM,"Although Pin1 -/- mice could develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
52,EGRAM,"Although Pin1 -/- mice could previously develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
53,EGRAM,"Although Pin1 -/- mice have been believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
54,EGRAM,"Although Pin1 -/- mice have been believed to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
55,EGRAM,"Although Pin1 -/- mice have been found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
56,EGRAM,"Although Pin1 -/- mice have been found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
57,EGRAM,"Although Pin1 -/- mice have been predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
58,EGRAM,"Although Pin1 -/- mice have been predicted to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
59,EGRAM,"Although Pin1 -/- mice have been shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
60,EGRAM,"Although Pin1 -/- mice have been shown to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
61,EGRAM,"Although Pin1 -/- mice have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
62,EGRAM,"Although Pin1 -/- mice have previously been believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
63,EGRAM,"Although Pin1 -/- mice have previously been believed to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
64,EGRAM,"Although Pin1 -/- mice have previously been found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
65,EGRAM,"Although Pin1 -/- mice have previously been found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
66,EGRAM,"Although Pin1 -/- mice have previously been predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
67,EGRAM,"Although Pin1 -/- mice have previously been predicted to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
68,EGRAM,"Although Pin1 -/- mice have previously been shown to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
69,EGRAM,"Although Pin1 -/- mice have previously developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
70,EGRAM,"Although Pin1 -/- mice may develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
71,EGRAM,"Although Pin1 -/- mice may have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
72,EGRAM,"Although Pin1 -/- mice may have previously developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
73,EGRAM,"Although Pin1 -/- mice may previously develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
74,EGRAM,"Although Pin1 -/- mice might develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
75,EGRAM,"Although Pin1 -/- mice might previously develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
76,EGRAM,"Although Pin1 -/- mice were able to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
77,EGRAM,"Although Pin1 -/- mice were believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
78,EGRAM,"Although Pin1 -/- mice were found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
79,EGRAM,"Although Pin1 -/- mice were predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
80,EGRAM,"Although Pin1 -/- mice were previously able to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
81,EGRAM,"Although Pin1 -/- mice were previously believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
82,EGRAM,"Although Pin1 -/- mice were previously found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
83,EGRAM,"Although Pin1 -/- mice were previously predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
84,EGRAM,"Although Pin1 -/- mice were previously shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
85,EGRAM,"Although Pin1 -/- mice were shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
86,EGRAM,"Although Pin1 -/- mice will develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
87,EGRAM,"Although Pin1 -/- mice will have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
88,EGRAM,"Although Pin1 -/- mice will have previously developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
89,EGRAM,"Although Pin1 -/- mice will previously develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
