id,source,text,arguments
0,EGRAM,A homozygous mutation disrupting splicing is identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
1,EGRAM,A homozygous mutation having disrupted splicing will be identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
2,EGRAM,A homozygous mutation that can disrupt splicing which has been identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
3,EGRAM,A homozygous mutation that disrupted splicing has been identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
4,EGRAM,A homozygous mutation that have disrupted splicing was identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
5,EGRAM,"A splicing enhancer sequence: (GAR)n-(GAR)n has been disrupted by the 415G4 mutation, resulting in exon 5 skipping.","{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n', 'R': 'exon 5 skipping'}"
6,EGRAM,"A splicing enhancer sequence: (GAR)n-(GAR)n is disrupted by the 415G4 mutation, resulting in exon 5 skipping.","{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n', 'R': 'exon 5 skipping'}"
7,EGRAM,Arg99 and Arg253 can interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA and disrupt the pairing hydrogen bonds in the model.,"{'0': 'Arg99 and Arg253', '1': 'the pairing hydrogen bonds in the model'}"
8,EGRAM,Arg99 and Arg253 that interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA can disrupt the pairing hydrogen bonds in the model.,"{'0': 'Arg99 and Arg253', '1': 'the pairing hydrogen bonds in the model'}"
9,EGRAM,"Importantly, the findings show that the knockout of MEKK1 or MEKK2 expression could not disrupt the overall integrity of MAPK pathway regulation.","{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation', 'M-NEG': 'not'}"
10,EGRAM,"Importantly, the findings show that the knockout of MEKK1 or MEKK2 expression did not disrupt the overall integrity of MAPK pathway regulation.","{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation', 'M-NEG': 'not'}"
11,EGRAM,"Importantly, the findings show that the knockout of MEKK1 or MEKK2 expression has not disrupt the overall integrity of MAPK pathway regulation.","{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation', 'M-NEG': 'not'}"
12,EGRAM,"Importantly, the findings show that the knockout of MEKK1 or MEKK2 expression is not able to disrupt the overall integrity of MAPK pathway regulation.","{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation', 'M-NEG': 'not'}"
