id,source,text,arguments
0,EGRAM,"A 6-bp insertion located within O2 or between OT and O1 eliminates repression of the glpTQ promoter, whereas significant repression was maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
1,EGRAM,"A 6-bp insertion located within O2 or between OT and O1 has eliminated repression of the glpTQ promoter, whereas significant repression was maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
2,EGRAM,"A 6-bp insertion located within O2 or between OT and O1 will eliminate repression of the glpTQ promoter, whereas significant repression will be maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
3,EGRAM,"A 6-bp insertion which eliminated repression of the glpTQ promoter was located within O2 or between OT and O1, whereas significant repression was maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
4,EGRAM,"A 6-bp insertion which eliminates repression of the glpTQ promoter is located within O2 or between OT and O1, whereas significant repression is maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
5,EGRAM,All three sites eliminated make the same high level of activation of B-Raf occurs.,{'1': 'all three sites'}
6,EGRAM,"An asparagine residue within a kinase domain of the product is eliminated by a 3-bp in-frame deletion; the other two carried intronic mutations at or adjacent to the consensus dinucleotide sequences of splice-acceptor or-donor sites, which were likely to lead to aberrant splicing.","{'0': 'a 3-bp in-frame deletion', '1': 'an asparagine residue', '2': 'a kinase domain of the product'}"
7,EGRAM,"An asparagine residue within a kinase domain of the product was eliminated by a 3-bp in-frame deletion; the other two carried intronic mutations at or adjacent to the consensus dinucleotide sequences of splice-acceptor or-donor sites, which were likely to lead to aberrant splicing.","{'0': 'a 3-bp in-frame deletion', '1': 'an asparagine residue', '2': 'a kinase domain of the product'}"
8,EGRAM,"As illustrated in Figure 1, staurosporin (or genestein; data not shown) can not eliminate the stabilization seen with MG132.","{'0': 'staurosporin (or genestein; data not shown)', '1': 'the stabilization seen with MG132', 'M-NEG': 'not'}"
9,EGRAM,"As illustrated in Figure 1, staurosporin (or genestein; data not shown) does not eliminate the stabilization seen with MG132.","{'0': 'staurosporin (or genestein; data not shown)', '1': 'the stabilization seen with MG132', 'M-NEG': 'not'}"
10,EGRAM,"As illustrated in Figure 1, the stabilization seen with MG132 is not eliminated by staurosporin (or genestein; data not shown).","{'0': 'staurosporin (or genestein; data not shown)', '1': 'the stabilization seen with MG132', 'M-NEG': 'not'}"
11,EGRAM,"As illustrated in Figure 1, the stabilization seen with MG132 was not eliminated by staurosporin (or genestein; data not shown).","{'0': 'staurosporin (or genestein; data not shown)', '1': 'the stabilization seen with MG132', 'M-NEG': 'not'}"
12,EGRAM,"As illustrated in Figure 1, the stabilization seen with MG132 will not be eliminated by staurosporin (or genestein; data not shown).","{'0': 'staurosporin (or genestein; data not shown)', '1': 'the stabilization seen with MG132', 'M-NEG': 'not'}"
13,EGRAM,"At a molar ratio of 5:1, binding can be completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
14,EGRAM,"At a molar ratio of 5:1, binding is completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
15,EGRAM,"At a molar ratio of 5:1, binding is observed to be completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
16,EGRAM,"At a molar ratio of 5:1, binding will be completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
17,EGRAM,Binding of GntR to the operators has been eliminated by gluconate and also by 6-phosphogluconate at a 10-fold-higher concentration.,"{'0': 'gluconate and also by 6-phosphogluconate', '1': 'Binding of GntR to the operators'}"
18,EGRAM,Binding of GntR to the operators was eliminated by gluconate and also by 6-phosphogluconate at a 10-fold-higher concentration.,"{'0': 'gluconate and also by 6-phosphogluconate', '1': 'Binding of GntR to the operators'}"
19,EGRAM,Binding of GntR to the operators will be eliminated by gluconate and also by 6-phosphogluconate at a 10-fold-higher concentration.,"{'0': 'gluconate and also by 6-phosphogluconate', '1': 'Binding of GntR to the operators'}"
20,EGRAM,Eliminating all three sites makes the same high level of activation of B-Raf occurs.,{'1': 'all three sites'}
21,EGRAM,"Eliminating any deleterious effects that might be associated with stable HOXB4 gene transfer into human cells, we took advantage of the ability of HOX proteins to passively translocate through cell membranes.",{'1': 'any deleterious effects'}
22,EGRAM,Exogenous H(2)O(2) is eliminated in transgenic plants by inhibition of any one of these molecules.,"{'1': 'exogenous H(2)O(2)', '2': 'Transgenic plants'}"
