id,source,text,arguments
0,EGRAM,"A 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference has been encoded by Supt4h2, indicating extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.","{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
1,EGRAM,"A 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference is encoded by Supt4h2, indicating extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.","{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
2,EGRAM,"A 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference was encoded by Supt4h2, indicating extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.","{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
3,EGRAM,"A 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference was shoen to be encoded by Supt4h2, indicating extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.","{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
4,EGRAM,A gene family encodes proteins involved in pre-mRNA splicing and maps to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
5,EGRAM,A gene family has encoded proteins involved in pre-mRNA splicing and mapped to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
6,EGRAM,A gene family is able to encode proteins involved in pre-mRNA splicing and map to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
7,EGRAM,A gene family is shown to have encoded proteins involved in pre-mRNA splicing and mapped to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
8,EGRAM,A protein that participated in the second step of the splicing reaction was encoded by The PRP17 gene of the yeast Saccharomyces cerevisiae.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participated in the second step of the splicing reaction'}"
9,EGRAM,A protein that participates in the second step of the splicing reaction has been encoded by The PRP17 gene of the yeast Saccharomyces cerevisiae.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participates in the second step of the splicing reaction'}"
10,EGRAM,A protein that participates in the second step of the splicing reaction is shown to be encoded by The PRP17 gene of the yeast Saccharomyces cerevisiae.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participates in the second step of the splicing reaction'}"
11,EGRAM,"CP2, a cellular transcription factor that interacts with the alpha-globin promoter as well as with additional cellular and viral promoter elements, is shown to be encoded by murine and human cDNAs which we recently encloned.","{'0': 'murine and human cDNAs', '1': 'CP2'}"
12,EGRAM,"CP2, a cellular transcription factor that interacts with the alpha-globin promoter as well as with additional cellular and viral promoter elements, may be encoded by murine and human cDNAs which we recently encloned.","{'0': 'murine and human cDNAs', '1': 'CP2'}"
13,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues reveals that SBP2 has been encoded by as many as three distinct transcripts.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
14,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues reveals that SBP2 is encoded by as many as three distinct transcripts.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
15,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues reveals that SBP2 was encoded by as many as three distinct transcripts.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
16,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues shows that three distinct transcripts encode SBP2.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
17,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues shows that three distinct transcripts have encoded SBP2.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
18,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues shows three distinct transcripts are shown to encode SBP2.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
19,EGRAM,Expression SBP2 Northern analysis of poly (A) + RNA from various tissues shows three distinct transcripts are shown to have encoded SBP2.,"{'0': 'three distinct transcripts', '1': 'SBP2'}"
20,EGRAM,"Expression of the ompF and ompC genes, encoding the major outer membrane proteins, OmpF and OmpC, respectively, is affected in a reciprocal manner by the osmolarity of the growth medium.","{'0': 'Expression of the ompF and ompC genes', '1': 'the major outer membrane proteins, OmpF and OmpC'}"
21,EGRAM,"Expression of the ompF and ompC genes, which encoded the major outer membrane proteins, OmpF and OmpC, respectively, was affected in a reciprocal manner by the osmolarity of the growth medium.","{'0': 'Expression of the ompF and ompC genes', '1': 'the major outer membrane proteins, OmpF and OmpC'}"
22,EGRAM,"Expression of the ompF and ompC genes, which has encoded the major outer membrane proteins, OmpF and OmpC, respectively, was affected in a reciprocal manner by the osmolarity of the growth medium.","{'0': 'Expression of the ompF and ompC genes', '1': 'the major outer membrane proteins, OmpF and OmpC'}"
23,EGRAM,In plants it is estimated that between 1000 and 5000 chloroplast proteins are encoded by nuclear genes.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
24,EGRAM,In plants it is estimated that between 1000 and 5000 chloroplast proteins have been encoded by nuclear genes.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
25,EGRAM,In plants it is estimated that nuclear genes are able to encode between 1000 and 5000 chloroplast proteins.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
26,EGRAM,In plants it is estimated that nuclear genes encode between 1000 and 5000 chloroplast proteins.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
27,EGRAM,In plants it is estimated that nuclear genes have encoded between 1000 and 5000 chloroplast proteins.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
28,EGRAM,In plants it is estimated that nuclear genes may have encoded between 1000 and 5000 chloroplast proteins.,"{'0': 'nuclear genes', '1': 'between 1000 and 5000 chloroplast proteins'}"
29,EGRAM,In this vector the T.gondii dhfr-ts region was able to encoded resistance to WR99210 by being excised with BamHI and KpnI and replaced with human dhfr mutated that .,"{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
30,EGRAM,"In this vector the T.gondii dhfr-ts region was excised with BamHI and KpnI and replaced with human dhfr mutated in order to encode resistance to WR99210 (Fidock and Wellems, 1997).","{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
31,EGRAM,"In this vector, the T.gondii dhfr-ts region that was shown to encode resistance to WR99210 is excised with BamHI and KpnI and replaced with human dhfr mutated .","{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
32,EGRAM,"It is possible, therefore, that the added sequences in the larger forms of SBP2 mRNA are involved in encoding proteins with other functions.","{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
33,EGRAM,"It is possible, therefore, that the added sequences in the larger forms of SBP2 mRNA are involved in the process of encoding proteins with other functions.","{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
34,EGRAM,MAZ encoded a transcription factor with dual roles in transcription initiation and termination.,"{'0': 'MAZ', '1': 'a transcription factor with dual roles in transcription initiation and termination'}"
35,EGRAM,MAZ has encoded a transcription factor with dual roles in transcription initiation and termination.,"{'0': 'MAZ', '1': 'a transcription factor with dual roles in transcription initiation and termination'}"
36,EGRAM,MAZ is able to encode a transcription factor with dual roles in transcription initiation and termination.,"{'0': 'MAZ', '1': 'a transcription factor with dual roles in transcription initiation and termination'}"
37,EGRAM,MAZ is believed to encode a transcription factor with dual roles in transcription initiation and termination.,"{'0': 'MAZ', '1': 'a transcription factor with dual roles in transcription initiation and termination'}"
38,EGRAM,Our reseach shows that proteins with other functions are encoded by the added sequences in the larger forms of SBP2 mRNA.,"{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
39,EGRAM,Our reseach shows that proteins with other functions were encoded by the added sequences in the larger forms of SBP2 mRNA.,"{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
40,EGRAM,Our reseach shows that the added sequences in the larger forms of SBP2 mRNA encode proteins with other functions.,"{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
41,EGRAM,Our reseach shows that the added sequences in the larger forms of SBP2 mRNA have encoded proteins with other functions.,"{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
42,EGRAM,Proteins involved in pre-mRNA splicing are encoded by a gene family including the human SNRPN (small nuclear ribonucleoprotein polypeptide N) gene which maps to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
43,EGRAM,Proteins involved in pre-mRNA splicing are shown to be encoded by a gene family including the human SNRPN (small nuclear ribonucleoprotein polypeptide N) gene which maps to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
44,EGRAM,Proteins involved in pre-mRNA splicing have been encoded by a gene family including the human SNRPN (small nuclear ribonucleoprotein polypeptide N) gene which has mapped to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
45,EGRAM,Resistance to WR99210 has been encoded by the T.gondii dhfr-ts region with BamHI and KpnI and replaced with human dhfr mutated,"{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
46,EGRAM,Resistance to WR99210 is encoded by the T.gondii dhfr-ts region with BamHI and KpnI and replaced with human dhfr mutated.,"{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
47,EGRAM,Resistance to WR99210 is shown to be encoded by the T.gondii dhfr-ts region with BamHI and KpnI and replaced with human dhfr mutated,"{'0': 'the T.gondii dhfr-ts region', '1': 'resistance to WR99210'}"
48,EGRAM,"Six exons encoding the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
49,EGRAM,"Six exons having encoded the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
50,EGRAM,"Six exons that encode the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
51,EGRAM,"Six exons that have encoded the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
52,EGRAM,"Supt4h2 encoded a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference, indicating extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.","{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
53,EGRAM,Supt4h2 that encoded a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference indicates extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.,"{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
54,EGRAM,Supt4h2 which have encoded a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference indicates extreme conservation of this expressed processed gene with the spliced gene over evolutionary time.,"{'0': 'Supt4h2', '1': 'a 117 amino acid protein nearly identical to the Supt4h gene product with only one amino acid difference'}"
55,EGRAM,"The 6-pyruvoyl-tetrahydropterin synthase has been encoded by six exons causing an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
56,EGRAM,"The 6-pyruvoyl-tetrahydropterin synthase is encoded by six exons that cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
57,EGRAM,The Escherichia coli yjhA (renamed nanC) gene has been encoding a protein of the KdgM family of outer membrane-specific channels.,"{'0': 'The Escherichia coli yjhA (renamed nanC) gene', '1': 'a protein of the KdgM family of outer membrane-specific channels'}"
58,EGRAM,The Escherichia coli yjhA (renamed nanC) gene has encoded a protein of the KdgM family of outer membrane-specific channels.,"{'0': 'The Escherichia coli yjhA (renamed nanC) gene', '1': 'a protein of the KdgM family of outer membrane-specific channels'}"
59,EGRAM,The Escherichia coli yjhA (renamed nanC) gene is able to encode a protein of the KdgM family of outer membrane-specific channels.,"{'0': 'The Escherichia coli yjhA (renamed nanC) gene', '1': 'a protein of the KdgM family of outer membrane-specific channels'}"
60,EGRAM,The PRP17 gene of the yeast Saccharomyces cerevisiae has encoded a protein that participated in the second step of the splicing reaction.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participated in the second step of the splicing reaction'}"
61,EGRAM,The PRP17 gene of the yeast Saccharomyces cerevisiae is shown to encode a protein that participates in the second step of the splicing reaction.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participates in the second step of the splicing reaction'}"
62,EGRAM,The PRP17 gene of the yeast Saccharomyces cerevisiae may have encoded a protein that participated in the second step of the splicing reaction.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participated in the second step of the splicing reaction'}"
63,EGRAM,"The gene yjfQ encoded the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
64,EGRAM,"The gene yjfQ has been encoding the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
65,EGRAM,"The gene yjfQ has encoded the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
66,EGRAM,"The gene yjfQ is able to encode the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
67,EGRAM,"The gene yjfQ is believed to have encoded the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
68,EGRAM,"The gene yjfQ is shown to encode the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.","{'0': 'The gene yjfQ', '1': 'the repressor of the yjfR-X regulon (ula)'}"
69,EGRAM,The glp regulon of Escherichia coli encoded the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,"{'0': 'The glp regulon of Escherichia coli', '1': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}"
70,EGRAM,The glp regulon of Escherichia coli has encoded the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,"{'0': 'The glp regulon of Escherichia coli', '1': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}"
71,EGRAM,The glp regulon of Escherichia coli is shown to encode the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,"{'0': 'The glp regulon of Escherichia coli', '1': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}"
72,EGRAM,The glp regulon of Escherichia coli may have encoded the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,"{'0': 'The glp regulon of Escherichia coli', '1': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}"
73,EGRAM,The glp regulon of Escherichia coli will encode the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,"{'0': 'The glp regulon of Escherichia coli', '1': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}"
