id,source,text,arguments
0,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) is able to be isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
1,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) is isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
2,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) is shown to be isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
3,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) may have been isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
4,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) was isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
5,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) will be isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
6,EGRAM,A complementary DNA clone encoding the large subunit of the essential mammalian pre-messenger RNA splicing component U2 snRNP auxiliary factor(U2AF65) would be isolated and expressed in vitro.,"{'0': 'A complementary DNA clone', '2': 'vitro'}"
7,EGRAM,BD73 messenger RNA has been expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
8,EGRAM,BD73 messenger RNA is able to be expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
9,EGRAM,BD73 messenger RNA is predicted to be expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
10,EGRAM,BD73 messenger RNA is shown to be expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
11,EGRAM,BD73 messenger RNA may have been expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
12,EGRAM,BD73 messenger RNA was expressed in a wide variety of tissues and cell lines.,"{'0': 'BD73 messenger RNA', '1': 'in a wide variety of tissues and cell lines'}"
