id,source,text,arguments
0,EGRAM,"10mM EDTA can totally inhibit Binding that is concentration dependent and saturable, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
1,EGRAM,"10mM EDTA is able to totally inhibit Binding that is concentration dependent and saturable, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
2,EGRAM,"10mM EDTA is totally inhibiting Binding that is concentration dependent and saturable, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
3,EGRAM,"10mM EDTA may have totally inhibited Binding that is concentration dependent and saturable, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
4,EGRAM,"Binding is concentration dependent and saturable and has been totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
5,EGRAM,"Binding is concentration dependent and saturable and is able to be totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
6,EGRAM,"Binding is concentration dependent and saturable and is observed to be totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
7,EGRAM,"Binding is concentration dependent and saturable and is totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
8,EGRAM,"Binding is concentration dependent and saturable and may be totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
9,EGRAM,"CRP-cAMP can inhibit sigma (54)-dependent glnAp2 strongly, by 21-fold.","{'0': 'CRP-cAMP', '1': 'sigma (54)-dependent glnAp2'}"
10,EGRAM,"CRP-cAMP has inhibited sigma (54)-dependent glnAp2 strongly, by 21-fold.","{'0': 'CRP-cAMP', '1': 'sigma (54)-dependent glnAp2'}"
11,EGRAM,"CRP-cAMP has the ability to inhibit sigma (54)-dependent glnAp2 strongly, by 21-fold.","{'0': 'CRP-cAMP', '1': 'sigma (54)-dependent glnAp2'}"
