id,source,text,arguments
0,EGRAM,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (7 missense mutations, 2 mutations that lead to frameshift, and 1 mutation predicted to affect normal splicing).","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
1,EGRAM,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (7 missense mutations, 2 mutations that led to frameshift, and 1 mutation predicted to affect normal splicing).","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
2,EGRAM,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (7 missense mutations, 2 mutations which lead to frameshift, and 1 mutation predicted to affect normal splicing).","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
3,EGRAM,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (7 missense mutations, 2 mutations which led to frameshift, and 1 mutation predicted to affect normal splicing).","{'0': '7 missense mutations, 2 mutations', '1': 'frameshift'}"
4,EGRAM,Closer examination of the putative signal transduction pathway modulating htrA transcription can lead us to the identification of two new genes.,"{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
5,EGRAM,Closer examination of the putative signal transduction pathway modulating htrA transcription leads us to the identification of two new genes.,"{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
6,EGRAM,Closer examination of the putative signal transduction pathway modulating htrA transcription led us to the identification of two new genes.,"{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
7,EGRAM,Closer examination of the putative signal transduction pathway modulating htrA transcription will lead us to the identification of two new genes.,"{'0': 'Closer examination of the putative signal transduction pathway modulating htrA transcription', '1': 'the identification of two new genes'}"
8,EGRAM,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D can lead to a synergistic 40-to 50-fold activation of the ANF promoter (Figure 3A).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
9,EGRAM,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D has led to a synergistic 40-to 50-fold activation of the ANF promoter (Figure 3A).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
10,EGRAM,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D is able to lead to a synergistic 40-to 50-fold activation of the ANF promoter (Figure 3A).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
11,EGRAM,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D led to a synergistic 40-to 50-fold activation of the ANF promoter (Figure 3A).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
12,EGRAM,"Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D may lead to a synergistic 40-to 50-fold activation of the ANF promoter (Figure 3A).","{'0': 'Cotransfection of GATA-4 with MEF2A, MEF2C or MEF2D', '1': 'a synergistic 40-to 50-fold activation of the ANF promoter'}"
13,EGRAM,Crl stimulates the activity of sigma (S) lead to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase.,"{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
14,EGRAM,Crl stimulates the activity of sigma (S) led to an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase.,"{'0': 'Crl stimulates the activity of sigma (S)', '1': 'an increased transcription rate of a subset of genes of the rpoS regulon in stationary phase'}"
15,EGRAM,"Disruption of the SNU246 gene in yeast is lethal and can lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
16,EGRAM,"Disruption of the SNU246 gene in yeast was lethal and could lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
17,EGRAM,"Disruption of the SNU246 gene in yeast was lethal and led to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
18,EGRAM,"Disruption of the SNU246 gene in yeast was lethal and might lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
19,EGRAM,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that DNA (nCaRE)-ref1 interaction could lead to C2+e-mediated transcriptional suppression.","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
20,EGRAM,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that DNA (nCaRE)-ref1 interaction had led to C2+e-mediated transcriptional suppression.","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
21,EGRAM,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that DNA (nCaRE)-ref1 interaction was able to lead to C2+e-mediated transcriptional suppression.","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
22,EGRAM,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggests that DNA (nCaRE)-ref1 interaction is able to lead to C2+e-mediated transcriptional suppression.","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
23,EGRAM,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggests that DNA (nCaRE)-ref1 interaction leads to C2+e-mediated transcriptional suppression.","{'0': 'DNA (nCaRE)-ref1 interaction', '1': 'C2+e-mediated transcriptional suppression'}"
24,EGRAM,"G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
25,EGRAM,"G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 was able to lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
26,EGRAM,"G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 can lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
27,EGRAM,"G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 has led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
