id,source,text,arguments
0,EGRAM,An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits apparently modified in HeLa cells.,{'1': 'subunits'}
1,EGRAM,An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits being apparently modified in HeLa cells.,{'1': 'subunits'}
2,EGRAM,An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits being modified in HeLa cells.,{'1': 'subunits'}
3,EGRAM,An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits modified in HeLa cells.,{'1': 'subunits'}
4,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which are able to be apparently modified in HeLa cells.",{'1': 'subunits'}
5,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which are able to be modified in HeLa cells.",{'1': 'subunits'}
6,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which are observed to be apparently modified in HeLa cells.",{'1': 'subunits'}
7,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which are observed to be modified in HeLa cells.",{'1': 'subunits'}
8,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which can be apparently modified in HeLa cells.",{'1': 'subunits'}
9,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which can be modified in HeLa cells.",{'1': 'subunits'}
10,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which have been apparently modified in HeLa cells.",{'1': 'subunits'}
11,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which have been modified in HeLa cells.",{'1': 'subunits'}
12,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which have the ability to be apparently modified in HeLa cells.",{'1': 'subunits'}
13,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which have the ability to be modified in HeLa cells.",{'1': 'subunits'}
14,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which may be apparently modified in HeLa cells.",{'1': 'subunits'}
15,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which may be modified in HeLa cells.",{'1': 'subunits'}
16,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which might have been apparently modified in HeLa cells.",{'1': 'subunits'}
17,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which might have been modified in HeLa cells.",{'1': 'subunits'}
18,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which were apparently modified in HeLa cells.",{'1': 'subunits'}
19,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which were modified in HeLa cells.",{'1': 'subunits'}
20,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which will be apparently modified in HeLa cells.",{'1': 'subunits'}
21,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which will be modified in HeLa cells.",{'1': 'subunits'}
22,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are able to be apparently modified in HeLa cells.,{'1': 'subunits'}
23,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are able to be modified in HeLa cells.,{'1': 'subunits'}
24,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are apparently modified in HeLa cells.,{'1': 'subunits'}
25,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are modified in HeLa cells.,{'1': 'subunits'}
26,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are observed to be apparently modified in HeLa cells.,{'1': 'subunits'}
27,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are observed to be modified in HeLa cells.,{'1': 'subunits'}
28,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III can be apparently modified in HeLa cells.,{'1': 'subunits'}
29,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III can be modified in HeLa cells.,{'1': 'subunits'}
30,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III have been apparently modified in HeLa cells.,{'1': 'subunits'}
