id,source,text,arguments
0,EGRAM,Alpha-chain cDNA in COS-1 cells can be mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
1,EGRAM,Alpha-chain cDNA in COS-1 cells can be significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
2,EGRAM,Alpha-chain cDNA in COS-1 cells could be mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
3,EGRAM,Alpha-chain cDNA in COS-1 cells could be significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
4,EGRAM,Alpha-chain cDNA in COS-1 cells could have been mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
5,EGRAM,Alpha-chain cDNA in COS-1 cells could have been significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
6,EGRAM,Alpha-chain cDNA in COS-1 cells has been mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
7,EGRAM,Alpha-chain cDNA in COS-1 cells has been significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
8,EGRAM,Alpha-chain cDNA in COS-1 cells has the ability to be mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
9,EGRAM,Alpha-chain cDNA in COS-1 cells has the ability to be significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
10,EGRAM,Alpha-chain cDNA in COS-1 cells has the probability of being mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
11,EGRAM,Alpha-chain cDNA in COS-1 cells has the probability of being significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
12,EGRAM,Alpha-chain cDNA in COS-1 cells is able to be mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
13,EGRAM,Alpha-chain cDNA in COS-1 cells is able to be significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
14,EGRAM,Alpha-chain cDNA in COS-1 cells is mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
15,EGRAM,Alpha-chain cDNA in COS-1 cells is observed to be mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
16,EGRAM,Alpha-chain cDNA in COS-1 cells is observed to be significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
