id,source,text,arguments
0,EGRAM,"A approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle has been recognized by Anti-64kD human autoantigen D1 antibodies.","{'0': 'Anti-64kD human autoantigen D1 antibodies', '1': 'a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle'}"
1,EGRAM,"A approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle is recognized by Anti-64kD human autoantigen D1 antibodies.","{'0': 'Anti-64kD human autoantigen D1 antibodies', '1': 'a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle'}"
2,EGRAM,"A approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle was recognized by Anti-64kD human autoantigen D1 antibodies.","{'0': 'Anti-64kD human autoantigen D1 antibodies', '1': 'a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle'}"
3,EGRAM,"A approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle will be recognized by Anti-64kD human autoantigen D1 antibodies.","{'0': 'Anti-64kD human autoantigen D1 antibodies', '1': 'a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle'}"
4,EGRAM,"A monoclonal antibody which has recognized the STAT1 N-terminus was purchased from Transduction Laboratories (Lexington, KY).","{'0': 'A monoclonal antibody', '1': 'the STAT1 N-terminus'}"
5,EGRAM,"A monoclonal antibody which recognizes the STAT1 N-terminus is purchased from Transduction Laboratories (Lexington, KY).","{'0': 'A monoclonal antibody', '1': 'the STAT1 N-terminus'}"
6,EGRAM,"A number of Ags which is recognized by class I-restricted melanoma-specific T cells have recently been isolated, raising the hope that this will lead to the development of improved therapies.","{'0': 'class I-restricted melanoma-specific T cells', '1': 'A number of Ags'}"
7,EGRAM,"A number of Ags which was recognized by class I-restricted melanoma-specific T cells have recently been isolated, raising the hope that this will lead to the development of improved therapies.","{'0': 'class I-restricted melanoma-specific T cells', '1': 'A number of Ags'}"
8,EGRAM,Affinity-purified polyclonal anti-LMP-1 antiserum recognized epitopes in the C-terminus of LMP-1 at a 1:200 dilution.,"{'0': 'affinity-purified polyclonal anti-LMP-1 antiserum', '1': 'epitopes in the C-terminus of LMP-1 at a 1:200 dilution'}"
9,EGRAM,Affinity-purified polyclonal anti-LMP-1 antiserum recognizes epitopes in the C-terminus of LMP-1 at a 1:200 dilution.,"{'0': 'affinity-purified polyclonal anti-LMP-1 antiserum', '1': 'epitopes in the C-terminus of LMP-1 at a 1:200 dilution'}"
10,EGRAM,"Anti-64kD human autoantigen D1 antibodies recognized specifically a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle.","{'0': 'Anti-64kD human autoantigen D1 antibodies', '1': 'a approximately 70kD polypeptide in western blots of extraocular muscle, sternothyroid muscle, and smooth muscle'}"
11,EGRAM,"As a result of alternate splicing and subsequent frameshift, the reported g16 protein is 603 amino acids shorter than the NY-LU-12 product (1123 residues) at its COOH terminus and would therefore lack the epitopes that the autologous serum has recognized.","{'0': 'the autologous serum', '1': 'the epitopes'}"
