id,source,text,arguments
0,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that can result in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
1,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that has resulted in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
2,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that has the ability to result in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
3,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that is able to result in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
4,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that may have resulted in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
5,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that resulted in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
6,EGRAM,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling that results in a Clr phenotype is conferred by either an activated egl-15 or a lf clr-1 mutation.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
7,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, can result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
8,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, has resulted in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
9,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, has the ability to result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
10,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, is able to result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
11,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, is observed to result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
12,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, may have resulted in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
13,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, may result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
14,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, resulted in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
15,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, will result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
16,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation are able to result in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
17,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation are observed to result in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
18,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation can result in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
19,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation could have resulted in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
20,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation have resulted in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
21,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation have the ability to result in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
22,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation may have resulted in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
23,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation resulted in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
24,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation will result in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
25,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, are able to result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
26,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, are observed to result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
27,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, can result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
28,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, could have resulted in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
29,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, have resulted in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
30,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, have the ability to result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
31,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, may have resulted in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
32,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
33,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, resulted in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
34,EGRAM,"Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested, will result in mRNA species with distinct 5UTRs.","{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation, as our study suggested,', '1': 'mRNA species with distinct 5UTRs'}"
35,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) are able to result in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
36,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) are observed to result in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
37,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) can result in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
38,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) has resulted in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
39,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) have the ability to result in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
40,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively) may have resulted in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
