id,source,text,arguments
0,EGRAM,A stop codon-containing exon (exon 4) could be finally skipped by alternative splicing and generates a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
1,EGRAM,A stop codon-containing exon (exon 4) has been finally skipped by alternative splicing and generated a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
2,EGRAM,A stop codon-containing exon (exon 4) has been shown to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
3,EGRAM,A stop codon-containing exon (exon 4) generated a transcript that is predicted to encode a fusion protein and has been finally skipped by alternative splicing.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
4,EGRAM,A stop codon-containing exon (exon 4) has the probability of being finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
5,EGRAM,A stop codon-containing exon (exon 4) is able to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
6,EGRAM,A stop codon-containing exon (exon 4) is believed to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
7,EGRAM,A stop codon-containing exon (exon 4) is finally skipped by alternative splicing and generates a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
8,EGRAM,A stop codon-containing exon (exon 4) may have been finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
9,EGRAM,A stop codon-containing exon (exon 4) was finally skipped by alternative splicing and generated a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
10,EGRAM,A stop codon-containing exon (exon 4) will be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
11,EGRAM,Alternative splicing can finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
12,EGRAM,Alternative splicing finally skipped a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
13,EGRAM,Alternative splicing finally skips a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
14,EGRAM,Alternative splicing has been shown to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
15,EGRAM,Alternative splicing has finally skipped a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
16,EGRAM,Alternative splicing has the ability to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
17,EGRAM,Alternative splicing is able to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
18,EGRAM,Alternative splicing is likely to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
19,EGRAM,Alternative splicing may have finally skipped a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
20,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) being able to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
21,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) being likely to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
22,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) being observed to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
23,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) having been shown to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
