id,source,text,arguments
0,EGRAM,A caspase-2 minigene construct could be made that is alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
1,EGRAM,A caspase-2 minigene construct could be made that is spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
2,EGRAM,A caspase-2 minigene construct could be made to be alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
3,EGRAM,A caspase-2 minigene construct could be made to be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
4,EGRAM,A caspase-2 minigene construct has been made that can be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
5,EGRAM,A caspase-2 minigene construct has been shown to be made that is alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
6,EGRAM,A caspase-2 minigene construct has been shown to be made that is spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
7,EGRAM,A caspase-2 minigene construct has the ability to be made to be alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
8,EGRAM,A caspase-2 minigene construct has the ability to be made to be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
9,EGRAM,A caspase-2 minigene construct is able to be made that is alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
10,EGRAM,A caspase-2 minigene construct is able to be made that is spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
11,EGRAM,A caspase-2 minigene construct is made that can be alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
12,EGRAM,A caspase-2 minigene construct is made that can be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
13,EGRAM,A caspase-2 minigene construct is observed to be made that is alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
14,EGRAM,A caspase-2 minigene construct is observed to be made that is spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
15,EGRAM,A caspase-2 minigene construct may be made that was alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
16,EGRAM,A caspase-2 minigene construct may be made that was spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
17,EGRAM,A caspase-2 minigene construct may have been made that can be alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
18,EGRAM,A caspase-2 minigene construct may have been made that can be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
19,EGRAM,A caspase-2 minigene construct was made that was alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
20,EGRAM,A caspase-2 minigene construct was made that was spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
21,EGRAM,A caspase-2 minigene construct will be made that is alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
22,EGRAM,A caspase-2 minigene construct will be made that is spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
23,EGRAM,A caspase-2 minigene construct would be made that could be alternatively spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
24,EGRAM,A caspase-2 minigene construct would be made that could be spliced in transfected cells and nuclear extracts.,"{'0': 'A caspase-2 minigene construct', '3': 'transfected cells and nuclear extracts'}"
25,EGRAM,"A pre-mRNA containing mutations in SE2, however, can be alternatively spliced predominantly using the nt 3605 3 splice site.","{'0': 'a pre-mRNA containing mutations in SE2', '1': 'the nt 3605 3 splice site'}"
26,EGRAM,"A pre-mRNA containing mutations in SE2, however, has been alternatively spliced predominantly using the nt 3605 3 splice site.","{'0': 'a pre-mRNA containing mutations in SE2', '1': 'the nt 3605 3 splice site'}"
27,EGRAM,"A pre-mRNA containing mutations in SE2, however, has been shown to be alternatively spliced predominantly using the nt 3605 3 splice site.","{'0': 'a pre-mRNA containing mutations in SE2', '1': 'the nt 3605 3 splice site'}"
