id,source,text,arguments
0,EGRAM,"FGF8b, as we and others have shown, can efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
1,EGRAM,"FGF8b, as we and others have shown, can transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
2,EGRAM,"FGF8b, as we and others have shown, could efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
3,EGRAM,"FGF8b, as we and others have shown, could transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
4,EGRAM,"FGF8b, as we and others have shown, efficicently transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
5,EGRAM,"FGF8b, as we and others have shown, efficicently transforms the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
6,EGRAM,"FGF8b, as we and others have shown, has been found to efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
7,EGRAM,"FGF8b, as we and others have shown, has been found to transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
8,EGRAM,"FGF8b, as we and others have shown, has efficicently transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
9,EGRAM,"FGF8b, as we and others have shown, has the ability to efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
10,EGRAM,"FGF8b, as we and others have shown, has the ability to transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
11,EGRAM,"FGF8b, as we and others have shown, has transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
12,EGRAM,"FGF8b, as we and others have shown, is able to efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
13,EGRAM,"FGF8b, as we and others have shown, is able to transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
14,EGRAM,"FGF8b, as we and others have shown, is observed to efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
15,EGRAM,"FGF8b, as we and others have shown, is observed to transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
16,EGRAM,"FGF8b, as we and others have shown, may efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
17,EGRAM,"FGF8b, as we and others have shown, may have efficicently transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
18,EGRAM,"FGF8b, as we and others have shown, may have transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
19,EGRAM,"FGF8b, as we and others have shown, may transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
20,EGRAM,"FGF8b, as we and others have shown, transformed the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
21,EGRAM,"FGF8b, as we and others have shown, transforms the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
22,EGRAM,"FGF8b, as we and others have shown, will efficicently transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
23,EGRAM,"FGF8b, as we and others have shown, will transform the midbrain into a cerebellum fate, whereas FGF8a can promote midbrain development.","{'0': 'FGF8b', '1': 'the midbrain', 'M-MOD': 'can'}"
24,EGRAM,"For expression of the recombinant protein, pET28a-5 can be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
25,EGRAM,"For expression of the recombinant protein, pET28a-5 can be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
26,EGRAM,"For expression of the recombinant protein, pET28a-5 has been efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
27,EGRAM,"For expression of the recombinant protein, pET28a-5 has been shown to be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
28,EGRAM,"For expression of the recombinant protein, pET28a-5 has been shown to be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
29,EGRAM,"For expression of the recombinant protein, pET28a-5 has been transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
30,EGRAM,"For expression of the recombinant protein, pET28a-5 has the ability to be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
31,EGRAM,"For expression of the recombinant protein, pET28a-5 has the ability to be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
32,EGRAM,"For expression of the recombinant protein, pET28a-5 is able to be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
33,EGRAM,"For expression of the recombinant protein, pET28a-5 is able to be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
34,EGRAM,"For expression of the recombinant protein, pET28a-5 is efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
35,EGRAM,"For expression of the recombinant protein, pET28a-5 is likely to be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
36,EGRAM,"For expression of the recombinant protein, pET28a-5 is likely to be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
37,EGRAM,"For expression of the recombinant protein, pET28a-5 is observed to be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
38,EGRAM,"For expression of the recombinant protein, pET28a-5 is observed to be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
39,EGRAM,"For expression of the recombinant protein, pET28a-5 is transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
40,EGRAM,"For expression of the recombinant protein, pET28a-5 may be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
41,EGRAM,"For expression of the recombinant protein, pET28a-5 may be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
42,EGRAM,"For expression of the recombinant protein, pET28a-5 may have been efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
43,EGRAM,"For expression of the recombinant protein, pET28a-5 may have been transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
44,EGRAM,"For expression of the recombinant protein, pET28a-5 will be efficiently transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
45,EGRAM,"For expression of the recombinant protein, pET28a-5 will be transformed into Escherichia coli strain BL21(DE3).",{'1': 'pET28a-5'}
