id,source,text,arguments
0,EGRAM,"Acj6 and Drifter, thus, are able to efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
1,EGRAM,"Acj6 and Drifter, thus, are able to translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
2,EGRAM,"Acj6 and Drifter, thus, are likely to efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
3,EGRAM,"Acj6 and Drifter, thus, are likely to translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
4,EGRAM,"Acj6 and Drifter, thus, are observed to efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
5,EGRAM,"Acj6 and Drifter, thus, are observed to translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
6,EGRAM,"Acj6 and Drifter, thus, can efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
7,EGRAM,"Acj6 and Drifter, thus, can translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
8,EGRAM,"Acj6 and Drifter, thus, efficiently translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
9,EGRAM,"Acj6 and Drifter, thus, have been shown to efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
10,EGRAM,"Acj6 and Drifter, thus, have been shown to translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
11,EGRAM,"Acj6 and Drifter, thus, have efficiently translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
12,EGRAM,"Acj6 and Drifter, thus, have the ability to efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
13,EGRAM,"Acj6 and Drifter, thus, have the ability to translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
14,EGRAM,"Acj6 and Drifter, thus, have translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
15,EGRAM,"Acj6 and Drifter, thus, may efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
16,EGRAM,"Acj6 and Drifter, thus, may have efficiently translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
17,EGRAM,"Acj6 and Drifter, thus, may have translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
18,EGRAM,"Acj6 and Drifter, thus, may translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
19,EGRAM,"Acj6 and Drifter, thus, translated PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
20,EGRAM,"Acj6 and Drifter, thus, will efficiently translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
21,EGRAM,"Acj6 and Drifter, thus, will translate PN lineage information into distinct dendritic targeting specificity.","{'0': 'Acj6 and Drifter', '1': 'distinct dendritic targeting specificity', '2': 'PN lineage information'}"
22,EGRAM,Cells are able to successfully translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
23,EGRAM,Cells are able to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
24,EGRAM,Cells are able to use signalling networks to commonly translate extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
25,EGRAM,Cells are able to use signalling networks to translate extracellular signals into specific cellular functions with high fidelity.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
26,EGRAM,Cells are able to use signalling networks to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
27,EGRAM,Cells are likely to successfully translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
28,EGRAM,Cells are likely to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
29,EGRAM,Cells are likely to use signalling networks to commonly translate extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
30,EGRAM,Cells are likely to use signalling networks to translate extracellular signals into specific cellular functions with high fidelity.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
31,EGRAM,Cells are likely to use signalling networks to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
32,EGRAM,Cells are observed to successfully translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
33,EGRAM,Cells are observed to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
34,EGRAM,Cells are observed to use signalling networks to commonly translate extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
35,EGRAM,Cells are observed to use signalling networks to translate extracellular signals into specific cellular functions with high fidelity.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
36,EGRAM,Cells are observed to use signalling networks to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
37,EGRAM,Cells can successfully translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
38,EGRAM,Cells can translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
39,EGRAM,Cells can use signalling networks to commonly translate extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
40,EGRAM,Cells can use signalling networks to translate extracellular signals into specific cellular functions with high fidelity.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
41,EGRAM,Cells can use signalling networks to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
42,EGRAM,Cells have been shown to successfully translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
43,EGRAM,Cells have been shown to translate with high fidelity extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
44,EGRAM,Cells have been shown to use signalling networks to commonly translate extracellular signals into specific cellular functions.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
45,EGRAM,Cells have been shown to use signalling networks to translate extracellular signals into specific cellular functions with high fidelity.,"{'0': 'Cells', '1': 'specific cellular functions', '2': 'extracellular signals'}"
