id,source,text,arguments
0,EGRAM,A G-to-A transition at the first nucleotide of intron 2 of patient 1 abolished normal splicing.,"{'0': 'a G-to-A transition at the first nucleotide of intron 2', '1': 'normal splicing'}"
1,EGRAM,A G-to-A transition at the first nucleotide of intron 2 of patient 1 abolishes normal splicing.,"{'0': 'a G-to-A transition at the first nucleotide of intron 2', '1': 'normal splicing'}"
2,EGRAM,Alp activity is abolished by Insertions which interrupt this open reading frame.,"{'0': 'Insertions', '1': 'Alp activity'}"
3,EGRAM,Alp activity was abolished by Insertions which interrupt this open reading frame.,"{'0': 'Insertions', '1': 'Alp activity'}"
4,EGRAM,"Co-administered DM, which is able to abolish completely the CPP effect induced by morphine, had no effect on morphine-induced behavioral sensitization.","{'0': 'co-administered DM', '1': 'the CPP effect'}"
5,EGRAM,"Co-administered DM, which was able to abolish completely the CPP effect induced by morphine, had no effect on morphine-induced behavioral sensitization.","{'0': 'co-administered DM', '1': 'the CPP effect'}"
6,EGRAM,"Disruption of rpoS, mlrA or csgA, and the curli subunit gene abolish HA and curli production by strain chi7122.","{'0': 'disruption of rpoS, mlrA or csgA, and the curli subunit gene', '1': 'HA and curli production by strain chi7122'}"
7,EGRAM,"Disruption of rpoS, mlrA or csgA, and the curli subunit gene abolished HA and curli production by strain chi7122.","{'0': 'disruption of rpoS, mlrA or csgA, and the curli subunit gene', '1': 'HA and curli production by strain chi7122'}"
8,EGRAM,Formation of liver metastases in mice is abolished by linomide and antibody-targeted superantigen therapy.,"{'0': 'Linomide and antibody-targeted superantigen therapy', '1': 'formation of liver metastases in mice'}"
9,EGRAM,Formation of liver metastases in mice was abolished by linomide and antibody-targeted superantigen therapy.,"{'0': 'Linomide and antibody-targeted superantigen therapy', '1': 'formation of liver metastases in mice'}"
10,EGRAM,"Furthermore, acid resistance in stationary-phase cells has been completely abolished by the deletion of yhiE, suggesting that YhiE plays a critical role in stationary-phase acid resistance.","{'0': 'the deletion of yhiE', '1': 'acid resistance'}"
11,EGRAM,"Furthermore, acid resistance in stationary-phase cells is completely abolished by the deletion of yhiE, suggesting that YhiE plays a critical role in stationary-phase acid resistance.","{'0': 'the deletion of yhiE', '1': 'acid resistance'}"
12,EGRAM,"Furthermore, the deletion of yhiE completely abolishes acid resistance in stationary-phase cells, suggesting that YhiE plays a critical role in stationary-phase acid resistance.","{'0': 'the deletion of yhiE', '1': 'acid resistance'}"
13,EGRAM,"Furthermore, the deletion of yhiE has completely abolished acid resistance in stationary-phase cells, suggesting that YhiE plays a critical role in stationary-phase acid resistance.","{'0': 'the deletion of yhiE', '1': 'acid resistance'}"
14,EGRAM,"Furthermore, the deletion of yhiE will completely abolish acid resistance in stationary-phase cells, suggesting that YhiE plays a critical role in stationary-phase acid resistance.","{'0': 'the deletion of yhiE', '1': 'acid resistance'}"
15,EGRAM,"Groucho binding is abolished by mutating a conserved phenylalanine of the eh1/GEH sequence to glutamic acid (Jimnez et al., 1999).","{'0': 'mutating a conserved phenylalanine of the eh1/GEH sequence to glutamic acid', '1': 'Groucho binding'}"
16,EGRAM,"Groucho binding was abolished by mutating a conserved phenylalanine of the eh1/GEH sequence to glutamic acid (Jimnez et al., 1999).","{'0': 'mutating a conserved phenylalanine of the eh1/GEH sequence to glutamic acid', '1': 'Groucho binding'}"
