id,source,text,arguments
0,EGRAM,Cytokines altered the expression and activity of the multidrug resistance transporters in human hepatoma cell lines; analysis using RT-PCR and cDNA microarrays.,"{'0': 'Cytokines', '1': 'the expression and activity of the multidrug resistance transporters', '4': 'human hepatoma cell lines'}"
1,EGRAM,Cytokines are able to alter the expression and activity of the multidrug resistance transporters in human hepatoma cell lines; analysis using RT-PCR and cDNA microarrays.,"{'0': 'Cytokines', '1': 'the expression and activity of the multidrug resistance transporters', '4': 'human hepatoma cell lines'}"
2,EGRAM,Cytokines can alter the expression and activity of the multidrug resistance transporters in human hepatoma cell lines; analysis using RT-PCR and cDNA microarrays.,"{'0': 'Cytokines', '1': 'the expression and activity of the multidrug resistance transporters', '4': 'human hepatoma cell lines'}"
3,EGRAM,Cytokines have the ability to alter the expression and activity of the multidrug resistance transporters in human hepatoma cell lines; analysis using RT-PCR and cDNA microarrays.,"{'0': 'Cytokines', '1': 'the expression and activity of the multidrug resistance transporters', '4': 'human hepatoma cell lines'}"
4,EGRAM,Cytokines may alter the expression and activity of the multidrug resistance transporters in human hepatoma cell lines; analysis using RT-PCR and cDNA microarrays.,"{'0': 'Cytokines', '1': 'the expression and activity of the multidrug resistance transporters', '4': 'human hepatoma cell lines'}"
5,EGRAM,Either the conserved gt or ag dinucleotide splice sites could be altered by four other mutations in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
6,EGRAM,Either the conserved gt or ag dinucleotide splice sites is altered by four other mutations in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
7,EGRAM,Either the conserved gt or ag dinucleotide splice sites may be altered by four other mutations in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
8,EGRAM,Either the conserved gt or ag dinucleotide splice sites was altered by four other mutations in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
9,EGRAM,Four other mutations altered either the conserved gt or ag dinucleotide splice sites in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
10,EGRAM,Four other mutations are able to alter either the conserved gt or ag dinucleotide splice sites in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
11,EGRAM,Four other mutations can alter either the conserved gt or ag dinucleotide splice sites in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
12,EGRAM,Four other mutations may alter either the conserved gt or ag dinucleotide splice sites in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
13,EGRAM,Four other mutations were able to alter either the conserved gt or ag dinucleotide splice sites in the IVD gene.,"{'0': 'Four other mutations', '1': 'either the conserved gt or ag dinucleotide splice sites', '4': 'the IVD gene'}"
14,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed are able to be altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
15,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed can be altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
16,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed could be altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
17,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed is altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
18,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed may be altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
19,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity because the specific protein DNA interactions observed was altered by the change in DNA conformation.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
20,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation can subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
21,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation is able to subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
22,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation may be able to subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
23,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation may subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
24,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation subtly altered the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
25,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably because the change in DNA conformation subtly alters the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
26,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which can subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
27,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which is able to subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
28,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which may be able to subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
29,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which may subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
30,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which subtly altered the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
31,EGRAM,"Hence, Glu13 indirectly affects DNA-binding specificity probably due to the change in DNA conformation, which was able to subtly alter the specific protein DNA interactions observed.","{'0': 'the change in DNA conformation', '1': 'the specific protein DNA interactions observed'}"
32,EGRAM,"In protein-coding transcripts, 79% of splice variations alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
33,EGRAM,"In protein-coding transcripts, 79% of splice variations are able to alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
34,EGRAM,"In protein-coding transcripts, 79% of splice variations can alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
35,EGRAM,"In protein-coding transcripts, 79% of splice variations could alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
36,EGRAM,"In protein-coding transcripts, 79% of splice variations may alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
37,EGRAM,"In protein-coding transcripts, 79% of splice variations will alter the protein product. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
38,EGRAM,"In protein-coding transcripts, the protein product can be altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
39,EGRAM,"In protein-coding transcripts, the protein product could be altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
40,EGRAM,"In protein-coding transcripts, the protein product is able to be altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
41,EGRAM,"In protein-coding transcripts, the protein product is altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
42,EGRAM,"In protein-coding transcripts, the protein product may be altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
43,EGRAM,"In protein-coding transcripts, the protein product was altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
44,EGRAM,"In protein-coding transcripts, the protein product will be altered by 79% of splice variations. Whole-transcriptome analyses resulted in the identification of 2,431 sense-antisense pairs.","{'0': 'splice variations', '1': 'the protein product'}"
45,EGRAM,"It is believed that the molecular lesion associated with s1031 is able to alter splicing, we looked at the sos-1 mRNA produced in this mutant.","{'0': 'the molecular lesion associated with s1031', '1': 'splicing'}"
