id,source,text,arguments
0,EGRAM,"Growth of gaal, gpi8 and gpi16 deletants, when transferred to a glucose-containing medium in order to deplete these proteins, can begin to decline at 12, 6 and 6 h , respectively, after transfer and ceased at 24, 12 and 12 h.","{'0': 'growth of gaal, gpi8 and gpi16 deletants', '1': 'to decline at 12, 6 and 6 h'}"
1,EGRAM,"Growth of gaal, gpi8 and gpi16 deletants, when transferred to a glucose-containing medium in order to deplete these proteins, could begin to decline at 12, 6 and 6 h , respectively, after transfer and ceased at 24, 12 and 12 h.","{'0': 'growth of gaal, gpi8 and gpi16 deletants', '1': 'to decline at 12, 6 and 6 h'}"
2,EGRAM,"Growth of the gpi17 deletant may probably begin to decline at 6 h after transfer to a glucose-containing medium, but growth can continue slowly for 33 h.","{'0': 'Growth of the gpi17 deletant', '1': 'to decline at 6 h after transfer to a glucose-containing medium'}"
3,EGRAM,Growth of the gpi17 deletant that has begun to decline at 6 h after transfer to a glucose-containing medium can continue slowly for 33 h.,"{'0': 'Growth of the gpi17 deletant', '1': 'to decline at 6 h after transfer to a glucose-containing medium'}"
4,EGRAM,Growth of the gpi17 deletant which has probably begun to decline at 6 h after transfer to a glucose-containing medium can continue slowly for 33 h.,"{'0': 'Growth of the gpi17 deletant', '1': 'to decline at 6 h after transfer to a glucose-containing medium'}"
5,EGRAM,"Growth of the gpi17 deletant, as our study suggested, was able to begin declining at 6 h after transfer to a glucose-containing medium, but growth could continue slowly for 33 h.","{'0': 'Growth of the gpi17 deletant', '1': 'declining at 6 h after transfer to a glucose-containing medium'}"
6,EGRAM,The levels of immunoreactive IB are able to promptly begin returning to basal levels following 3-4 h exposures to poly IC.,"{'0': 'The levels of immunoreactive IB', '1': 'returning to basal levels following 3-4 h exposures to poly IC'}"
7,EGRAM,The levels of immunoreactive IB could promptly begin to return to basal levels following 3-4 h exposures to poly IC.,"{'0': 'The levels of immunoreactive IB', '1': 'to return to basal levels following 3-4 h exposures to poly IC'}"
8,EGRAM,"The levels of immunoreactive IB, as several research works revealed, could begin to return to basal levels following 3-4 h exposures to poly IC.","{'0': 'The levels of immunoreactive IB', '1': 'to return to basal levels following 3-4 h exposures to poly IC'}"
9,EGRAM,"The levels of immunoreactive IB, as several research works revealed, might begin to return to basal levels following 3-4 h exposures to poly IC.","{'0': 'The levels of immunoreactive IB', '1': 'to return to basal levels following 3-4 h exposures to poly IC'}"
