id,source,text,arguments
0,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation might be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
1,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation were able to be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
2,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation were believed to be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
3,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation would be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
4,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine blocked agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
5,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine could block agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
6,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine had blocked agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
7,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine might block agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
8,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine might have blocked agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
9,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine was able to block agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
10,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine was believed to block agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
11,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine was believed to have blocked agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
12,EGRAM,"A downstream kinase appeared to be essential for agrin-mediated signaling, since staurosporine was blocking agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
13,EGRAM,"A downstream kinase appears to be essential for agrin-mediated signaling because of staurosporines ability to block agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
14,EGRAM,"A downstream kinase appears to be essential for agrin-mediated signaling because of staurosporines blocking agrin-induced AChR clustering and phosphorylation without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
15,EGRAM,"A downstream kinase appears to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation are able to be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
16,EGRAM,"A downstream kinase appears to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation are believed to be blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
17,EGRAM,"A downstream kinase appears to be essential for agrin-mediated signaling, since agrin-induced AChR clustering and phosphorylation are blocked by staurosporine without inhibiting MuSK phosphorylation (Wallace, 1994; Fuhrer et al., 1997).","{'0': 'staurosporine', '1': 'agrin-induced AChR clustering and phosphorylation'}"
