id,source,text,arguments
0,EGRAM,"DNA helicases are able to catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
1,EGRAM,"DNA helicases are enzymes being able to catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
2,EGRAM,"DNA helicases are enzymes being believed to catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
3,EGRAM,"DNA helicases are enzymes catalyzing the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
4,EGRAM,"DNA helicases are enzymes that are able to catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
5,EGRAM,"DNA helicases are enzymes that are believed to catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
6,EGRAM,"DNA helicases are enzymes that can catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
7,EGRAM,"DNA helicases are enzymes that catalyzed the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
8,EGRAM,"DNA helicases can catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
9,EGRAM,"DNA helicases catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
10,EGRAM,"DNA helicases catalyzed the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
11,EGRAM,"DNA helicases have catalyzed the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
12,EGRAM,"DNA helicases may catalyze the unwinding of DNA by disrupting the hydrogen bonding between paired bases as they progress along the DNA strand in a polar fashion (either 35 or 53), and have been shown to be involved in many essential cellular processes, including replication, transcription, DNA repair and translation (for reviews see West, 1996; Bird et al., 1998; Lohman et al., 1998; Hall and Matson, 1999).","{'0': 'DNA helicases', '1': 'the unwinding of DNA'}"
13,EGRAM,"Helicases are able to not only catalyse the disruption of hydrogen boding between complementary regions of nucleic acids, but also move along nucleic acid strands in a polar fashion.","{'0': 'Helicases', '1': 'the disruption of hydrogen boding between complementary regions of nucleic acids'}"
14,EGRAM,"Helicases are believed to not only catalyse the disruption of hydrogen boding between complementary regions of nucleic acids, but also move along nucleic acid strands in a polar fashion.","{'0': 'Helicases', '1': 'the disruption of hydrogen boding between complementary regions of nucleic acids'}"
15,EGRAM,"Helicases can not only catalyse the disruption of hydrogen boding between complementary regions of nucleic acids, but also move along nucleic acid strands in a polar fashion.","{'0': 'Helicases', '1': 'the disruption of hydrogen boding between complementary regions of nucleic acids'}"
16,EGRAM,"Helicases not only catalysed the disruption of hydrogen boding between complementary regions of nucleic acids, but also moved along nucleic acid strands in a polar fashion.","{'0': 'Helicases', '1': 'the disruption of hydrogen boding between complementary regions of nucleic acids'}"
17,EGRAM,"Helicases will not only catalyse the disruption of hydrogen boding between complementary regions of nucleic acids, but also move along nucleic acid strands in a polar fashion.","{'0': 'Helicases', '1': 'the disruption of hydrogen boding between complementary regions of nucleic acids'}"
18,EGRAM,"However, Rep78 and Rep68 being able to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
19,EGRAM,"However, Rep78 and Rep68 catalysing the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
20,EGRAM,"However, Rep78 and Rep68 having the ability to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
21,EGRAM,"However, Rep78 and Rep68 that are able to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
22,EGRAM,"However, Rep78 and Rep68 that can catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
23,EGRAM,"However, Rep78 and Rep68 that catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
24,EGRAM,"However, Rep78 and Rep68 that catalysed the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
25,EGRAM,"However, Rep78 and Rep68 that have the ability to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
26,EGRAM,"However, Rep78 and Rep68 that may catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
27,EGRAM,"However, Rep78 and Rep68 which are able to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
28,EGRAM,"However, Rep78 and Rep68 which can catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
29,EGRAM,"However, Rep78 and Rep68 which catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
30,EGRAM,"However, Rep78 and Rep68 which catalysed the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
31,EGRAM,"However, Rep78 and Rep68 which have the ability to catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
32,EGRAM,"However, Rep78 and Rep68 which may catalyse the packaging reaction up to 1000-fold less efficiently posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
33,EGRAM,"However, it is interesting to note that Rep78 and Rep68 are observed to catalyse the packaging reaction up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
34,EGRAM,"However, it is interesting to note that Rep78 and Rep68 are shown to catalyse the packaging reaction up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
35,EGRAM,"However, it is interesting to note that Rep78 and Rep68 can catalyse the packaging reaction up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
36,EGRAM,"However, it is interesting to note that Rep78 and Rep68 catalysed the packaging reaction up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
37,EGRAM,"However, it is interesting to note that Rep78 and Rep68 have the ability to catalyse the packaging reaction up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
38,EGRAM,"However, the packaging reaction can be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
39,EGRAM,"However, the packaging reaction could be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
40,EGRAM,"However, the packaging reaction has been catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
41,EGRAM,"However, the packaging reaction has the probability to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
42,EGRAM,"However, the packaging reaction is able to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
43,EGRAM,"However, the packaging reaction is believed to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
44,EGRAM,"However, the packaging reaction is catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
45,EGRAM,"However, the packaging reaction is observed to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
46,EGRAM,"However, the packaging reaction may be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
47,EGRAM,"However, the packaging reaction might be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
48,EGRAM,"However, the packaging reaction was able to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
49,EGRAM,"However, the packaging reaction was catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
50,EGRAM,"However, the packaging reaction was observed to be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
51,EGRAM,"However, the packaging reaction will be catalysed by Rep78 and Rep68 up to 1000-fold less efficiently, although they posses the entire Rep52 and Rep40 coding regions, respectively.","{'0': 'Rep78 and Rep68', '1': 'the packaging reaction'}"
52,EGRAM,Our previous studies used in vitro hepatic microsomal preparations suggested that human P450 3A (CYP3A) can be most likely to catalyse the hepatic metabolism of quinine to form the major metabolite 3-hydroxyquinine,"{'0': 'human P450 3A (CYP3A)', '1': 'the hepatic metabolism of quinine'}"
53,EGRAM,Our previous studies used in vitro hepatic microsomal preparations suggested that human P450 3A (CYP3A) can mostly catalyse the hepatic metabolism of quinine to form the major metabolite 3-hydroxyquinine.,"{'0': 'human P450 3A (CYP3A)', '1': 'the hepatic metabolism of quinine'}"
54,EGRAM,Our previous studies used in vitro hepatic microsomal preparations suggested that human P450 3A (CYP3A) catalysed the hepatic metabolism of quinine to form the major metabolite 3-hydroxyquinine.,"{'0': 'human P450 3A (CYP3A)', '1': 'the hepatic metabolism of quinine'}"
