id,source,text,arguments
0,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance may be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
1,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance might be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
2,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that resistance might be conferred by substitutions at Gly156 and Lys165 to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
3,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that substitutions at Gly156 and Lys165 are observed to confer resistance to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
4,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that substitutions at Gly156 and Lys165 may have conferred resistance to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
5,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that substitutions at Gly156 and Lys165 may have the ability to confer resistance to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
6,EGRAM,"Besides these side chain interactions with the 06-alkyl group, structure-based analysis of mutational data suggests that substitutions at Gly156 and Lys165 were believed to confer resistance to 06-BG through backbone distortions.","{'0': 'substitutions at Gly156 and Lys165', '1': 'resistance', '2': '06-BG'}"
7,EGRAM,Human 06-alkylguaning-DNA alkyltransferase (AGT) which confers resistance to alkylation chemotherapies is therefore an active anticancer drug target.,"{'0': 'Human 06-alkylguaning-DNA alkyltransferase', '1': 'resistance', '2': 'alkylation chemotherapies'}"
8,EGRAM,"In addition, EvgA overexpression was not able to confer resistance in a tolC-deficient strain.","{'0': 'EvgA overexpression', '1': 'resistance'}"
9,EGRAM,"In addition, loss-of-function mutations have not been conferred by nonsense or frameshift alterations in the coding sequence or by splice variants, genetic screening has revealed a large number of missense codons with less obvious functional consequences.","{'0': 'nonsense or frameshift alterations in the coding sequence or by splice variants', '1': 'loss-of-function mutations', 'M-NEG': 'not'}"
10,EGRAM,"In addition, loss-of-function mutations is believed not to be conferred by nonsense or frameshift alterations in the coding sequence or by splice variants, genetic screening has revealed a large number of missense codons with less obvious functional consequences.","{'0': 'nonsense or frameshift alterations in the coding sequence or by splice variants', '1': 'loss-of-function mutations', 'M-NEG': 'not'}"
11,EGRAM,"In itself, an increased risk of diabetes is not able to be conferred by the gene variant.","{'0': 'the gene variant', '1': 'an increased risk of diabetes', 'M-NEG': 'not'}"
12,EGRAM,"In itself, an increased risk of diabetes will not have been conferred by the gene variant.","{'0': 'the gene variant', '1': 'an increased risk of diabetes', 'M-NEG': 'not'}"
13,EGRAM,"In itself, the gene variant is believed not to confer an increased risk of diabetes.","{'0': 'the gene variant', '1': 'an increased risk of diabetes', 'M-NEG': 'not'}"
14,EGRAM,"In itself, the gene variant was not able to confer an increased risk of diabetes.","{'0': 'the gene variant', '1': 'an increased risk of diabetes', 'M-NEG': 'not'}"
15,EGRAM,"In itself, the gene variant will not have conferred an increased risk of diabetes.","{'0': 'the gene variant', '1': 'an increased risk of diabetes', 'M-NEG': 'not'}"
16,EGRAM,"Increased AGT levels parallel acquired alkylation resistance in human tumors (Brent et al., 1985; Mattern et al., 1998), and transfection of AGT might confer resistance to alkylation-sensitive cells (Kaina et al., 1991), demonstrating the role of AGT in therapeutic resistance.","{'0': 'transfection of AGT', '1': 'resistance', '2': 'alkylation-sensitive cells'}"
17,EGRAM,"Increased AGT levels parallel acquired alkylation resistance in human tumors (Brent et al., 1985; Mattern et al., 1998), and transfection of AGT would confer resistance to alkylation-sensitive cells (Kaina et al., 1991), demonstrating the role of AGT in therapeutic resistance.","{'0': 'transfection of AGT', '1': 'resistance', '2': 'alkylation-sensitive cells'}"
18,EGRAM,"Likewise, the introduced charge of Gly160His and Gly160Arg mutants would repel the benzyl group (Figure 3B), the 06-BG resistance could be conferred by these mutations (Xu-Welliver et al., 1999a).","{'0': 'these mutations', '1': '06-BG resistance'}"
