id,source,text,arguments
0,EGRAM,"Deletion of the arcA gene caused about a 2-fold increase in the ptsG expression, and glucose consumption have been significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
1,EGRAM,"Deletion of the arcA gene caused about a 2-fold increase in the ptsG expression, and glucose consumption were significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
2,EGRAM,"Deletion of the arcA gene caused about a 2-fold increase in the ptsG expression, and overexpression of ArcA has significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
3,EGRAM,"Deletion of the arcA gene caused about a 2-fold increase in the ptsG expression, and overexpression of ArcA is observed to have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
4,EGRAM,"Deletion of the arcA gene caused about a 2-fold increase in the ptsG expression, and overexpression of ArcA was observed to have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
5,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption are significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
6,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption can be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
7,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption can have been significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
8,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption could be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
9,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption is able to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
10,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption is believed to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
11,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption is shown to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
12,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption may be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
13,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption may have been significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
14,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption might be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
15,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption was able to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
16,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption was believed to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
17,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption was shown to be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
18,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption will be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
19,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption will have been significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
20,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and glucose consumption would be significantly decreased by overexpression of ArcA will significantly.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
21,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA can have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
22,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA can significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
23,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA could significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
24,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is able to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
25,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is believed to have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
26,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is believed to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
27,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is observed to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
28,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is shown to have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
29,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA is shown to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
30,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA may have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
31,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA may significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
32,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA might significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
33,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA significantly decreases glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
34,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA was able to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
35,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA was believed to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
36,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA was shown to significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
37,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA will significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
38,EGRAM,"Deletion of the arcA gene causes about a 2-fold increase in the ptsG expression, and overexpression of ArcA would significantly decrease glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
39,EGRAM,"Deletion of the arcA gene has caused about a 2-fold increase in the ptsG expression, and overexpression of ArcA will have significantly decreased glucose consumption.","{'0': 'overexpression of ArcA', '1': 'glucose consumption'}"
40,EGRAM,"Disruption of narL can decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
41,EGRAM,"Disruption of narL can have decreased nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
42,EGRAM,"Disruption of narL could decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there could be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
43,EGRAM,"Disruption of narL decreased nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
44,EGRAM,"Disruption of narL has decreased nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there might be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
45,EGRAM,"Disruption of narL has the ability to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
46,EGRAM,"Disruption of narL is able to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
47,EGRAM,"Disruption of narL is believed to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
48,EGRAM,"Disruption of narL is shown to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
49,EGRAM,"Disruption of narL may decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
50,EGRAM,"Disruption of narL may have decreased nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
51,EGRAM,"Disruption of narL might decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there might be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
52,EGRAM,"Disruption of narL was able to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there may be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
53,EGRAM,"Disruption of narL was believed to decrease nitrite induction of the nirB promoter whilst not suppressing induction by nitrate, suggesting that there might be a second nitrate-responsive factor.","{'0': 'Disruption of narL', '1': 'nitrite induction of the nirB promoter'}"
