id,source,text,arguments
0,EGRAM,"Alternative mRNA splicing in the coding region (encoded by exons 3-12) generates transcripts which have deleted exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt) and that encode distinct protein isoforms (delta25, delta52 and delta56 aa, respectively).","{'1': 'exons 8 (75 nt), 7+8 (156 nt) or 8+9 (168 nt)'}"
1,EGRAM,Appropriate progenitor strains will be constructed to delete virtually any chromosomal region by utilizing an extensive collection of lines containing single P element insertions throughout the Drosophila genome.,"{'0': 'Appropriate progenitor strains', '1': 'any chromosomal region'}"
2,EGRAM,Appropriate progenitor strains will be constructed to delete virtually any chromosomal region by utilizing an extensive collection of lines containing single P element insertions throughout the Drosophila genome.,"{'0': 'Appropriate progenitor strains', '1': 'any chromosomal region'}"
3,EGRAM,"By using homologous recombination in mouse embryonic stem cells, the headpiece domain of dematin will be deleted to evaluate its function in vivo.","{'0': 'using homologous recombination in mouse embryonic stem cells', '1': 'the headpiece domain of dematin'}"
4,EGRAM,Colonies of C.albicans cells that can be deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,{'1': 'CST20'}
5,EGRAM,Colonies of C.albicans cells which are deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,{'1': 'Colonies of C.albicans cells'}
6,EGRAM,"Exon 4 sequences may be deleted by alternative messenger RNA (mRNA) splicing, resulting in a mRNA that does not encode a functional IL-2 receptor.","{'0': 'Alternative messenger RNA (mRNA) splicing', '1': 'exon 4 sequences', 'M-MOD': 'may'}"
7,EGRAM,"However, the GATA-4 mutants being able to delete the C-terminal transactivition domain (1  332, 201  332) were all unable to support MEF2 synergy.",{'1': 'C-terminal transactivition domain'}
8,EGRAM,"Of the splicing mutations, the IVS2+1 allele produced a single transcript where exon 2 has been deleted.",{'1': 'exon 2'}
9,PERMUTATE,"By Appropriate progenitor strains, any chromosomal region will be deleted to evaluate its function in vivo.","{'0': 'Appropriate progenitor strains', '1': 'any chromosomal region'}"
10,PERMUTATE,"By the transposon, the URA3, tetA, and lacZ genes between the two loxP sites was deleted to evaluate its function in vivo.","{'0': 'the transposon', '1': 'the URA3, tetA, and lacZ genes between the two loxP sites'}"
11,PERMUTATE,Colonies of C.albicans cells which can be deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,{'1': 'CST20'}
12,PERMUTATE,Colonies of C.albicans cells which can delete CST20 were able to synergize with MEF2A (Figure 6A).,{'1': 'CST20'}
13,PERMUTATE,Colonies of C.albicans cells which were deleted for CST20 revealed defects in the lateral formation of mycelia on synthetic solid Spider media.,{'1': 'CST20'}
