id,source,text,arguments
0,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the ability to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
1,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the ability to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
2,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the ability to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
3,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son has the risk of developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
4,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son is found to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
5,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) is identified in an asymptomatic female carrier whose son will have developed acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
6,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son could develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
7,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son had the risk of developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
8,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son has been developing acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
9,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son might develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
10,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was believed to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
11,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son was found to develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
12,EGRAM,A C-to-T transition in codon 214 creating a new RsaI recognition site in exon 6 and substituting tyrosine for histidine (H214Y) was identified in an asymptomatic female carrier whose son would develop acute neonatal onset of OTC deficiency.,{'0': 'whose son'}
13,EGRAM,"Although Pin1 -/- mice are believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
14,EGRAM,"Although Pin1 -/- mice are believed to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
15,EGRAM,"Although Pin1 -/- mice are found to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
16,EGRAM,"Although Pin1 -/- mice are found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
17,EGRAM,"Although Pin1 -/- mice are predicted to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
18,EGRAM,"Although Pin1 -/- mice are previously found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
19,EGRAM,"Although Pin1 -/- mice are previously found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
20,EGRAM,"Although Pin1 -/- mice can develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
21,EGRAM,"Although Pin1 -/- mice can have previously developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
22,EGRAM,"Although Pin1 -/- mice have been found to have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
23,EGRAM,"Although Pin1 -/- mice have been shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
24,EGRAM,"Although Pin1 -/- mice have been shown to develop normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
25,EGRAM,"Although Pin1 -/- mice have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
26,EGRAM,"Although Pin1 -/- mice have developed normally (Fujimori et al., 1999), we have uncovered that they display a range of cell proliferative abnomalities, including decreased body size, retinal degenration and neurological abnormalities.","{'0': 'mice', 'M-MAN': 'normally'}"
