id,source,text,arguments
0,EGRAM,A homozygous mutation that disrupted splicing has been identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
1,EGRAM,"Importantly, the findings show that the knockout of MEKK1 or MEKK2 expression could not disrupt the overall integrity of MAPK pathway regulation.","{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation', 'M-NEG': 'not'}"
2,EGRAM,Mutations in p53 disrupting checkpoint responses to DNA damage can result in the potential for destabilization of the genome.,"{'0': 'Mutations in p53', '1': 'checkpoint responses to DNA damage'}"
3,EGRAM,"Mutations in this region are able to disrupt keratin filament assembly, leading to degeneration or cytolysis of keratinocytes.","{'0': 'Mutations in this region', '1': 'keratin filament assembly'}"
4,EGRAM,"Mutations in this region can disrupt keratin filament assembly, leading to degeneration or cytolysis of keratinocytes.","{'0': 'Mutations in this region', '1': 'keratin filament assembly'}"
5,EGRAM,Quantitative single-unit electrophysiology revealed that alcohol exposure has been shown to disrupt ocular dominance plasticity while preserving robust visual responses.,"{'0': 'alcohol exposure', '1': 'ocular dominance plasticity'}"
6,EGRAM,"Studies using polymerase chain reaction, restriction enzyme digestion (the Gly188----Glu mutation having disrupted an Ava II site, the Arg243----His mutation, a Hha I site, and the Asp250----Asn mutation, a Taq I site), and allele-specific oligonucleotide hybridization confirmed that the patients were indeed compound heterozygous for the respective mutations.","{'0': 'the Gly188----Glu mutation', '1': 'an Ava II site'}"
7,EGRAM,"The zinc finger motif, which specifically recognizes the GO:C pair, is firmly fixed with respect to the C-terminal domain by the hydrogen bond network, so the Lys147Ala substitution has the ability to disrupt the interaction, resulting in a drastic decrease of activity against GO:C substrates.","{'0': 'the Lys147Ala substitution', '1': 'the interaction'}"
8,EGRAM,"The zinc finger motif, which specifically recognizes the GO:C pair, is firmly fixed with respect to the C-terminal domain by the hydrogen bond network, so the Lys147Ala substitution would be found to disrupt the interaction, resulting in a drastic decrease of activity against GO:C substrates.","{'0': 'the Lys147Ala substitution', '1': 'the interaction'}"
9,EGRAM,This deletion is able to disrupt the consensus 5 splice signal and led to exon skipping.,"{'0': 'This deletion', '1': 'the consensus 5 splice signal'}"
10,EGRAM,"Thus, the act of disrupting the tumour vessels by manipulation of the Tie-2 system in tumours may result in side-effects in peripheral nerves.","{'0': 'manipulation of the Tie-2 system in tumours', '1': 'the tumour vessels'}"
11,EGRAM,Treatment of the systemic inflammatory response to CPB is also confounded by the fact that inhibition of inflammation may have disrupted protective physiologic responses or result in immunosuppression.,"{'0': 'inhibition of inflammation', '1': 'protective physiologic responses'}"
12,EGRAM,"When both genes has been observed to be disrupted, galS expression was further elevated.","{'1': 'both genes', '2': 'galS expression was further elevated'}"
13,MEDLINE,A homozygous mutation that disrupts splicing has been identified in affected siblings with classical abetalipoproteinemia.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
14,MEDLINE,This deletion disrupted the consensus 5 splice signal and led to exon skipping.,"{'0': 'This deletion', '1': 'the consensus 5 splice signal'}"
15,MEDLINE,"Thus, attempts to disrupt the tumour vessels by manipulation of the Tie-2 system in tumours may result in side-effects in peripheral nerves.","{'0': 'manipulation of the Tie-2 system in tumours', '1': 'the tumour vessels'}"
16,PERMUTATE,"Importantly, the findings show that the Arg99 and Arg253 could not disrupt the pairing hydrogen bonds in the model.","{'0': 'Arg99 and Arg253', '1': 'the pairing hydrogen bonds in the model'}"
17,PERMUTATE,"Importantly, the findings show that the Arg99 and Arg253 is not able to disrupt the pairing hydrogen bonds in the model.","{'0': 'Arg99 and Arg253', '1': 'the pairing hydrogen bonds in the model'}"
18,PERMUTATE,"Importantly, the findings show that the alcohol exposure could not disrupt ocular dominance plasticity.","{'0': 'alcohol exposure', '1': 'ocular dominance plasticity'}"
19,PERMUTATE,"Importantly, the findings show that the the Gly188----Glu mutation is not able to disrupt an Ava II site.","{'0': 'the Gly188----Glu mutation', '1': 'an Ava II site'}"
20,PERMUTATE,Quantitative single-unit electrophysiology revealed that knockout of MEKK1 or MEKK2 expression disrupted the overall integrity of MAPK pathway regulation while preserving robust visual responses.,"{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation'}"
21,PERMUTATE,Quantitative single-unit electrophysiology revealed that the Gly188----Glu mutation disrupted an Ava II site while preserving robust visual responses.,"{'0': 'the Gly188----Glu mutation', '1': 'an Ava II site'}"
22,PERMUTATE,Quantitative single-unit electrophysiology revealed that this deletion disrupts the open reading frame while preserving robust visual responses.,"{'0': 'this deletion', '1': 'the open reading frame'}"
23,PERMUTATE,Quantitative single-unit electrophysiology revealed that this deletion has been shown to disrupt the open reading frame while preserving robust visual responses.,"{'0': 'this deletion', '1': 'the open reading frame'}"
24,PERMUTATE,Quantitative single-unit electrophysiology revealed that this deletion has disrupted the open reading frame while preserving robust visual responses.,"{'0': 'this deletion', '1': 'the open reading frame'}"
25,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; Arg99 and Arg253 disrupts the pairing hydrogen bonds in the model.	,"{'0': 'Arg99 and Arg253', '1': 'the pairing hydrogen bonds in the model'}"
26,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; alcohol exposure has disrupted ocular dominance plasticity.	,"{'0': 'alcohol exposure', '1': 'ocular dominance plasticity'}"
27,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; alcohol exposure is able to disrupt ocular dominance plasticity.	,"{'0': 'alcohol exposure', '1': 'ocular dominance plasticity'}"
28,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; alcohol exposure may have disrupted ocular dominance plasticity.	,"{'0': 'alcohol exposure', '1': 'ocular dominance plasticity'}"
29,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; knockout of MEKK1 or MEKK2 expression has disrupted the overall integrity of MAPK pathway regulation.	,"{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation'}"
30,PERMUTATE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; the Gly188----Glu mutation may have disrupted an Ava II site.	,"{'0': 'the Gly188----Glu mutation', '1': 'an Ava II site'}"
31,PERMUTATE,"When both genes are shown to be disrupted, galS expression was further elevated.","{'1': 'both genes', '2': 'galS expression was further elevated'}"
32,PERMUTATE,"When both genes has been disrupted, galS expression is further elevated.","{'1': 'both genes', '2': 'galS expression is further elevated'}"
33,PERMUTATE,"When both genes were disrupted, galS expression is further elevated.","{'1': 'both genes', '2': 'galS expression is further elevated'}"
34,PERMUTATE,knockout of MEKK1 or MEKK2 expression that interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA can disrupt the overall integrity of MAPK pathway regulation.,"{'0': 'knockout of MEKK1 or MEKK2 expression', '1': 'the overall integrity of MAPK pathway regulation'}"
35,PERMUTATE,the Gly188----Glu mutation that interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA can disrupt an Ava II site.,"{'0': 'the Gly188----Glu mutation', '1': 'an Ava II site'}"
36,REPLACE,"Importantly, the findings show that the A homozygous mutation is not able to disrupt splicing.","{'0': 'A homozygous mutation', '1': 'splicing'}"
37,REPLACE,"Importantly, the findings show that the Mutations in this region is not able to disrupt keratin filament assembly.","{'0': 'Mutations in this region', '1': 'keratin filament assembly'}"
38,REPLACE,"Importantly, the findings show that the R142X does not disrupt a splicing enhancer.","{'0': 'R142X', '1': 'a splicing enhancer'}"
39,REPLACE,"Importantly, the findings show that the R142X is not able to disrupt a splicing enhancer.","{'0': 'R142X', '1': 'a splicing enhancer'}"
40,REPLACE,"Importantly, the findings show that the The 415G4 mutation has not disrupt splicing enhancer sequence: (GAR)n-(GAR)n.","{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n'}"
41,REPLACE,"Importantly, the findings show that the The 415G4 mutation is not able to disrupt splicing enhancer sequence: (GAR)n-(GAR)n.","{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n'}"
42,REPLACE,"Importantly, the findings show that the These mutations is not able to disrupt the ubiquitin-binding function.","{'0': 'These mutations', '1': 'the ubiquitin-binding function'}"
43,REPLACE,"Importantly, the findings show that the inhibition of inflammation could not disrupt protective physiologic responses.","{'0': 'inhibition of inflammation', '1': 'protective physiologic responses'}"
44,REPLACE,"Importantly, the findings show that the inhibition of inflammation did not disrupt protective physiologic responses.","{'0': 'inhibition of inflammation', '1': 'protective physiologic responses'}"
45,REPLACE,"Importantly, the findings show that the the Lys147Ala substitution did not disrupt the interaction.","{'0': 'the Lys147Ala substitution', '1': 'the interaction'}"
46,REPLACE,"Importantly, the findings show that the the Lys147Ala substitution will not disrupt the interaction.","{'0': 'the Lys147Ala substitution', '1': 'the interaction'}"
47,REPLACE,"Importantly, the findings show that the the Lys147Ala substitution will not disrupt the interaction.","{'0': 'the Lys147Ala substitution', '1': 'the interaction'}"
48,REPLACE,Mutations in p53 can interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA and disrupt checkpoint responses to DNA damage.,"{'0': 'Mutations in p53', '1': 'checkpoint responses to DNA damage'}"
49,REPLACE,Mutations in p53 can interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA to disrupt checkpoint responses to DNA damage.,"{'0': 'Mutations in p53', '1': 'checkpoint responses to DNA damage'}"
50,REPLACE,Mutations in this region that interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA can disrupt keratin filament assembly.,"{'0': 'Mutations in this region', '1': 'keratin filament assembly'}"
51,REPLACE,Quantitative single-unit electrophysiology revealed that A homozygous mutation disrupted splicing while preserving robust visual responses.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
52,REPLACE,Quantitative single-unit electrophysiology revealed that Mutations in p53 disrupts checkpoint responses to DNA damage while preserving robust visual responses.,"{'0': 'Mutations in p53', '1': 'checkpoint responses to DNA damage'}"
53,REPLACE,Quantitative single-unit electrophysiology revealed that The 415G4 mutation disrupts splicing enhancer sequence: (GAR)n-(GAR)n while preserving robust visual responses.,"{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n'}"
54,REPLACE,Quantitative single-unit electrophysiology revealed that The 415G4 mutation has been shown to disrupt splicing enhancer sequence: (GAR)n-(GAR)n while preserving robust visual responses.,"{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n'}"
55,REPLACE,Quantitative single-unit electrophysiology revealed that The 415G4 mutation is able to disrupt splicing enhancer sequence: (GAR)n-(GAR)n while preserving robust visual responses.,"{'0': 'The 415G4 mutation', '1': 'splicing enhancer sequence: (GAR)n-(GAR)n'}"
56,REPLACE,Quantitative single-unit electrophysiology revealed that This deletion disrupts the consensus 5 splice signal while preserving robust visual responses.,"{'0': 'This deletion', '1': 'the consensus 5 splice signal'}"
57,REPLACE,Quantitative single-unit electrophysiology revealed that inhibition of inflammation has disrupted protective physiologic responses while preserving robust visual responses.,"{'0': 'inhibition of inflammation', '1': 'protective physiologic responses'}"
58,REPLACE,R142X that interact with the keto groups of the GO and C base pair(blue) in both sides of dsDNA can disrupt a splicing enhancer.,"{'0': 'R142X', '1': 'a splicing enhancer'}"
59,REPLACE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; A homozygous mutation disrupted splicing.,"{'0': 'A homozygous mutation', '1': 'splicing'}"
60,REPLACE,Sequencing of cloned polymerase chain reaction amplified fragments of the AMH gene revealed a 14-bp deletion in the second exon of the maternal allele; A homozygous mutation disrupts splicing.	,"{'0': 'A homozygous mutation', '1': 'splicing'}"
