id,source,text,arguments
0,EGRAM,"A 6-bp insertion located within O2 or between OT and O1 eliminates repression of the glpTQ promoter, whereas significant repression was maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
1,EGRAM,"A 6-bp insertion which eliminates repression of the glpTQ promoter is located within O2 or between OT and O1, whereas significant repression is maintained in the case of a 10-bp insertion within O2.","{'0': 'A 6-bp insertion', '1': 'repression of the glpTQ promoter'}"
2,EGRAM,All three sites eliminated make the same high level of activation of B-Raf occurs.,{'1': 'all three sites'}
3,EGRAM,"At a molar ratio of 5:1, binding will be completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
4,EGRAM,"At a molar ratio of 5:1, binding will be completely eliminated (Figure 7).","{'0': 'a molar ratio of 5:1', '1': 'binding'}"
5,EGRAM,Binding of GntR to the operators was eliminated by gluconate and also by 6-phosphogluconate at a 10-fold-higher concentration.,"{'0': 'gluconate and also by 6-phosphogluconate', '1': 'Binding of GntR to the operators'}"
6,EGRAM,"In gel shift assay, anti-ref1 antibody eliminates formation of the nCaRE-protein complex.","{'0': 'anti-ref1 antibody', '1': 'formation of the nCaRE-protein complex'}"
7,EGRAM,Inhibition of any one of these molecules eliminate exogenous H(2)O(2) in transgenic plants.,"{'0': 'inhibition of any one of these molecules', '1': 'exogenous H(2)O(2)'}"
8,EGRAM,Inhibition of any one of these molecules may eliminate exogenous H(2)O(2) in transgenic plants.,"{'0': 'inhibition of any one of these molecules', '1': 'exogenous H(2)O(2)'}"
9,EGRAM,Inhibition of any one of these molecules may eliminate exogenous H(2)O(2) in transgenic plants.,"{'0': 'inhibition of any one of these molecules', '1': 'exogenous H(2)O(2)'}"
10,EGRAM,"Inhibition of any one of these molecules, as may occur following caspase activation, has eliminated vital stem cells.","{'0': 'inhibition of any one of these molecules', '1': 'vital stem cells'}"
11,EGRAM,"Inhibition of any one of these molecules, as may occur following caspase activation, is able to eliminate vital stem cells.","{'0': 'inhibition of any one of these molecules', '1': 'vital stem cells'}"
12,EGRAM,"Inhibition of any one of these molecules, as may occur following caspase activation, is able to eliminate vital stem cells.","{'0': 'inhibition of any one of these molecules', '1': 'vital stem cells'}"
