id,source,text,arguments
0,EGRAM,A gene family is able to encode proteins involved in pre-mRNA splicing and map to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
1,EGRAM,A protein that participated in the second step of the splicing reaction was encoded by The PRP17 gene of the yeast Saccharomyces cerevisiae.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participated in the second step of the splicing reaction'}"
2,EGRAM,A protein that participates in the second step of the splicing reaction is shown to be encoded by The PRP17 gene of the yeast Saccharomyces cerevisiae.,"{'0': 'The PRP17 gene of the yeast Saccharomyces cerevisiae', '1': 'a protein that participates in the second step of the splicing reaction'}"
3,EGRAM,"It is possible, therefore, that the added sequences in the larger forms of SBP2 mRNA are involved in the process of encoding proteins with other functions.","{'0': 'the added sequences in the larger forms of SBP2 mRNA', '1': 'proteins with other functions'}"
4,EGRAM,Proteins involved in pre-mRNA splicing are encoded by a gene family including the human SNRPN (small nuclear ribonucleoprotein polypeptide N) gene which maps to the smallest deletion region involved in the Prader-Willi syndrome (PWS) within chromosome 15q11-q13.,"{'0': 'a gene family', '1': 'proteins involved in pre-mRNA splicing'}"
5,EGRAM,"Six exons that encode the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
6,EGRAM,"Six exons that encode the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
7,EGRAM,"Six exons that have encoded the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
8,EGRAM,"Six exons that have encoded the 6-pyruvoyl-tetrahydropterin synthase cause an autosomal recessively inherited variant of hyperphenylalaninemia, mostly accompanied by a deficiency of dopamine and serotonin.","{'0': 'six exons', '1': 'the 6-pyruvoyl-tetrahydropterin synthase'}"
9,EGRAM,"The gene yjfQ is shown to encode the repressor of the yjfR-X regulon (ula), which is involved in L-ascorbate metabolism in Escherichia coli.",{'0': 'the repressor of the yjfR-X regulon (ula)'}
10,EGRAM,The glp regulon of Escherichia coli is shown to encode the proteins required for utilization of sn-glycerol 3-phosphate and its precursors.,{'0': 'the proteins required for utilization of sn-glycerol 3-phosphate and its precursors'}
11,EGRAM,"We recently encloned murine and human cDNAs that have encoded CP2, a cellular transcription factor that interacts with the alpha-globin promoter as well as with additional cellular and viral promoter elements.",{'0': 'CP2'}
12,EGRAM,"We recently encloned murine and human cDNAs which may have encoded CP2, a cellular transcription factor that interacts with the alpha-globin promoter as well as with additional cellular and viral promoter elements.",{'0': 'CP2'}
