id,source,text,arguments
0,EGRAM,"In such cells at the cell surface, two in-frame Î± chain transcripts were produced, but only one of them can be expressed.","{'0': 'in-frame Î± chain transcripts', 'M-ADV': 'only'}"
1,EGRAM,"In summary, NNT-1/BSF-3 is shown to be induced by PKC, PKA and ERK1/2 dependent mechanisms and expressed in pituitary folliculostellate TtT/GF cells.",{'0': 'NNT-1/BSF-3'}
2,EGRAM,"Northern blot analysis with mRNA from eight different human tissues demonstrated that the enzyme may have been expressed exclusively in brain, with two mRNA isoforms of 2.4 and 4.0 kb.","{'0': 'the enzyme', '1': 'two mRNA isoforms of 2.4 and 4.0 kb', 'M-MAN': 'exclusively'}"
3,EGRAM,One or the other of the two available TCRs are shown to be expressed only by T cells from double TCR transgenic mice at the cell surface.,"{'0': 'one or the other of the two available TCRs', 'M-ADV': 'only'}"
4,EGRAM,T cells from double TCR transgenic mice at the cell surface are able to express only one or the other of the two available TCRs.,"{'0': 'one or the other of the two available TCRs', 'M-ADV': 'only'}"
5,EGRAM,"The human mitochondrial transcription termination factor (mTERF) cDNA is able to be expressed and cloned in vitro, and two alternative precursors of the protein have been imported into isolated mitochondria and processed to the mature protein.",{'0': 'The human mitochondrial transcription termination factor (mTERF) cDNA'}
6,EGRAM,"The human mitochondrial transcription termination factor (mTERF) cDNA is expressed and cloned in vitro, and two alternative precursors of the protein have been imported into isolated mitochondria and processed to the mature protein.",{'0': 'The human mitochondrial transcription termination factor (mTERF) cDNA'}
7,EGRAM,The pfl operon is able to be expressed at high levels anaerobically.,{'0': 'high levels anaerobically'}
8,EGRAM,The transgene-encoded TCR proteins are able to be predominantly expressed by T cells in mice at the cell surface.,{'0': 'the transgene-encoded TCR proteins'}
9,EGRAM,This functional allelic exclusion is apparently due to control of the TCR assembly process because these T cells are expressing RNA and protein for all four transgenic TCR proteins.,{'0': 'RNA and protein for all four transgenic TCR proteins'}
10,MEDLINE,"It has been assumed that this peptide exercises its mitogenic influences through the vasopressin V1a receptor, and we have previously demonstrated that this receptor is expressed by classical and variant SCCL.",{'0': 'this receptor'}
11,PERMUTATE,BD73 messenger RNA is shown to be expressed primarily in in a wide variety of tissues and cell lines and is secreted into perineuronal nets.,{'0': 'BD73 messenger RNA'}
