id,source,text,arguments
0,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and an RNA splice of 3863 bases occurring in the 5-untranslated region generated mature HeLa cell mRNA.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
1,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and an RNA splice of 3863 bases occurring in the 5-untranslated region generates mature HeLa cell mRNA.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
2,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and mature HeLa cell mRNA has been generated by an RNA splice of 3863 bases occurring in the 5-untranslated region.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
3,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and mature HeLa cell mRNA is generated by an RNA splice of 3863 bases occurring in the 5-untranslated region.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
4,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and mature HeLa cell mRNA was generated by an RNA splice of 3863 bases occurring in the 5-untranslated region.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
5,EGRAM,"A transcription start site is located approximately 4 kilobases 5 to the translation codon, and mature HeLa cell mRNA will be generated by an RNA splice of 3863 bases occurring in the 5-untranslated region.","{'0': 'an RNA splice of 3863 bases occurring in the 5-untranslated region', '1': 'mature HeLa cell mRNA'}"
6,EGRAM,Abeta peptides can be generated from proteolysis of the amyloid precursor proteins (APP) by beta- and gamma-secretases.,"{'0': 'proteolysis of the amyloid precursor proteins (APP)', '1': 'Abeta peptides'}"
7,EGRAM,Abeta peptides have been generated from proteolysis of the amyloid precursor proteins (APP) by beta- and gamma-secretases.,"{'0': 'proteolysis of the amyloid precursor proteins (APP)', '1': 'Abeta peptides'}"
8,EGRAM,Abeta peptides were generated from proteolysis of the amyloid precursor proteins (APP) by beta- and gamma-secretases.,"{'0': 'proteolysis of the amyloid precursor proteins (APP)', '1': 'Abeta peptides'}"
9,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that L723 in H3 generated the correct three-dimensional interaction surface.","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
10,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that L723 in H3 generates the correct three-dimensional interaction surface.","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
11,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that the correct three-dimensional interaction surface has been generated by L723 in H3","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
12,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that the correct three-dimensional interaction surface is generated by L723 in H3.","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
13,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that the correct three-dimensional interaction surface was generated by L723 in H3.","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
14,EGRAM,"Although no crystal structure of the AR is available to date, one might speculate that the correct three-dimensional interaction surface will be generated by L723 in H3.","{'0': 'L723 in H3', '1': 'the correct three-dimensional interaction surface'}"
