id,source,text,arguments
0,EGRAM,"Binding is concentration dependent and saturable and is able to be totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
1,EGRAM,"CRP-cAMP inhibited sigma (54)-dependent glnAp2 strongly, by 21-fold.","{'0': 'CRP-cAMP', '1': 'sigma (54)-dependent glnAp2'}"
2,EGRAM,"For example, the phosphatase may have associated with another protein and thereby has been inhibited in its function or localization.","{'0': 'another protein', '1': 'the phosphatase'}"
3,EGRAM,"GadX activates expression of gadA and gadBC at any pH, while GadX-dependent activation is inhibited by GadW.",{'0': 'GadW'}
4,EGRAM,"Here, we have found that the downregulation of phosphorylated Stat4, Stat5 and Stat6 was inhibited by the proteasome inhibitors MG132 and lactacystin, while the downreglation of phosphorylated Stat1, Stat2 and Stat3 was not sensitive to these inhibitors.",{'0': 'proteasome inhibitors MG132 and lactacystin'}
5,EGRAM,"Here, we show that glnAp2 expression is affected by different carbon sources and that the CRP-cAMP complex has inhibited the glnAp2 promoter activity.",{'0': 'the CRP-cAMP complex'}
6,EGRAM,"Here, we show that glnAp2 expression is affected by different carbon sources and that the CRP-cAMP complex has the ability to inhibit the glnAp2 promoter activity.",{'0': 'the CRP-cAMP complex'}
7,EGRAM,"Here, we show that glnAp2 expression is affected by different carbon sources and that the glnAp2 promoter activity is inhibited by the CRP-cAMP complex.",{'0': 'the CRP-cAMP complex'}
8,EGRAM,"Moreover, Dam methylation will inhibit binding of Lrp/PapI near the GATC1028 site and alters binding of Lrp at the GATC1130 site.",{'0': 'Dam methylation'}
9,EGRAM,NK-cell-mediated cytotoxicity was inhibited by cell-surface receptors of the immunoglobulin and C-type lectin superfamilies.,{'0': 'cell-surface receptors of the immunoglobulin and C-type lectin superfamilies'}
10,EGRAM,"The N-terminal SH3 domain (SH3A), unlike other SH3 domains from intersectin or various endocytic proteins, has specifically inhibited intermediate events leading to the formation of clathrin-coated pits.",{'0': 'The N-terminal SH3 domain'}
11,EGRAM,"The N-terminal SH3 domain (SH3A), unlike other SH3 domains from intersectin or various endocytic proteins, specifically inhibited intermediate events leading to the formation of clathrin-coated pits.",{'0': 'The N-terminal SH3 domain'}
12,EGRAM,This synthetic peptide binds to P and inhibits its binding to C3b.,"{'0': 'This synthetic peptide', '1': 'P'}"
13,EGRAM,"Transient overexpression in COS cells verified that a heat-stable inhibitor of protein kinase is produced by he human PKI cDNA, and both the C alpha and C beta isoforms of the PKA catalytic subunit are observed to be inhibited by protein extracts from the transfected COS cells.","{'0': 'protein extracts from the transfected COS cells', '1': 'both the C alpha and C beta isoforms of the PKA catalytic subunit'}"
14,EGRAM,intermediate events leading to the formation of clathrin-coated pits have been inhibited by The N-terminal SH3 domain (SH3A) which is unlike other SH3 domains from intersectin or various endocytic proteins.,{'0': 'The N-terminal SH3 domain'}
15,EGRAM,"late events of clathrin-coated vesicle formation has been inhibited by the SH3C and SH3E domains of intersectin, as well as the SH3 domains from the endocytic proteins endophilin I, amphiphysin II and syndaphin I.","{'0': 'the SH3C and SH3E domains of intersectin, as well as the SH3 domains from the endocytic proteins endophilin I, amphiphysin II and syndaphin I'}"
16,EGRAM,rolipram has the ability to inhibit multiple PDE4 cyclic AMP-specific phosphodiesterase isoforms encoded by PDE4C.,"{'0': 'rolipram', '1': 'multiple PDE4 cyclic AMP-specific phosphodiesterase isoforms'}"
17,EGRAM,"the proteasome inhibitors MG132 and lactacystin have inhibited the downregulation of phosphorylated Stat4, Stat5 and Stat6.",{'0': 'proteasome inhibitors MG132 and lactacystin'}
18,EGRAM,"the proteasome inhibitors MG132 and lactacystin may have inhibited the downregulation of phosphorylated Stat4, Stat5 and Stat6.",{'0': 'proteasome inhibitors MG132 and lactacystin'}
19,EMBO,"Binding was concentration dependent and saturable and was totally inhibited with 10mM EDTA, suggesting that divalent cations were required for interaction of IN1B with Vero cells.",{'0': '10mM EDTA'}
20,EMBO,"Intriguingly, while the SH3C and SH3E domains of intersectin, as well as the SH3 domains from the endocytic proteins endophilin I, amphiphysin II and syndaphin I, selectively inhibit late events of clathrin-coated vesicle formation involving membrane fission, intersectin SH3A was unique in its ability to block earlier stages (Simpson et al., 1999).","{'0': 'the SH3C and SH3E domains of intersectin, as well as the SH3 domains from the endocytic proteins endophilin I, amphiphysin II and syndaphin I'}"
21,PERMUTATE,Binding in transiently transfected Jurkat T-leukemia cells wil also be inhibited by 10mM EDTA.,{'0': '10mM EDTA'}
22,PERMUTATE,Binding is observed to be inhibited by 10mM EDTA.,{'0': '10mM EDTA'}
23,PERMUTATE,"For example, P associates with This synthetic peptide and is thereby inhibited in its binding to C3b.","{'0': 'This synthetic peptide', '1': 'P'}"
24,PERMUTATE,"For example, the phosphatase associated with another protein was inhibited in The phosphatases function and localization.","{'0': 'another protein', '1': 'the phosphatase'}"
25,PERMUTATE,Functional activation of an HIV reporter plasmid by p49/p65 in transiently transfected Jurkat T-leukemia cells has also been inhibited by by coexpression of MAD-3.,{'0': 'by coexpression of MAD-3'}
26,PERMUTATE,Functional activation of an HIV reporter plasmid by p49/p65 in transiently transfected Jurkat T-leukemia cells is also inhibited by by coexpression of MAD-3.,{'0': 'by coexpression of MAD-3'}
