id,source,text,arguments
0,EGRAM,"Aggregation and secretion have been initiated by platelet agonists by activating receptors coupled to the G-protein G(q), thereby raising cytosolic Ca(2+), [Ca(2+)](i).","{'0': 'Platelet agonists', '1': 'aggregation and secretion', '4': 'activating receptors coupled to the G-protein G(q)'}"
1,EGRAM,"Apparently HeLa cells are able to either initiate transcription at multiple sites within RPS14 exon 1, or cap 5 oligonucleotides which were removed from most S14 mRNAs posttranscription.","{'1': 'transcription', '2': 'multiple sites within RPS14 exon 1', '3': 'HeLa cells'}"
2,EGRAM,"I kappa B-epsilon translation can be initiated from an internal ATG codon to give rise to a protein of 45 kDa, which existed as multiple phosphorylated isoforms in resting cells.","{'1': 'I kappa B-epsilon translation', '2': 'an internal ATG codon'}"
3,EGRAM,"I kappa B-epsilon translation has been initiated from an internal ATG codon to give rise to a protein of 45 kDa, which existed as multiple phosphorylated isoforms in resting cells.","{'1': 'I kappa B-epsilon translation', '2': 'an internal ATG codon'}"
4,EGRAM,"I kappa B-epsilon translation initiated from an internal ATG codon gives rise to a protein of 45 kDa, which existed as multiple phosphorylated isoforms in resting cells.","{'1': 'I kappa B-epsilon translation', '2': 'an internal ATG codon'}"
5,EGRAM,"Ligand binding induced cell surface receptor complex formation and activates a cascade of phosphorylation events of intracellular intermediaries termed Smads, which may initiate transcriptional regulation.","{'0': 'Smads', '1': 'transcriptional regulation'}"
6,EGRAM,Ligand binding induces cell surface receptor complex formation and activates a cascade of phosphorylation events of intracellular intermediaries termed Smads that are able to initiate transcriptional regulation.,"{'0': 'Smads', '1': 'transcriptional regulation'}"
7,EGRAM,Ligand binding induces cell surface receptor complex formation and activates a cascade of phosphorylation events of intracellular intermediaries termed Smads that can initiate transcriptional regulation.,"{'0': 'Smads', '1': 'transcriptional regulation'}"
8,EGRAM,Our data present a novel apical sorting pathway by which MV envelope glycoproteins chaperoned by the M protein are able to initiate virus release at that surface.,"{'0': 'MV envelope glycoproteins chaperoned by the M protein', '1': 'virus release', '2': 'that surface'}"
9,EGRAM,Our data present a novel apical sorting pathway by which MV envelope glycoproteins chaperoned by the M protein are observed to initiate virus release at that surface.,"{'0': 'MV envelope glycoproteins chaperoned by the M protein', '1': 'virus release', '2': 'that surface'}"
10,EGRAM,"Platelet agonists initiated aggregation and secretion by activating receptors coupled to the G-protein G(q), thereby raising cytosolic Ca(2+), [Ca(2+)](i).","{'0': 'Platelet agonists', '1': 'aggregation and secretion', '4': 'activating receptors coupled to the G-protein G(q)'}"
11,EGRAM,Polymerases being able to initiate transcription with RSF can only extend their transcripts in the presence of FACT (facilitates chromatin transcription).,"{'0': 'Polymerases', '1': 'transcription with RSF', '3': 'in the presence of FACT (facilitates chromatin transcription)'}"
12,EGRAM,Polymerases that initiated transcription with RSF can only extend their transcripts in the presence of FACT (facilitates chromatin transcription).,"{'0': 'Polymerases', '1': 'transcription with RSF', '3': 'in the presence of FACT (facilitates chromatin transcription)'}"
13,EGRAM,"SCF, like the other dimeric ligands, initates signal transduction by direct dimerization of its receptor, Kit, and the two juxtaposed receptors undergo tyrosine autophosphorylation (Heldin, 1995; Broudy, 1997), which initiated downstream intracellular signaling.","{'0': 'tyrosine autophosphorylation', '1': 'downstream intracellular signaling'}"
14,EGRAM,"SCF, like the other dimeric ligands, will initate signal transduction by direct dimerization of its receptor, Kit,and the two juxtaposed receptors undergo tyrosine autophosphorylation (Heldin, 1995; Broudy, 1997), which initiates downstream intracellular signaling.","{'0': 'SCF', '1': 'signal transduction', '4': 'by direct dimerization of its receptor'}"
