id,source,text,arguments
0,EGRAM,A Sph I cleavage site within exon 3 is able to be lost in a new transthyretin variant that has been characterized.,"{'0': 'a new transthyretin variant', '1': 'A Sph I cleavage site within exon 3'}"
1,EGRAM,A Sph I cleavage site within exon 3 is observed to be lost in a new transthyretin variant that has been characterized.,"{'0': 'a new transthyretin variant', '1': 'A Sph I cleavage site within exon 3'}"
2,EGRAM,"It was reported that GPI anchoring ability has been lost when the microsomal membranes of Trypanosoma brucei were washed at high pH (Sharma et al., 2000), whereas similar treatment of the mammalian microsomal membranes had no effect (Vidugiriene and Menon, 1995)",{'1': 'GPI anchoring ability'}
3,EGRAM,"No known plastid has the ability to completely lose its prokaryote-type organelle genome, but all show considerablegenome reduction and dependency on the nucleus to fulfill plastid functions (Martin and Hrrmann, 1998).","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
4,EGRAM,"No known plastid is able to completely lose its prokaryote-type organelle genome, but all show considerablegenome reduction and dependency on the nucleus to fulfill plastid functions (Martin and Hrrmann, 1998).","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
5,EGRAM,"No known plastid is completely losing its prokaryote-type organelle genome, but all show considerablegenome reduction and dependency on the nucleus to fulfill plastid functions (Martin and Hrrmann, 1998).","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
6,EGRAM,"No severe complications have been reported, and after the BIB removal, subjects are maintaining the obtained results but some of them can probably lose weight.","{'0': 'some of them', '1': 'weight'}"
7,EGRAM,"Previous studies have emphasized the high sensitivity of the N-terminal region to proteolytic cleavage, leading to truncated species that may probably lose the first 20 70 residues but that retain enzymatic activity and dimeric structure.","{'0': 'truncated species', '1': 'the first 20 70 residues'}"
8,EGRAM,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in acute T-cell leukemia cells that may probably lose IL-2 dependency (Migone et al., 1995; Yu et al., 1995).","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
9,EGRAM,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in acute T-cell leukemia cells that will lose IL-2 dependency (Migone et al., 1995; Yu et al., 1995).","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
10,EGRAM,"The C-terminal-deletion mutant of hnRNP A1 lost the ability to interact with the X protein and to bring it into the initiation complex, resulting in an inhibition of MHV RNA transcription and replication.","{'0': 'The C-terminal-deletion mutant of hnRNP A1', '1': 'the ability to interact with the X protein and to bring it into the initiation complex'}"
11,EGRAM,"These interactions have a high probability of being lost with a separation of DNA-binding sites of }3 bp, as can occur for natural SRE sequences, while a smaller spacing inhibited the simultaneous binding of both proteins.",{'1': 'These interactions'}
12,EGRAM,"These interactions may be lost with a separation of DNA-binding sites of }3 bp, as can occur for natural SRE sequences, while a smaller spacing inhibited the simultaneous binding of both proteins.",{'1': 'These interactions'}
13,EGRAM,This study investigated whether informing obese individuals that they lost only modest amounts of weight would lead them to adopt more realistic weight loss expectations.,"{'0': 'they', '1': 'modest amounts of weight', 'M-ADV': 'only'}"
14,EGRAM,This study investigated whether informing obese individuals that they will lose only modest amounts of weight would lead them to adopt more realistic weight loss expectations.,"{'0': 'they', '1': 'modest amounts of weight', 'M-ADV': 'only'}"
15,EGRAM,"To this end, we made aggregation chimeras between Lc/+ mice, which have a high probability of losing all Purkinje cells postnatally, and +/+ control mice.","{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
16,EGRAM,"To this end, we made aggregation chimeras between Lc/+ mice, which have the ability to lose all Purkinje cells postnatally, and +/+ control mice.","{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
17,EGRAM,"To this end, we made aggregation chimeras between Lc/+ mice, which would probably lose all Purkinje cells postnatally, and +/+ control mice.","{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
18,MEDLINE,The mice did not lose weight during the treatment.,"{'0': 'The mice', '1': 'weight', 'M-NEG': 'not'}"
19,PERMUTATE,Purkinje cells will be lost in aggregation chimeras between Lc/+ mice that has been characterized.,"{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
20,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in A new transthyretin variant that can lose a Sph I cleavage site within exon 3 (Migone et al., 1995; Yu et al., 1995).","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
21,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in A new transthyretin variant that have lost a Sph I cleavage site within exon 3 (Migone et al., 1995; Yu et al., 1995).","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
22,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in A new transthyretin variant that lost a Sph I cleavage site within exon 3 (Migone et al., 1995; Yu et al., 1995).","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
23,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in A new transthyretin variant that will lose a Sph I cleavage site within exon 3 (Migone et al., 1995; Yu et al., 1995).","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
24,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in No known plastid that are observed to lose its prokaryote-type organelle genome (Migone et al., 1995; Yu et al., 1995).","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
25,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in a new transthyretin variant losing A Sph I cleavage site within exon 3 (Migone et al., 1995; Yu et al., 1995).","{'0': 'a new transthyretin variant', '1': 'A Sph I cleavage site within exon 3'}"
26,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in aggregation chimeras between Lc/+ mice that can probably lose Purkinje cells (Migone et al., 1995; Yu et al., 1995).","{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
27,PERMUTATE,"Stat3 is activated in v-Src or v-abl-transformed cells and, along other Stats, in aggregation chimeras between Lc/+ mice that may probably lose Purkinje cells (Migone et al., 1995; Yu et al., 1995).","{'0': 'aggregation chimeras between Lc/+ mice', '1': 'Purkinje cells'}"
28,PERMUTATE,"To this end, we made A new transthyretin variant, which can lose all a Sph I cleavage site within exon 3 postnatally, and +/+ control mice.","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
29,PERMUTATE,"To this end, we made A new transthyretin variant, which have a high probability of losing all a Sph I cleavage site within exon 3 postnatally, and +/+ control mice.","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
30,PERMUTATE,"To this end, we made A new transthyretin variant, which lost all a Sph I cleavage site within exon 3 postnatally, and +/+ control mice.","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
31,PERMUTATE,"To this end, we made A new transthyretin variant, which might lose all a Sph I cleavage site within exon 3 postnatally, and +/+ control mice.","{'0': 'A new transthyretin variant', '1': 'a Sph I cleavage site within exon 3'}"
32,PERMUTATE,"To this end, we made No known plastid, which has lost all its prokaryote-type organelle genome postnatally, and +/+ control mice.","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
33,PERMUTATE,"To this end, we made No known plastid, which have a high probability of losing all its prokaryote-type organelle genome postnatally, and +/+ control mice.","{'0': 'No known plastid', '1': 'its prokaryote-type organelle genome'}"
34,PERMUTATE,"To this end, we made a new transthyretin variant, which can lose all A Sph I cleavage site within exon 3 postnatally, and +/+ control mice.","{'0': 'a new transthyretin variant', '1': 'A Sph I cleavage site within exon 3'}"
35,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which are able to lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
36,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which are observed to lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
37,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which could lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
38,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which could lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
39,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which may lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
40,PERMUTATE,"To this end, we made acute T-cell leukemia cells, which might lose all IL-2 dependency postnatally, and +/+ control mice.","{'0': 'acute T-cell leukemia cells', '1': 'IL-2 dependency'}"
