id,source,text,arguments
0,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which are able to be apparently modified in HeLa cells.",{'1': 'subunits'}
1,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which may be modified in HeLa cells.",{'1': 'subunits'}
2,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which were apparently modified in HeLa cells.",{'1': 'subunits'}
3,EGRAM,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, some of which will be modified in HeLa cells.",{'1': 'subunits'}
4,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III are apparently modified in HeLa cells.,{'1': 'subunits'}
5,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III can be modified in HeLa cells.,{'1': 'subunits'}
6,EGRAM,An immunopurification approach has been used to demonstrate that some of the 16 subunits that composed human RNA Pol III have the ability to be modified in HeLa cells.,{'1': 'subunits'}
7,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism modifying the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
8,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism that is observed to modify the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
9,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism that is observed to modify the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
10,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism that might have modified the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
11,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism that modifies the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
12,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism which has modified the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
13,EGRAM,Analysis of one cDNA revealed an unusual splicing event involving EZH1 and a tandemly linked gene GPR2 and suggests a potential mechanism which has the ability to modify the EZH1 protein in the conserved C-terminal domain.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
14,EGRAM,"P.falciparum could be modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
15,EGRAM,"P.falciparum has been modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
16,EGRAM,"P.falciparum has been modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
17,EGRAM,"P.falciparum has the probability of being notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
18,EGRAM,"P.falciparum is able to be notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
19,EGRAM,"P.falciparum is able to be notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
20,EGRAM,"P.falciparum is notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
21,EGRAM,"P.falciparum may have been modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
22,EGRAM,"P.falciparum may have been notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
23,EGRAM,"P.falciparum might have been modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
24,EGRAM,"P.falciparum was able to be notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
25,EGRAM,"P.falciparum was notably modified genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
26,EGRAM,Taken together these data suggest that the SH3 acts to position the U5 region through its own association with the GUK domain and that factors which are observed to modify the binding of either U5 or SH3 to the GUK domain may regulate GKAP binding to the GUK domain.,"{'0': 'factors', '1': 'the binding of either U5 or SH3', '3': 'to the GUK domain'}"
27,EGRAM,Taken together these data suggest that the SH3 acts to position the U5 region through its own association with the GUK domain and that factors which have the probability of modifying the binding of either U5 or SH3 to the GUK domain may regulate GKAP binding to the GUK domain.,"{'0': 'factors', '1': 'the binding of either U5 or SH3', '3': 'to the GUK domain'}"
28,EGRAM,Taken together these data suggest that the SH3 acts to position the U5 region through its own association with the GUK domain and that factors which may modify the binding of either U5 or SH3 to the GUK domain may regulate GKAP binding to the GUK domain.,"{'0': 'factors', '1': 'the binding of either U5 or SH3', '3': 'to the GUK domain', 'M-MOD': 'may'}"
29,EGRAM,Taken together these data suggest that the binding of either U5 or SH3 to the GUK domain could have been modified by factors that may regulate GKAP binding to the GUK domain.,"{'0': 'factors', '1': 'the binding of either U5 or SH3', '3': 'to the GUK domain', 'M-MOD': 'could'}"
30,EGRAM,Taken together these data suggest that the binding of either U5 or SH3 to the GUK domain was able to be modified by factors that may regulate GKAP binding to the GUK domain.,"{'0': 'factors', '1': 'the binding of either U5 or SH3', '3': 'to the GUK domain'}"
31,EGRAM,The EZH1 protein in the conserved C-terminal domain has been modified by a potential mechanism suggested by analysis of one cDNA.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
32,EGRAM,The EZH1 protein in the conserved C-terminal domain is able to be actually modified by a potential mechanism suggested by analysis of one cDNA.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
33,EGRAM,The EZH1 protein in the conserved C-terminal domain might be modified by a potential mechanism suggested by analysis of one cDNA.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
34,EGRAM,The EZH1 protein in the conserved C-terminal domain was actually modified by a potential mechanism suggested by analysis of one cDNA.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
35,EGRAM,The EZH1 protein in the conserved C-terminal domain was modified by a potential mechanism suggested by analysis of one cDNA.,"{'0': 'a potential mechanism', '1': 'EZH1 protein in the conserved C-terminal domain'}"
36,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., EnvZ is observed to significantly modify or in some way direct OmpR, which in turn acts at the appropriate porin gene promoter.","{'0': 'EnvZ', '1': 'OmpR', '3': 'acts at the appropriate porin gene promoter'}"
37,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., EnvZ may significantly modify or in some way direct OmpR, which in turn acts at the appropriate porin gene promoter.","{'0': 'EnvZ', '1': 'OmpR', '3': 'acts at the appropriate porin gene promoter'}"
38,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, could have been modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
39,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, has been modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
40,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, has the ability to be significantly modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
41,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, has the ability to be significantly modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
42,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, is able to be significantly modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
43,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, may be significantly modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
44,EGRAM,"These results lead us to conclude that EnvZ and OmpR act in sequential fashion to activate porin gene expression; i.e., OmpR, which acts at the appropriate porin gene promoter, was modified or in some way directed by EnvZ.","{'0': 'EnvZ', '1': 'OmpR'}"
45,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes are able to be remarkably modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
46,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes are modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
47,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes can be modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
48,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes can be remarkably modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
49,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes have been modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
50,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes have been remarkably modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
51,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes might have been remarkably modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
52,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes will be modified so that the encoded proteins contain COOH-terminal epitopes recognized by either of two monoclonal antibodies.",{'1': 'HVDAC genes'}
53,EGRAM,"We modify P.falciparum genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'0': 'We', '1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
54,EGRAM,"We will notably modify P.falciparum genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'0': 'We', '1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
55,EMBO,"We have used the ability to modify P.falciparum genetically by transfection (Crabb and Cowman, 1996; Crabb et al., 1997a) to disrupt the RAP1 gene.","{'0': 'We', '1': 'P.falciparum', '2': 'by transfection', '3': 'to disrupt the RAP1 gene', 'M-ADV': 'genetically'}"
56,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 some of which, some of which are able to be apparently modified in HeLa cells.",{'1': 'some of which'}
57,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 some of which, some of which can be modified in HeLa cells.",{'1': 'some of which'}
58,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 some of which, some of which have been apparently modified in HeLa cells.",{'1': 'some of which'}
59,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 some of which, some of which may be apparently modified in HeLa cells.",{'1': 'some of which'}
60,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 some of which, some of which might have been apparently modified in HeLa cells.",{'1': 'some of which'}
61,PERMUTATE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 subunits, subunits are apparently modified in HeLa cells.",{'1': 'subunits'}
62,PERMUTATE,An immunopurification approach has been used to demonstrate that some of the 16 some of which that composed human RNA Pol III are observed to be modified in HeLa cells.,{'1': 'some of which'}
63,PERMUTATE,An immunopurification approach has been used to demonstrate that some of the 16 some of which that composed human RNA Pol III are observed to be modified in HeLa cells.,{'1': 'some of which'}
64,PERMUTATE,An immunopurification approach has been used to demonstrate that some of the 16 some of which that composed human RNA Pol III have been modified in HeLa cells.,{'1': 'some of which'}
65,PERMUTATE,An immunopurification approach has been used to demonstrate that some of the 16 some of which that composed human RNA Pol III might have been apparently modified in HeLa cells.,{'1': 'some of which'}
66,PERMUTATE,An immunopurification approach has been used to demonstrate that some of the 16 some of which that composed human RNA Pol III will be modified in HeLa cells.,{'1': 'some of which'}
67,REPLACE,An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 HVDAC genes being apparently modified in HeLa cells.,{'1': 'HVDAC genes'}
68,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 HVDAC genes, some of which are able to be modified in HeLa cells.",{'1': 'HVDAC genes'}
69,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 HVDAC genes, some of which might have been modified in HeLa cells.",{'1': 'HVDAC genes'}
70,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 HVDAC genes, some of which will be apparently modified in HeLa cells.",{'1': 'HVDAC genes'}
71,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 HVDAC genes, some of which will be apparently modified in HeLa cells.",{'1': 'HVDAC genes'}
72,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 P.falciparum, some of which might have been apparently modified in HeLa cells.",{'1': 'P.falciparum'}
73,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 P.falciparum, some of which were apparently modified in HeLa cells.",{'1': 'P.falciparum'}
74,REPLACE,"An immunopurification approach has been used to demonstrate that human RNA Pol III is composed of 16 P.falciparum, some of which were apparently modified in HeLa cells.",{'1': 'P.falciparum'}
75,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III are modified in HeLa cells.,{'1': 'HVDAC genes'}
76,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III are modified in HeLa cells.,{'1': 'HVDAC genes'}
77,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III have been modified in HeLa cells.,{'1': 'HVDAC genes'}
78,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III have been modified in HeLa cells.,{'1': 'HVDAC genes'}
79,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III were modified in HeLa cells.,{'1': 'HVDAC genes'}
80,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III will be apparently modified in HeLa cells.,{'1': 'HVDAC genes'}
81,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 HVDAC genes that composed human RNA Pol III will be modified in HeLa cells.,{'1': 'HVDAC genes'}
82,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 P.falciparum that composed human RNA Pol III have the ability to be modified in HeLa cells.,{'1': 'P.falciparum'}
83,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 P.falciparum that composed human RNA Pol III might have been modified in HeLa cells.,{'1': 'P.falciparum'}
84,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 P.falciparum that composed human RNA Pol III were apparently modified in HeLa cells.,{'1': 'P.falciparum'}
85,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 P.falciparum that composed human RNA Pol III will be modified in HeLa cells.,{'1': 'P.falciparum'}
86,REPLACE,An immunopurification approach has been used to demonstrate that some of the 16 P.falciparum that composed human RNA Pol III will be modified in HeLa cells.,{'1': 'P.falciparum'}
