id,source,text,arguments
0,EGRAM,Alpha-chain cDNA in COS-1 cells might have been significantly mutated by transient expression of the exon 8 resulted in deficiency of enzymatic activity.,"{'0': 'exon 8', '1': 'alpha-chain cDNA in COS-1 cells'}"
1,EGRAM,Analyses of transcription in vivo of agn-lacZ with Dam target sequences that may have been mutated support this conclusion.,{'1': 'Dam target sequences'}
2,EGRAM,Analyses of transcription in vivo of agn-lacZ with Dam target sequences which may have been mutated support this conclusion.,{'1': 'Dam target sequences'}
3,EGRAM,Analyses of transcription in vivo of agn-lacZ with mutated Dam target sequences support this conclusion.,{'1': 'Dam target sequences'}
4,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 that has been mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
5,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 that has been remarkably mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
6,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 that is believed to be mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
7,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 that might be remarkably mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
8,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 which could be mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
9,EGRAM,"Cotransfections with plasmids expressing WT-1, WTAR (a mutated form of WT-1), p53, and a mutated form of p53 revealed a complex pattern of regulation with a 3-fold induction with WT-1, a 7-fold induction with p53 which would be mutated, and a 4-fold repression with wild-type p53.","{'0': 'p53', '2': 'a 7-fold induction'}"
10,EGRAM,"For example, mutating the C-terminal MAP kinase sites (T235 and T239) is observed to essentially led to abolished EGF-stimulated increase in phosphorylation and prevented EGF-induced mobility shift (Figure 5C, lanes 7 and 8).","{'0': 'the C-terminal MAP kinase sites (T235 and T239)', '2': 'abolished EGF-stimulated increase in phosphorylation and prevented EGF-induced mobility shift'}"
