id,source,text,arguments
0,EGRAM,"Adult naive T cells, which are at rest in normal conditions, are observed to proliferate strongly when transferred to lymphopenic hosts.","{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
1,EGRAM,"Adult naive T cells, which are at rest in normal conditions, can proliferate strongly when transferred to lymphopenic hosts.","{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
2,EGRAM,"Adult naive T cells, which are at rest in normal conditions, have proliferated when transferred to lymphopenic hosts.","{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
3,EGRAM,"Adult naive T cells, which are at rest in normal conditions, may proliferate strongly when transferred to lymphopenic hosts.","{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
4,EGRAM,"Adult naive T cells, which are at rest in normal conditions, proliferated strongly when transferred to lymphopenic hosts.","{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
5,EGRAM,"After androgen withdrawal and antiandrogen treatment, the androgen responsive prostate cancer cells that ceased to proliferate and underwent apoptosis caused tumor regression.",{'0': 'the androgen responsive prostate cancer cells'}
6,EGRAM,Cancer cells can be characterized by either an increased ability to proliferate or a diminished capacity to undergo programmed cell death.,{'0': 'Cancer cells'}
7,EGRAM,Cancer cells has been characterized by either an increased ability to proliferate or a diminished capacity to undergo programmed cell death.,{'0': 'Cancer cells'}
8,EGRAM,Cancer cells was characterized by either an increased ability to strongly proliferate or a diminished capacity to undergo programmed cell death.,{'0': 'Cancer cells'}
9,EGRAM,"HSC can continue to proliferate in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
10,EGRAM,"HSC is able to continue to proliferate in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
11,EGRAM,"HSC is observed to continue to proliferate strongly in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
12,EGRAM,"HSC will continue to proliferate in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
13,EGRAM,"HSC will continue to proliferate in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
14,EGRAM,"HSC will continue to proliferate strongly in the bone marrow and spleen through 8 days of G-CSF treatment, but HSC released into the blood tended to be in G0/G1 phase.","{'0': 'HSC', '1': 'through 8 days of G-CSF treatment'}"
15,EGRAM,"Intrasplenically transplanted fetal liver cells, as our results have shown, have the ability to proliferate and differentiate into mature cells displaying a GST expression pattern with respective enzyme activities similar to adult liver.",{'0': 'intrasplenically transplanted fetal liver cells'}
16,EGRAM,"Intrasplenically transplanted fetal liver cells, as our results have shown, proliferated and differentiated into mature cells displaying a GST expression pattern with respective enzyme activities similar to adult liver.",{'0': 'intrasplenically transplanted fetal liver cells'}
17,EGRAM,"Our observations illustrate that the human placenta can be endowed with the biochemical machinery to proliferate throughout gestation, yet, there are intrinsic mechanisms that effectively circumscribe the extent and duration of trophoblast proliferation.","{'0': 'the human placenta', '1': 'throughout gestation'}"
18,EGRAM,"Our observations illustrate that the human placenta is able to be endowed with the biochemical machinery to proliferate indefinitely throughout gestation, yet, there are intrinsic mechanisms that effectively circumscribe the extent and duration of trophoblast proliferation.","{'0': 'the human placenta', '1': 'throughout gestation'}"
19,EGRAM,"Our observations illustrate that the human placenta is shown to be endowed with the biochemical machinery to proliferate throughout gestation, yet, there are intrinsic mechanisms that effectively circumscribe the extent and duration of trophoblast proliferation.","{'0': 'the human placenta', '1': 'throughout gestation'}"
20,EGRAM,Stat5ab-/-peripheral T cells can regain the ability to proliferate indefinitely upon introduction of full-length wild-type Stat5a (Figure 6B).,"{'0': 'Stat5ab-/-peripheral T cells', '1': 'upon introduction of full-length wild-type Stat5a'}"
21,EGRAM,Stat5ab-/-peripheral T cells will regain the ability to proliferate indefinitely upon introduction of full-length wild-type Stat5a (Figure 6B).,"{'0': 'Stat5ab-/-peripheral T cells', '1': 'upon introduction of full-length wild-type Stat5a'}"
22,EGRAM,The ability of EBD cells being observed to proliferate in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
23,EGRAM,The ability of EBD cells that can proliferate in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
24,EGRAM,The ability of EBD cells that is able to proliferate strongly in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
25,EGRAM,The ability of EBD cells that is observed to proliferate strongly in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
26,EGRAM,The ability of EBD cells that may have proliferated in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
27,EGRAM,The ability of EBD cells that may have strongly proliferated in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
28,EGRAM,The ability of EBD cells that will proliferate strongly in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
29,EGRAM,The ability of EBD cells that will proliferate strongly in vivo was examined by injection of 3 ? 106 LVEC cells into the calf muscle of 3 immunocompromised mice.,{'0': 'EBD cells'}
30,EGRAM,These results show that intrasplenically transplanted fetal liver cells are able to proliferate and differentiate into mature cells displaying a GST expression pattern with respective enzyme activities similar to adult liver.,{'0': 'intrasplenically transplanted fetal liver cells'}
31,EGRAM,These results show that intrasplenically transplanted fetal liver cells are able to proliferate and differentiate into mature cells displaying a GST expression pattern with respective enzyme activities similar to adult liver.,{'0': 'intrasplenically transplanted fetal liver cells'}
32,EGRAM,"Treatment of endothelial cells of different origin with the ganglioside biosynthesis inhibitors fumonisin B1, D-threo-1-phenyl-2-decanoylamino-3-morpholino-1-propanol or D-1-threo-1-phenyl-2-hexa-decanoylamino-3-pyrrolidino-1-propanol-HCl, has the ability to significantly impair their capacity to proliferate when exposed to FGF2.","{'0': 'endothelial cells', '1': 'when exposed to FGF2'}"
33,EGRAM,"Treatment of endothelial cells of different origin with the ganglioside biosynthesis inhibitors fumonisin B1, D-threo-1-phenyl-2-decanoylamino-3-morpholino-1-propanol or D-1-threo-1-phenyl-2-hexa-decanoylamino-3-pyrrolidino-1-propanol-HCl, will significantly impair their capacity to proliferate when exposed to FGF2.","{'0': 'endothelial cells', '1': 'when exposed to FGF2'}"
34,EMBO,Stat5ab-/-peripheral T cells regain the ability to proliferate upon introduction of full-length wild-type Stat5a (Figure 6B).,"{'0': 'Stat5ab-/-peripheral T cells', '1': 'upon introduction of full-length wild-type Stat5a'}"
35,PERMUTATE,Adult naive T cells can regain the ability to proliferate indefinitely when transferred to lymphopenic hosts (Figure 6B).,"{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
36,PERMUTATE,Adult naive T cells can regain the ability to proliferate when transferred to lymphopenic hosts (Figure 6B).,"{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
37,PERMUTATE,Adult naive T cells have the probability of regaining the ability to proliferate indefinitely when transferred to lymphopenic hosts (Figure 6B).,"{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
38,PERMUTATE,Adult naive T cells have the probability of regaining the ability to proliferate when transferred to lymphopenic hosts (Figure 6B).,"{'0': 'Adult naive T cells', '1': 'when transferred to lymphopenic hosts'}"
39,PERMUTATE,"After androgen withdrawal and antiandrogen treatment, Cancer cells are observed to cease to proliferate and undergo apoptosis, causing tumor regression.",{'0': 'Cancer cells'}
