id,source,text,arguments
0,EGRAM,"A number of Ags which was recognized by class I-restricted melanoma-specific T cells have recently been isolated, raising the hope that this will lead to the development of improved therapies.","{'0': 'class I-restricted melanoma-specific T cells', '1': 'A number of Ags'}"
1,EGRAM,"As a result of alternate splicing and subsequent frameshift, the reported g16 protein is 603 amino acids shorter than the NY-LU-12 product (1123 residues) at its COOH terminus and would therefore lack the epitopes that the autologous serum has recognized.","{'0': 'the autologous serum', '1': 'the epitopes'}"
2,EGRAM,"As a result of alternate splicing and subsequent frameshift, the reported g16 protein is 603 amino acids shorter than the NY-LU-12 product (1123 residues) at its COOH terminus and would therefore lack the epitopes that the autologous serum is able to recognize.","{'0': 'the autologous serum', '1': 'the epitopes'}"
3,EGRAM,Blots were probed with affinity-purified polyclonal anti-LMP-1 antiserum that recognized epitopes in the C-terminus of LMP-1 at a 1:200 dilution.,"{'0': 'affinity-purified polyclonal anti-LMP-1 antiserum', '1': 'epitopes in the C-terminus of LMP-1 at a 1:200 dilution'}"
4,EGRAM,Exactly how specific splice sites were recognized during the processing of complex precursor messenger RNAs is not clear.,{'1': 'splice sites'}
5,EGRAM,Most regulators belonging to the AraC/XylS family can recognize multiple binding sites in the regulated promoters.,"{'0': 'Most regulators belonging to the AraC/XylS family', '1': 'multiple binding sites'}"
6,EGRAM,"The STAT1 N-terminus were recognized by A monoclonal antibody purchasing from Transduction Laboratories (Lexington, KY).","{'0': 'A monoclonal antibody', '1': 'the STAT1 N-terminus'}"
7,EGRAM,"The eukaryotic upstream binding factor (UBF), recognized the ribosomal RNA gene promoter and activated transcription mediated by RNA polymerase I through cooperative interactions with the species-specific factor, SL1.","{'0': 'The eukaryotic upstream binding factor (UBF)', '1': 'The ribosomal RNA gene promoter'}"
8,EGRAM,The sequence(YPYDVPDYA) at a 1:500 dilution is recognized by a RAT monoclonal anti-HA antibody (Boehringer-Ingelheim) that blots were probed with.,"{'0': 'a RAT monoclonal anti-HA antibody (Boehringer-Ingelheim)', '1': 'sequence(YPYDVPDYA) at a 1:500 dilution'}"
9,EGRAM,The sequence(YPYDVPDYA) at a 1:500 dilution is recognized by a RAT monoclonal anti-HA antibody (Boehringer-Ingelheim) that blots were probed with.,"{'0': 'a RAT monoclonal anti-HA antibody (Boehringer-Ingelheim)', '1': 'sequence(YPYDVPDYA) at a 1:500 dilution'}"
10,EGRAM,These bands can be detected with four different specific antibodies that recognized the different nonmuscle myosin heavy chain isoforms (A and B),"{'0': 'four different specific antibodies', '1': 'the different nonmuscle myosin heavy chain isoforms (A and B)'}"
11,EGRAM,"These mutations, identified by standard methods of reverse transcription, PCR,dideoxy-chain termination, and cycle sequencing, alter highly conserved sequences at intron/exon boundaries and make the RNA-splicing apparatus not to recognized the normal splice junction properly.","{'0': 'the RNA-splicing apparatus', '1': 'the normal splice junction'}"
12,EGRAM,"To define the subcellular location of HVDAC isoforms, HVDAC genes were modified so that the encoded proteins contain COOH-terminal epitopes which were recognized by either of two monoclonal antibodies.","{'0': 'either of two monoclonal antibodies', '1': 'COOH-terminal epitopes'}"
13,EMBO,The two forms of Stat3 (Stat3fm and Stat3sm) recognized by this antibody in PKR+/+MEFs are indicated.,"{'0': 'this antibody in PKR+/+MEFs', '1': 'The two forms of Stat3 (Stat3fm and Stat3sm)'}"
14,GREC,Most regulators belonging to the AraC/XylS family recognize multiple binding sites in the regulated promoters.,"{'0': 'Most regulators belonging to the AraC/XylS family', '1': 'multiple binding sites'}"
15,MEDLINE,"These mutations, identified by standard methods of reverse transcription, PCR,dideoxy-chain termination, and cycle sequencing, alter highly conserved sequences at intron/exon boundaries and prevent the RNA-splicing apparatus from properly recognizing the normal splice junction.","{'0': 'the RNA-splicing apparatus', '1': 'the normal splice junction'}"
