id,source,text,arguments
0,EGRAM,"A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling, conferred by either an activated egl-15 or a lf clr-1 mutation, will result in a Clr phenotype.","{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
1,EGRAM,Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation could have resulted in mRNA species with distinct 5UTRs.,"{'0': 'Alternative splicing of exon 2 (139 nt) and alternative transcriptional initiation', '1': 'mRNA species with distinct 5UTRs'}"
2,EGRAM,"Both the 5 and 3 splice site mutations (1060 + 2t-->c and 678-7g-->a, respectively), in contrast, may have resulted in high proportions of mature mRNAs containing introns, which has not been observed for other splicing mutations.","{'0': 'Both the 5 and 3 splice site mutations', '1': 'high proportions of mature mRNAs containing introns'}"
3,EGRAM,Complete sequencing of the prion protein open reading frame of a 68-year-old woman affected by a familial form of Creutzfeldt-Jakob disease (CJD) revealed a new mutation at codon 210 that resulted in the substitution of isoleucine for valine.,"{'0': 'a new mutation at codon 210', '1': 'the substitution of isoleucine for valine'}"
4,EGRAM,"Decreased EGL-15 signaling, conferred by a partial lf egl-15 mutation, has resulted in a scrawny body morphology phenotype(Kokel et al., 1998).","{'0': 'Decreased EGL-15 signaling', '1': 'a scrawny body morphology phenotype'}"
5,EGRAM,"Decreased EGL-15 signaling, conferred by a partial lf egl-15 mutation, has the ability to result in a scrawny body morphology phenotype(Kokel et al., 1998).","{'0': 'Decreased EGL-15 signaling', '1': 'a scrawny body morphology phenotype'}"
6,EGRAM,Expression of isoform II cDNA in COS7 cells has finally resulted in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
7,EGRAM,Expression of isoform II cDNA in COS7 cells has resulted in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
8,EGRAM,Expression of isoform II cDNA in COS7 cells may result in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
9,EGRAM,"Human mucin gene MUC5B, the 10.7-kb large central exon encodes various alternate subdomains which have the ability to completely result in a super-repeat.","{'0': 'various alternate subdomains', '1': 'a super-repeat'}"
10,EGRAM,Mutations resulting in simultaneous derepression of both genes can prevent repressor binding to either site or alter the phasing of the binding sites.,{'0': 'simultaneous derepression of both genes'}
11,EGRAM,The change may cause the heat instability and affect the net charge of the variant subunit that will finally result in an electrophoretic LDH-B subunit variant of the fast type.,"{'0': 'the net charge of the variant subunit', '1': 'an electrophoretic LDH-B subunit variant of the fast type'}"
12,EGRAM,The research shows the existence of isoforms of NF-YA resulting from differential splicing.,"{'0': 'differential splicing', '1': 'the existence of isoforms of NF-YA'}"
13,EGRAM,"Two are missense mutations in exon 2 (G339D and R340C), and the other three alterations (a nonsense mutation, a frameshift, and a splicing mutation) are able to result in truncated nonfunctional proteins.","{'0': 'the other three alterations', '1': 'truncated nonfunctional proteins'}"
14,EGRAM,"Two are missense mutations in exon 2 (G339D and R340C), and the other three alterations (a nonsense mutation, a frameshift, and a splicing mutation) may result in truncated nonfunctional proteins.","{'0': 'the other three alterations', '1': 'truncated nonfunctional proteins'}"
15,EGRAM,"Two are missense mutations in exon 2 (G339D and R340C), and the other three alterations (a nonsense mutation, a frameshift, and a splicing mutation) will result in truncated nonfunctional proteins.","{'0': 'the other three alterations', '1': 'truncated nonfunctional proteins'}"
16,EGRAM,We also reported the existence of isoforms of NF-YA that has been shown to result from differential splicing.,"{'0': 'differential splicing', '1': 'the existence of isoforms of NF-YA'}"
17,GREC,Induction of a mutation in the lacI gene will result in the loss of transcriptional repression of the lacZ gene in mutated cells.,"{'0': 'Induction of a mutation in the lacI gene', '1': 'in the loss of transcriptional repression of the lacZ gene'}"
18,PERMUTATE,Complete sequencing of the prion protein open reading frame of a 68-year-old woman affected by a familial form of Creutzfeldt-Jakob disease (CJD) revealed Expression of isoform II cDNA in COS7 cells having the ability to result in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
19,PERMUTATE,Complete sequencing of the prion protein open reading frame of a 68-year-old woman affected by a familial form of Creutzfeldt-Jakob disease (CJD) revealed of the expression of isoforms of Nrf1 having the ability to result in this.,"{'0': 'of the expression of isoforms of Nrf1', '1': 'this'}"
20,PERMUTATE,Complete sequencing of the prion protein open reading frame of a 68-year-old woman affected by a familial form of Creutzfeldt-Jakob disease (CJD) revealed of the expression of isoforms of Nrf1 that may have resulted in this.,"{'0': 'of the expression of isoforms of Nrf1', '1': 'this'}"
21,PERMUTATE,Complete sequencing of the prion protein open reading frame of a 68-year-old woman affected by a familial form of Creutzfeldt-Jakob disease (CJD) revealed the expression of isoforms of Nrf1 that is observed to result in this.,"{'0': 'the expression of isoforms of Nrf1', '1': 'this'}"
22,PERMUTATE,The change may cause the heat instability and affect Expression of isoform II cDNA in COS7 cells that has resulted in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
23,PERMUTATE,The change may cause the heat instability and affect Expression of isoform II cDNA in COS7 cells which has been shown to result in a marked increase in PAF acetylhydrolase activity.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
24,PERMUTATE,"The change may cause the heat instability and affect a new mutation at codon 210, resulting in the substitution of isoleucine for valine.","{'0': 'a new mutation at codon 210', '1': 'the substitution of isoleucine for valine'}"
25,PERMUTATE,The change may cause the heat instability and affect the expression of isoforms of Nrf1 that has finally resulted in this.,"{'0': 'the expression of isoforms of Nrf1', '1': 'this'}"
26,PERMUTATE,The change may cause the heat instability and affect the expression of isoforms of Nrf1 which is able to finally result in this.,"{'0': 'the expression of isoforms of Nrf1', '1': 'this'}"
27,PERMUTATE,We speculated that a marked increase in PAF acetylhydrolase activity has been shown to be the result of Expression of isoform II cDNA in COS7 cells in mast cells.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
28,PERMUTATE,We speculated that a marked increase in PAF acetylhydrolase activity is observed to be the result of Expression of isoform II cDNA in COS7 cells in mast cells.,"{'0': 'Expression of isoform II cDNA in COS7 cells', '1': 'a marked increase in PAF acetylhydrolase activity'}"
29,PERMUTATE,We speculated that the substitution of isoleucine for valine is observed to be the result of a new mutation at codon 210 in mast cells.,"{'0': 'a new mutation at codon 210', '1': 'the substitution of isoleucine for valine'}"
30,PERMUTATE,the expression of isoforms of Nrf1 will result in this.,"{'0': 'the expression of isoforms of Nrf1', '1': 'this'}"
31,PERMUTATE,the net charge of the variant subunit can result in an electrophoretic LDH-B subunit variant of the fast type,"{'0': 'the net charge of the variant subunit', '1': 'an electrophoretic LDH-B subunit variant of the fast type'}"
32,REPLACE,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling has finally resulted in a Clr phenotype.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
33,REPLACE,A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling may finally result in a Clr phenotype.,"{'0': 'A role for SOS-1 in FGFR-mediated signaling during development Hyperactive EGL-15 FGF receptor signaling', '1': 'a Clr phenotype'}"
