id,source,text,arguments
0,EGRAM,A stop codon-containing exon (exon 4) has been shown to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
1,EGRAM,A stop codon-containing exon (exon 4) has the ability to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
2,EGRAM,A stop codon-containing exon (exon 4) has the probability of being finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
3,EGRAM,A stop codon-containing exon (exon 4) is able to be finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
4,EGRAM,A stop codon-containing exon (exon 4) may have been finally skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
5,EGRAM,Alternative splicing can finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
6,EGRAM,Alternative splicing has the ability to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
7,EGRAM,Alternative splicing is able to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
8,EGRAM,Alternative splicing is able to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
9,EGRAM,Alternative splicing is able to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
10,EGRAM,Alternative splicing is likely to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
11,EGRAM,Alternative splicing is likely to finally skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.,"{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
12,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) having skipped exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
13,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) observed to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
14,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A) shown to skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
15,EGRAM,"Direct sequencing of the PAF-2 gene revealed a homozygous 1-bp insertion at nucleotide 511 (511 insT) in one patient with group C Zellweger syndrome (ZS), which introduces a premature termination codon in the PAF-2 gene, and, in the second patient, revealed a splice-site mutation in intron 3 (IVS3+1G-->A), which will skip exon 3, an event that leads to peroxisome deficiency.","{'0': 'a splice-site mutation in intron 3 (IVS3+1G-->A)', '1': 'exon 3'}"
16,EGRAM,"Finally, a stop codon-containing exon (exon 4) has been shown to be skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
17,EGRAM,"Finally, a stop codon-containing exon (exon 4) has been shown to be skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
18,EGRAM,"Finally, a stop codon-containing exon (exon 4) is able to be skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
19,EGRAM,"Finally, a stop codon-containing exon (exon 4) is skipped by alternative splicing and generates a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
20,EGRAM,"Finally, a stop codon-containing exon (exon 4) may have been skipped by alternative splicing and can generate a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
21,EGRAM,"Finally, alternative splicing is able to skip a stop codon-containing exon (exon 4) and can generate a transcript that is predicted to encode a fusion protein.","{'0': 'alternative splicing', '1': 'a stop codon-containing exon (exon 4)'}"
22,EGRAM,"In the case of the 12-membered ring macrolide, an acyl-enzyme intermediate on PikAIII can efficiently skip the last extension step and is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
23,EGRAM,"In the case of the 12-membered ring macrolide, an acyl-enzyme intermediate on PikAIII has efficiently skipped the last extension step and is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
24,EGRAM,"In the case of the 12-membered ring macrolide, an acyl-enzyme intermediate on PikAIII is observed to efficiently skip the last extension step and is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
25,EGRAM,"In the case of the 12-membered ring macrolide, an acyl-enzyme intermediate on PikAIII is observed to skip the last extension step and is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
26,EGRAM,"In the case of the 12-membered ring macrolide, an acyl-enzyme intermediate on PikAIII will efficiently skip the last extension step and is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
27,EGRAM,"In the case of the 12-membered ring macrolide, the last extension step has been shown to be efficiently skipped by an acyl-enzyme intermediate on PikAIII which is cyclized by the TE domain of PikAIV, presumably as a result of a PikAIII-PikAIV interaction.","{'0': 'an acyl-enzyme intermediate on PikAIII', '1': 'the last extension step'}"
