id,source,text,arguments
0,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA has been completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
1,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA has been shown to be completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
2,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA has been shown to be spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
3,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA has been spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
4,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is able to be completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
5,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is able to be spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
6,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
7,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is observed to be completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
8,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is observed to be spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
9,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA is spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
10,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA may have been completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
11,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA may have been spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
12,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA was completely spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
13,EGRAM,A retained intron in the 5 UTR of HYAL1 mRNA was spliced out by the cell lines.,"{'0': 'the 5 UTR of HYAL1 mRNA', '1': 'a retained intron'}"
