id,source,text,arguments
0,EGRAM,Interaction at a distance between multiple operators controls the adjacent and is observed to divergently transcribe glpTQ-glpACB operons of Escherichia coli K-12s.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
1,EGRAM,"Interaction at a distance between multiple operators controls the adjacent, can divergently transcribe glpTQ-glpACB operons of Escherichia coli K-12s.","{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
2,EGRAM,"Interaction at a distance between multiple operators controls the adjacent, has the ability to transcribe glpTQ-glpACB operons of Escherichia coli K-12s.","{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
3,EGRAM,"Interaction at a distance between multiple operators controls the adjacent, is observed to divergently transcribe glpTQ-glpACB operons of Escherichia coli K-12s.","{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
4,EGRAM,Interaction at a distance between multiple operators divergently transcribed glpTQ-glpACB operons of Escherichia coli K-12s.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
5,EGRAM,Interaction at a distance between multiple operators divergently transcribed glpTQ-glpACB operons of Escherichia coli K-12s.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
6,EGRAM,Interaction at a distance between multiple operators divergently transcribes glpTQ-glpACB operons of Escherichia coli K-12s.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
7,EGRAM,Interaction at a distance between multiple operators has been shown to divergently transcribe glpTQ-glpACB operons of Escherichia coli K-12s.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
8,EGRAM,NEP-2 may have transcribed the rrn operon in the presence of the transcription factor CDF2.,"{'0': 'NEP-2', '1': 'the rrn operon'}"
9,EGRAM,Restriction analysis of these two plasmids demonstrated that glpD and glpR have been transcribed.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
10,EGRAM,The 7.5- and 3.5-kb FZD5 mRNAs may be transcribed probably due to alternative splicing.,"{'0': 'alternative splicing', '3': 'The 7.5- and 3.5-kb FZD5 mRNAs'}"
11,EGRAM,"The fhlA gene resides next to the hydB gene at 59 min in the E. coli chromosome, and the two genes have been shown to be interestingly interestingly transcribed in opposite directions.","{'1': 'the two genes', '4': 'E. coli chromosome'}"
12,EGRAM,"The fhlA gene resides next to the hydB gene at 59 min in the E. coli chromosome, and the two genes were transcribed in opposite directions.","{'1': 'the two genes', '4': 'E. coli chromosome'}"
13,EGRAM,"The fhlA gene resides next to the hydB gene at 59 min in the E. coli chromosome, and the two genes will be interestingly interestingly transcribed in opposite directions.","{'1': 'the two genes', '4': 'E. coli chromosome'}"
14,EGRAM,"The gene has been transcribed in a large variety of organs and tissues and shows differential splicing of two exons, giving rise to at least three different transcripts.","{'1': 'the gene', '4': 'a large variety of organs and tissues'}"
15,EGRAM,"The gene, as our study predicted, has been transcribed in a large variety of organs and tissues and shows differential splicing of two exons, giving rise to at least three different transcripts.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
16,EGRAM,"The gene, as our study predicted, is observed to be transcribed in a large variety of organs and tissues and shows differential splicing of two exons, giving rise to at least three different transcripts.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
17,EGRAM,"The negative-strand RNAs, subsequently, can be used as templates to transcribe mRNAs, which include a genomic-sized RNA and a nested set of subgenomic mRNA transcripts, all with an identical 5_ non-translated leader sequence of 72 77 nucleotides and 3_ co-terminal polyadenylated ends.","{'1': 'the negative-strand RNAs, subsequently,', '3': 'mRNAs'}"
18,EGRAM,The plastid genome can be transcribed by a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP).,"{'0': 'a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP)', '1': 'The plastid genome'}"
19,EGRAM,The plastid genome is observed to be divergently transcribed by a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP).,"{'0': 'a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP)', '1': 'The plastid genome'}"
20,EGRAM,The plastid genome was transcribed by a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP).,"{'0': 'a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP)', '1': 'The plastid genome'}"
21,EGRAM,"They also indicate that spinach harvested in March should contain preferentially NEP, i.e. the enzyme having the ability to specifically transcribe the rrn operon at PC.","{'0': 'the enzyme', '1': 'the rrn operon'}"
22,EGRAM,"They also indicate that spinach harvested in March should contain preferentially NEP, i.e. the enzyme observed to specifically transcribe the rrn operon at PC.","{'0': 'the enzyme', '1': 'the rrn operon'}"
23,EGRAM,"They also indicate that spinach harvested in March should contain preferentially NEP, i.e. the enzyme observed to transcribe the rrn operon at PC.","{'0': 'the enzyme', '1': 'the rrn operon'}"
24,EGRAM,"They also indicate that spinach harvested in March should contain preferentially NEP, i.e. the enzyme that may transcribe the rrn operon at PC.","{'0': 'the enzyme', '1': 'the rrn operon'}"
25,EGRAM,"They also indicate that spinach harvested in March should contain preferentially NEP, i.e. the enzyme that specifically transcribed the rrn operon at PC.","{'0': 'the enzyme', '1': 'the rrn operon'}"
26,EGRAM,"This antisense-BCMA RNA may be transcribed from the same locus as BCMA, and exhibits mRNA characteristic features, e.g.polyadenylation and splicing.",{'3': 'This antisense-BCMA RNA'}
27,EGRAM,"This antisense-BCMA RNA will be divergently transcribed from the same locus as BCMA, and exhibits mRNA characteristic features, e.g.polyadenylation and splicing.",{'3': 'This antisense-BCMA RNA'}
28,EGRAM,"This operon, activated by growth on glycolate, is efficiently transcribed as a single message and is under the positive control of GlcC encoded by a divergent gene.","{'0': 'glycolate', '1': 'This operon', '3': 'a single message'}"
29,EGRAM,"This operon, activated by growth on glycolate, may be transcribed as a single message and is under the positive control of GlcC encoded by a divergent gene.","{'0': 'glycolate', '1': 'This operon', '3': 'a single message'}"
30,EGRAM,"This operon, activated by growth on glycolate, may be transcribed as a single message and is under the positive control of GlcC encoded by a divergent gene.","{'0': 'glycolate', '1': 'This operon', '3': 'a single message'}"
31,EGRAM,glpTQ-glpACB operons of Escherichia coli K-12s can be transcribed by interaction at a distance between multiple operators.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
32,EGRAM,glpTQ-glpACB operons of Escherichia coli K-12s have the ability to be transcribed by interaction at a distance between multiple operators.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
33,EGRAM,glpTQ-glpACB operons of Escherichia coli K-12s will be transcribed by interaction at a distance between multiple operators.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
34,MEDLINE,"KLK14 is approximately 5.4 kb in length spanning seven exons and, by Northern blot analysis, transcribes two alternative transcripts present only in prostate (1.5 kb) and skeletal muscle (1.9 kb).","{'1': 'KLK14', '3': 'two alternative transcripts', '4': 'prostate (1.5 kb) and skeletal muscle (1.9 kb)'}"
35,PERMUTATE,Interaction at a distance between multiple operators controls the adjacent and divergently transcribes glpD and glpR of these two plasmids.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
36,PERMUTATE,Interaction at a distance between multiple operators controls the adjacent and has been shown to divergently transcribe the two genes of E. coli chromosome.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
37,PERMUTATE,"Interaction at a distance between multiple operators controls the adjacent, divergently transcribed glpD and glpR of these two plasmids.","{'1': 'glpD and glpR', '4': 'these two plasmids'}"
38,PERMUTATE,Interaction at a distance between multiple operators divergently transcribes glpD and glpR of these two plasmids.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
39,PERMUTATE,Interaction at a distance between multiple operators has been shown to divergently transcribe the two genes of E. coli chromosome.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
40,PERMUTATE,Restriction analysis of E. coli chromosome demonstrated that the two genes are able to be divergently transcribed.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
41,PERMUTATE,Restriction analysis of E. coli chromosome demonstrated that the two genes may be divergently transcribed.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
42,PERMUTATE,Restriction analysis of E. coli chromosome suggested that the two genes will be transcribed.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
43,PERMUTATE,Restriction analysis of Escherichia coli K-12s demonstrated that glpTQ-glpACB operons can be transcribed.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
44,PERMUTATE,Restriction analysis of Escherichia coli K-12s demonstrated that glpTQ-glpACB operons have been shown to be divergently transcribed.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
45,PERMUTATE,Restriction analysis of Escherichia coli K-12s suggested that glpTQ-glpACB operons are proven to be transcribed.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
46,PERMUTATE,Restriction endonuclease cleavage analysis of E. coli chromosome demonstrated that the two genes are able to be divergently transcribed.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
47,PERMUTATE,Restriction endonuclease cleavage analysis of Escherichia coli K-12s demonstrated that glpTQ-glpACB operons can be divergently transcribed.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
48,PERMUTATE,Restriction endonuclease cleavage analysis of Escherichia coli K-12s demonstrated that glpTQ-glpACB operons have been shown to be divergently transcribed.,"{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
49,PERMUTATE,"The fhlA gene resides next to the hydB gene at 59 min in the Escherichia coli K-12s, and glpTQ-glpACB operons may have been transcribed in opposite directions.","{'1': 'glpTQ-glpACB operons', '4': 'Escherichia coli K-12s'}"
50,PERMUTATE,"The fhlA gene resides next to the hydB gene at 59 min in the these two plasmids, and glpD and glpR are transcribed in opposite directions.","{'1': 'glpD and glpR', '4': 'these two plasmids'}"
51,PERMUTATE,"The fhlA gene resides next to the hydB gene at 59 min in the these two plasmids, and glpD and glpR may be interestingly interestingly transcribed in opposite directions.","{'1': 'glpD and glpR', '4': 'these two plasmids'}"
52,PERMUTATE,"The mRNAs can be formed by two divergently transcribed operons, the negative-strand RNAs.","{'1': 'the negative-strand RNAs', '3': 'mRNAs'}"
53,PERMUTATE,"The mRNAs is able to be formed by two divergently transcribed operons, the negative-strand RNAs.","{'1': 'the negative-strand RNAs', '3': 'mRNAs'}"
54,PERMUTATE,"The two alternative transcripts, responsible for the utilization of L-ascorbate in prostate (1.5 kb) and skeletal muscle (1.9 kb), may have been formed by two divergently transcribed operons, KLK14.","{'1': 'KLK14', '3': 'two alternative transcripts', '4': 'prostate (1.5 kb) and skeletal muscle (1.9 kb)'}"
55,PERMUTATE,a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP) is believe to transcribe The plastid genome in the presence of the transcription factor CDF2.,"{'0': 'a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP)', '1': 'The plastid genome'}"
56,PERMUTATE,a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP) is observed to transcribe The plastid genome in the presence of the transcription factor CDF2.,"{'0': 'a plastid-encoded prokaryotic-type RNA polymerase (PEP) and a nucleus-encoded phage-type RNA polymerase (NEP)', '1': 'The plastid genome'}"
57,PERMUTATE,glpD and glpR of these two plasmids are able to be divergently transcribed by interaction at a distance between multiple operators.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
58,PERMUTATE,glpD and glpR of these two plasmids are able to be transcribed by interaction at a distance between multiple operators.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
59,PERMUTATE,glpD and glpR of these two plasmids may have been transcribed by interaction at a distance between multiple operators.,"{'1': 'glpD and glpR', '4': 'these two plasmids'}"
60,PERMUTATE,the rrn operon may have been divergently transcribed by NEP-2.,"{'0': 'NEP-2', '1': 'the rrn operon'}"
61,PERMUTATE,the rrn operon was divergently transcribed by NEP-2.,"{'0': 'NEP-2', '1': 'the rrn operon'}"
62,PERMUTATE,the rrn operon will be transcribed by NEP-2.,"{'0': 'NEP-2', '1': 'the rrn operon'}"
63,PERMUTATE,the two genes of E. coli chromosome are observed to be divergently transcribed by interaction at a distance between multiple operators.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
64,PERMUTATE,the two genes of E. coli chromosome were divergently transcribed by interaction at a distance between multiple operators.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
65,PERMUTATE,the two genes of E. coli chromosome were transcribed by interaction at a distance between multiple operators.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
66,PERMUTATE,the two genes of E. coli chromosome will be transcribed by interaction at a distance between multiple operators.,"{'1': 'the two genes', '4': 'E. coli chromosome'}"
67,PERMUTATE,ulaG and ulaABCDEF is approximately 5.4 kb in length spanning seven exons and has been shown to divergently transcribe ula regulon present only in Escherichia coli.,"{'1': 'ulaG and ulaABCDEF', '3': 'ula regulon', '4': 'Escherichia coli'}"
68,PERMUTATE,ulaG and ulaABCDEF is approximately 5.4 kb in length spanning seven exons and is able to transcribe ula regulon present only in Escherichia coli.,"{'1': 'ulaG and ulaABCDEF', '3': 'ula regulon', '4': 'Escherichia coli'}"
69,PERMUTATE,ulaG and ulaABCDEF is approximately 5.4 kb in length spanning seven exons and is observed to transcribe ula regulon present only in Escherichia coli.,"{'1': 'ulaG and ulaABCDEF', '3': 'ula regulon', '4': 'Escherichia coli'}"
70,PERMUTATE,ulaG and ulaABCDEF is approximately 5.4 kb in length spanning seven exons and transcribed ula regulon present only in Escherichia coli.,"{'1': 'ulaG and ulaABCDEF', '3': 'ula regulon', '4': 'Escherichia coli'}"
71,PERMUTATE,"ulaG and ulaABCDEF is approximately 5.4 kb in length spanning seven exons and, by Northern blot analysis, will transcribe ula regulon present only in Escherichia coli.","{'1': 'ulaG and ulaABCDEF', '3': 'ula regulon', '4': 'Escherichia coli'}"
72,REPLACE,"Interaction at a distance between multiple operators is observed to divergently transcribe The gene, as our study predicted, of a large variety of organs and tissues.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
73,REPLACE,"Interaction at a distance between multiple operators may divergently transcribe The gene, as our study predicted, of a large variety of organs and tissues.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
74,REPLACE,"Restriction analysis of a large variety of organs and tissues demonstrated that The gene, as our study predicted, can be divergently transcribed.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
75,REPLACE,"Restriction analysis of a large variety of organs and tissues demonstrated that The gene, as our study predicted, have been shown to be transcribed.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
76,REPLACE,"Restriction analysis of a large variety of organs and tissues demonstrated that The gene, as our study predicted, will be transcribed.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
77,REPLACE,"Restriction analysis of a large variety of organs and tissues suggested that The gene, as our study predicted, are able to be transcribed.","{'1': 'The gene, as our study predicted,', '4': 'a large variety of organs and tissues'}"
