id,source,text,arguments
0,EGRAM,"Expression of recombinat proteins Full-lenght and C-terminal SBP2 constructs in pASK-IB7, as our study suggested, are transformed into Escherichia coli BL21 (Promega)","{'0': 'Expression of recombinat proteins Full-lenght and C-terminal SBP2 constructs in pASK-IB7', '1': 'Escherichia coli BL21 (Promega)'}"
1,EGRAM,Expression plasmids of the combinations indicated (central panel) are observed to be efficiently transformed into yeast and selected for by growth on plates lacking leucine and tryptophan (left panel).,"{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
2,EGRAM,"Expression plasmids of the combinations indicated (central panel), however, are transformed into yeast and selected for by growth on plates lacking leucine and tryptophan (left panel).","{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
3,EGRAM,The DNA of budded viruses (BVs) can be used to transform E.coli.,"{'0': 'The DNA of budded viruses', '1': 'E.coli'}"
4,EGRAM,The DNA of budded viruses (BVs) is observed to be used to transform E.coli.,"{'0': 'The DNA of budded viruses', '1': 'E.coli'}"
5,EGRAM,"The DNA of budded viruses, as we mentioned earlier, is likely to be used to completely transform E.coli.","{'0': 'The DNA of budded viruses', '1': 'E.coli'}"
6,EGRAM,"To generate GST fusion proteins, the relevant DNA fragments are cloned into pGex2T(Pharmacia) and transformed into the bacterial strains BL21 or TOPP (Stratagene).","{'0': 'the relevant DNA fragments', '1': 'the bacterial strains BL21 or TOPP (Stratagene)'}"
7,MEDLINE,The DNA of budded viruses (BVs) was used to transform E.coli.,"{'0': 'The DNA of budded viruses', '1': 'E.coli'}"
8,PERMUTATE,Expression plasmids of the combinations indicated (central panel) (BVs) has been used to completely transform yeast.,"{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
9,PERMUTATE,Expression plasmids of the combinations indicated (central panel) are able to be transformed into yeast,"{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
10,PERMUTATE,"Expression plasmids of the combinations indicated (central panel), as our study suggested, are specifically transformed into yeast","{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
11,PERMUTATE,"Expression plasmids of the combinations indicated (central panel), as our study suggested, are specifically transformed into yeast","{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
12,PERMUTATE,"For expression of the recombinant protein, Expression plasmids of the combinations indicated (central panel) was transformed into yeast.","{'0': 'Expression plasmids of the combinations indicated (central panel)', '1': 'yeast'}"
13,PERMUTATE,The DNA of budded viruses have the ability to be efficiently transformed into E.coli and selected for by growth on plates lacking leucine and tryptophan (left panel).,"{'0': 'The DNA of budded viruses', '1': 'E.coli'}"
14,PERMUTATE,This construct (BVs) is likely to be used to transform the yeast strain HF7c (Clontech).,"{'0': 'This construct', '1': 'the yeast strain HF7c (Clontech)'}"
