id,source,text,arguments
0,EGRAM,C-terminally truncated Stat5a proteins that can be remarkably truncated at amino acids 762 or 773 had no effect on the induction of either gene.,"{'1': 'C-terminally truncated Stat5a proteins', '3': 'amino acids 762 or 773'}"
1,EGRAM,C-terminally truncated Stat5a proteins that have been shown to be remarkably truncated at amino acids 762 or 773 had no effect on the induction of either gene.,"{'1': 'C-terminally truncated Stat5a proteins', '3': 'amino acids 762 or 773'}"
2,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contained the BCL6 zinc fingers and has been shown to be remarkably truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
3,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contained the BCL6 zinc fingers and was remarkably truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
4,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contains the BCL6 zinc fingers and is likely to be remarkably truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
5,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contains the BCL6 zinc fingers and may be remarkably truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
6,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contains the BCL6 zinc fingers and may be truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
7,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contains the BCL6 zinc fingers and may be truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
8,EGRAM,Electrophoretic mobility shift assays showed that the full-length BCL6 protein extracted from transfected COS cells and a bacterially expressed protein that contains the BCL6 zinc fingers and will be truncated can bind specifically to DNA from the U3 promoter/enhancer region of HIV-1.,{'1': 'a bacterially expressed protein'}
9,EGRAM,"Frameshift SOX9 mutations actually truncated its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
10,EGRAM,"Frameshift SOX9 mutations can actually truncate its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
11,EGRAM,"Frameshift SOX9 mutations have been shown to actually truncate its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
12,EGRAM,"Frameshift SOX9 mutations truncated its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
13,EGRAM,"Frameshift SOX9 mutations will truncate its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
14,EGRAM,"Frameshift SOX9 mutations, as our data show, are able to actually truncate its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
15,EGRAM,"Frameshift SOX9 mutations, as our data show, have been shown to actually truncate its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
16,EGRAM,"Frameshift SOX9 mutations, as our data show, have the probability of actually truncating its two activation domains, while all missense mutations reported to date lie in the high mobility group (HMG) DNA-binding domain.",{'0': 'Frameshift SOX9 mutations'}
