arg,dependency,count
0,nsubj,53
0,ROOT,3
0,dobj,42
0,punct,6
0,nummod,0
0,nsubjpass,36
0,auxpass,6
0,agent,4
0,prep,8
0,cc,12
0,conj,4
0,advmod,4
0,aux,4
0,advcl,0
0,neg,4
0,acomp,0
0,csubj,0
0,npadvmod,0
0,ccomp,1
0,det,2
0,xcomp,0
0,compound,1
0,relcl,0
1,nsubj,53
1,ROOT,3
1,dobj,42
1,punct,6
1,nummod,0
1,nsubjpass,36
1,auxpass,6
1,agent,4
1,prep,8
1,cc,12
1,conj,4
1,advmod,4
1,aux,4
1,advcl,0
1,neg,4
1,acomp,0
1,csubj,0
1,npadvmod,0
1,ccomp,1
1,det,2
1,xcomp,0
1,compound,1
1,relcl,0
M-NEG,nsubj,53
M-NEG,ROOT,3
M-NEG,dobj,42
M-NEG,punct,6
M-NEG,nummod,0
M-NEG,nsubjpass,36
M-NEG,auxpass,6
M-NEG,agent,4
M-NEG,prep,8
M-NEG,cc,12
M-NEG,conj,4
M-NEG,advmod,4
M-NEG,aux,4
M-NEG,advcl,0
M-NEG,neg,4
M-NEG,acomp,0
M-NEG,csubj,0
M-NEG,npadvmod,0
M-NEG,ccomp,1
M-NEG,det,2
M-NEG,xcomp,0
M-NEG,compound,1
M-NEG,relcl,0
M-ADV,nsubj,53
M-ADV,ROOT,3
M-ADV,dobj,42
M-ADV,punct,6
M-ADV,nummod,0
M-ADV,nsubjpass,36
M-ADV,auxpass,6
M-ADV,agent,4
M-ADV,prep,8
M-ADV,cc,12
M-ADV,conj,4
M-ADV,advmod,4
M-ADV,aux,4
M-ADV,advcl,0
M-ADV,neg,4
M-ADV,acomp,0
M-ADV,csubj,0
M-ADV,npadvmod,0
M-ADV,ccomp,1
M-ADV,det,2
M-ADV,xcomp,0
M-ADV,compound,1
M-ADV,relcl,0
