arg,dependency,count
0,prep,9
0,punct,4
0,nsubj,26
0,ROOT,6
0,ccomp,2
0,advmod,1
0,attr,0
0,neg,4
0,acomp,0
0,advcl,0
0,aux,0
0,dobj,37
0,nsubjpass,12
0,auxpass,3
0,agent,1
0,xcomp,0
0,npadvmod,19
0,cc,6
0,conj,4
0,mark,0
0,csubj,1
1,prep,9
1,punct,4
1,nsubj,26
1,ROOT,6
1,ccomp,2
1,advmod,1
1,attr,0
1,neg,4
1,acomp,0
1,advcl,0
1,aux,0
1,dobj,37
1,nsubjpass,12
1,auxpass,3
1,agent,1
1,xcomp,0
1,npadvmod,19
1,cc,6
1,conj,4
1,mark,0
1,csubj,1
2,prep,9
2,punct,4
2,nsubj,26
2,ROOT,6
2,ccomp,2
2,advmod,1
2,attr,0
2,neg,4
2,acomp,0
2,advcl,0
2,aux,0
2,dobj,37
2,nsubjpass,12
2,auxpass,3
2,agent,1
2,xcomp,0
2,npadvmod,19
2,cc,6
2,conj,4
2,mark,0
2,csubj,1
M-NEG,prep,9
M-NEG,punct,4
M-NEG,nsubj,26
M-NEG,ROOT,6
M-NEG,ccomp,2
M-NEG,advmod,1
M-NEG,attr,0
M-NEG,neg,4
M-NEG,acomp,0
M-NEG,advcl,0
M-NEG,aux,0
M-NEG,dobj,37
M-NEG,nsubjpass,12
M-NEG,auxpass,3
M-NEG,agent,1
M-NEG,xcomp,0
M-NEG,npadvmod,19
M-NEG,cc,6
M-NEG,conj,4
M-NEG,mark,0
M-NEG,csubj,1
M-MOD,prep,9
M-MOD,punct,4
M-MOD,nsubj,26
M-MOD,ROOT,6
M-MOD,ccomp,2
M-MOD,advmod,1
M-MOD,attr,0
M-MOD,neg,4
M-MOD,acomp,0
M-MOD,advcl,0
M-MOD,aux,0
M-MOD,dobj,37
M-MOD,nsubjpass,12
M-MOD,auxpass,3
M-MOD,agent,1
M-MOD,xcomp,0
M-MOD,npadvmod,19
M-MOD,cc,6
M-MOD,conj,4
M-MOD,mark,0
M-MOD,csubj,1
