arg,dependency,count
1,nsubj,17
1,ROOT,5
1,dobj,5
1,npadvmod,1
1,cc,1
1,conj,2
1,punct,15
1,nsubjpass,17
1,aux,1
1,auxpass,0
1,advcl,0
1,prep,0
1,xcomp,0
1,agent,0
1,advmod,1
1,csubj,0
1,dep,6
1,acomp,0
1,ccomp,0
1,oprd,1
1,appos,6
1,det,4
1,compound,2
1,acl,0
1,mark,0
1,amod,0
1,relcl,0
1,nummod,2
0,nsubj,17
0,ROOT,5
0,dobj,5
0,npadvmod,1
0,cc,1
0,conj,2
0,punct,15
0,nsubjpass,17
0,aux,1
0,auxpass,0
0,advcl,0
0,prep,0
0,xcomp,0
0,agent,0
0,advmod,1
0,csubj,0
0,dep,6
0,acomp,0
0,ccomp,0
0,oprd,1
0,appos,6
0,det,4
0,compound,2
0,acl,0
0,mark,0
0,amod,0
0,relcl,0
0,nummod,2
M-MOD,nsubj,17
M-MOD,ROOT,5
M-MOD,dobj,5
M-MOD,npadvmod,1
M-MOD,cc,1
M-MOD,conj,2
M-MOD,punct,15
M-MOD,nsubjpass,17
M-MOD,aux,1
M-MOD,auxpass,0
M-MOD,advcl,0
M-MOD,prep,0
M-MOD,xcomp,0
M-MOD,agent,0
M-MOD,advmod,1
M-MOD,csubj,0
M-MOD,dep,6
M-MOD,acomp,0
M-MOD,ccomp,0
M-MOD,oprd,1
M-MOD,appos,6
M-MOD,det,4
M-MOD,compound,2
M-MOD,acl,0
M-MOD,mark,0
M-MOD,amod,0
M-MOD,relcl,0
M-MOD,nummod,2
