arg,dependency,count
0,nsubjpass,11
0,auxpass,5
0,ROOT,16
0,prep,19
0,punct,6
0,aux,0
0,det,4
0,amod,2
0,relcl,0
0,compound,6
0,acl,0
0,nsubj,29
0,cc,2
0,conj,0
0,dobj,15
0,advmod,5
0,ccomp,0
0,acomp,0
0,advcl,0
0,xcomp,0
0,csubj,0
0,agent,0
1,nsubjpass,11
1,auxpass,5
1,ROOT,16
1,prep,19
1,punct,6
1,aux,0
1,det,4
1,amod,2
1,relcl,0
1,compound,6
1,acl,0
1,nsubj,29
1,cc,2
1,conj,0
1,dobj,15
1,advmod,5
1,ccomp,0
1,acomp,0
1,advcl,0
1,xcomp,0
1,csubj,0
1,agent,0
R,nsubjpass,11
R,auxpass,5
R,ROOT,16
R,prep,19
R,punct,6
R,aux,0
R,det,4
R,amod,2
R,relcl,0
R,compound,6
R,acl,0
R,nsubj,29
R,cc,2
R,conj,0
R,dobj,15
R,advmod,5
R,ccomp,0
R,acomp,0
R,advcl,0
R,xcomp,0
R,csubj,0
R,agent,0
M-NEG,nsubjpass,11
M-NEG,auxpass,5
M-NEG,ROOT,16
M-NEG,prep,19
M-NEG,punct,6
M-NEG,aux,0
M-NEG,det,4
M-NEG,amod,2
M-NEG,relcl,0
M-NEG,compound,6
M-NEG,acl,0
M-NEG,nsubj,29
M-NEG,cc,2
M-NEG,conj,0
M-NEG,dobj,15
M-NEG,advmod,5
M-NEG,ccomp,0
M-NEG,acomp,0
M-NEG,advcl,0
M-NEG,xcomp,0
M-NEG,csubj,0
M-NEG,agent,0
2,nsubjpass,11
2,auxpass,5
2,ROOT,16
2,prep,19
2,punct,6
2,aux,0
2,det,4
2,amod,2
2,relcl,0
2,compound,6
2,acl,0
2,nsubj,29
2,cc,2
2,conj,0
2,dobj,15
2,advmod,5
2,ccomp,0
2,acomp,0
2,advcl,0
2,xcomp,0
2,csubj,0
2,agent,0
