arg,dependency,count
0,nsubj,85
0,ROOT,13
0,dobj,77
0,punct,38
0,advcl,1
0,nsubjpass,53
0,auxpass,2
0,prep,16
0,xcomp,0
0,ccomp,0
0,nummod,0
0,agent,6
0,cc,7
0,conj,7
0,aux,0
0,acomp,0
0,csubj,0
0,neg,6
0,advmod,0
0,parataxis,1
0,npadvmod,0
0,det,1
0,amod,9
0,dep,1
0,acl,0
1,nsubj,85
1,ROOT,13
1,dobj,77
1,punct,38
1,advcl,1
1,nsubjpass,53
1,auxpass,2
1,prep,16
1,xcomp,0
1,ccomp,0
1,nummod,0
1,agent,6
1,cc,7
1,conj,7
1,aux,0
1,acomp,0
1,csubj,0
1,neg,6
1,advmod,0
1,parataxis,1
1,npadvmod,0
1,det,1
1,amod,9
1,dep,1
1,acl,0
