arg,dependency,count
0,csubj,0
0,ROOT,1
0,acomp,1
0,punct,13
0,nsubj,15
0,dobj,11
0,conj,0
0,csubjpass,0
0,aux,0
0,auxpass,2
0,cc,4
0,nsubjpass,67
0,prep,13
0,xcomp,0
0,agent,0
0,advmod,14
0,ccomp,3
0,advcl,0
0,dep,2
1,csubj,0
1,ROOT,1
1,acomp,1
1,punct,13
1,nsubj,15
1,dobj,11
1,conj,0
1,csubjpass,0
1,aux,0
1,auxpass,2
1,cc,4
1,nsubjpass,67
1,prep,13
1,xcomp,0
1,agent,0
1,advmod,14
1,ccomp,3
1,advcl,0
1,dep,2
M-ADV,csubj,0
M-ADV,ROOT,1
M-ADV,acomp,1
M-ADV,punct,13
M-ADV,nsubj,15
M-ADV,dobj,11
M-ADV,conj,0
M-ADV,csubjpass,0
M-ADV,aux,0
M-ADV,auxpass,2
M-ADV,cc,4
M-ADV,nsubjpass,67
M-ADV,prep,13
M-ADV,xcomp,0
M-ADV,agent,0
M-ADV,advmod,14
M-ADV,ccomp,3
M-ADV,advcl,0
M-ADV,dep,2
M-MAN,csubj,0
M-MAN,ROOT,1
M-MAN,acomp,1
M-MAN,punct,13
M-MAN,nsubj,15
M-MAN,dobj,11
M-MAN,conj,0
M-MAN,csubjpass,0
M-MAN,aux,0
M-MAN,auxpass,2
M-MAN,cc,4
M-MAN,nsubjpass,67
M-MAN,prep,13
M-MAN,xcomp,0
M-MAN,agent,0
M-MAN,advmod,14
M-MAN,ccomp,3
M-MAN,advcl,0
M-MAN,dep,2
