arg,dependency,count
0,nsubjpass,59
0,punct,19
0,aux,1
0,auxpass,0
0,ROOT,19
0,agent,0
0,cc,0
0,conj,4
0,prep,19
0,nsubj,47
0,dobj,43
0,advcl,6
0,expl,0
0,attr,2
0,acomp,5
0,amod,1
0,ccomp,10
0,xcomp,0
0,pobj,0
0,det,1
0,compound,2
0,csubj,2
0,parataxis,1
0,appos,1
0,dep,1
0,npadvmod,0
0,acl,0
1,nsubjpass,59
1,punct,19
1,aux,1
1,auxpass,0
1,ROOT,19
1,agent,0
1,cc,0
1,conj,4
1,prep,19
1,nsubj,47
1,dobj,43
1,advcl,6
1,expl,0
1,attr,2
1,acomp,5
1,amod,1
1,ccomp,10
1,xcomp,0
1,pobj,0
1,det,1
1,compound,2
1,csubj,2
1,parataxis,1
1,appos,1
1,dep,1
1,npadvmod,0
1,acl,0
M-NEG,nsubjpass,59
M-NEG,punct,19
M-NEG,aux,1
M-NEG,auxpass,0
M-NEG,ROOT,19
M-NEG,agent,0
M-NEG,cc,0
M-NEG,conj,4
M-NEG,prep,19
M-NEG,nsubj,47
M-NEG,dobj,43
M-NEG,advcl,6
M-NEG,expl,0
M-NEG,attr,2
M-NEG,acomp,5
M-NEG,amod,1
M-NEG,ccomp,10
M-NEG,xcomp,0
M-NEG,pobj,0
M-NEG,det,1
M-NEG,compound,2
M-NEG,csubj,2
M-NEG,parataxis,1
M-NEG,appos,1
M-NEG,dep,1
M-NEG,npadvmod,0
M-NEG,acl,0
