arg,dependency,count
0,nsubjpass,30
0,aux,0
0,auxpass,0
0,ROOT,11
0,agent,4
0,prep,21
0,punct,9
0,advcl,3
0,dep,0
0,advmod,0
0,nsubj,20
0,acomp,0
0,conj,1
0,dobj,26
0,cc,0
0,ccomp,0
0,attr,0
0,npadvmod,0
0,xcomp,4
0,relcl,0
1,nsubjpass,30
1,aux,0
1,auxpass,0
1,ROOT,11
1,agent,4
1,prep,21
1,punct,9
1,advcl,3
1,dep,0
1,advmod,0
1,nsubj,20
1,acomp,0
1,conj,1
1,dobj,26
1,cc,0
1,ccomp,0
1,attr,0
1,npadvmod,0
1,xcomp,4
1,relcl,0
4,nsubjpass,30
4,aux,0
4,auxpass,0
4,ROOT,11
4,agent,4
4,prep,21
4,punct,9
4,advcl,3
4,dep,0
4,advmod,0
4,nsubj,20
4,acomp,0
4,conj,1
4,dobj,26
4,cc,0
4,ccomp,0
4,attr,0
4,npadvmod,0
4,xcomp,4
4,relcl,0
2,nsubjpass,30
2,aux,0
2,auxpass,0
2,ROOT,11
2,agent,4
2,prep,21
2,punct,9
2,advcl,3
2,dep,0
2,advmod,0
2,nsubj,20
2,acomp,0
2,conj,1
2,dobj,26
2,cc,0
2,ccomp,0
2,attr,0
2,npadvmod,0
2,xcomp,4
2,relcl,0
3,nsubjpass,30
3,aux,0
3,auxpass,0
3,ROOT,11
3,agent,4
3,prep,21
3,punct,9
3,advcl,3
3,dep,0
3,advmod,0
3,nsubj,20
3,acomp,0
3,conj,1
3,dobj,26
3,cc,0
3,ccomp,0
3,attr,0
3,npadvmod,0
3,xcomp,4
3,relcl,0
M-ADV,nsubjpass,30
M-ADV,aux,0
M-ADV,auxpass,0
M-ADV,ROOT,11
M-ADV,agent,4
M-ADV,prep,21
M-ADV,punct,9
M-ADV,advcl,3
M-ADV,dep,0
M-ADV,advmod,0
M-ADV,nsubj,20
M-ADV,acomp,0
M-ADV,conj,1
M-ADV,dobj,26
M-ADV,cc,0
M-ADV,ccomp,0
M-ADV,attr,0
M-ADV,npadvmod,0
M-ADV,xcomp,4
M-ADV,relcl,0
