arg,dependency,count
0,nsubj,21
0,ROOT,0
0,acomp,0
0,punct,0
0,nsubjpass,24
0,auxpass,1
0,xcomp,0
0,ccomp,0
0,dobj,33
0,cc,0
0,conj,1
0,aux,0
0,advmod,0
0,prep,28
0,advcl,0
0,npadvmod,0
0,neg,1
0,csubjpass,0
0,agent,0
0,relcl,0
1,nsubj,21
1,ROOT,0
1,acomp,0
1,punct,0
1,nsubjpass,24
1,auxpass,1
1,xcomp,0
1,ccomp,0
1,dobj,33
1,cc,0
1,conj,1
1,aux,0
1,advmod,0
1,prep,28
1,advcl,0
1,npadvmod,0
1,neg,1
1,csubjpass,0
1,agent,0
1,relcl,0
M-ADV,nsubj,21
M-ADV,ROOT,0
M-ADV,acomp,0
M-ADV,punct,0
M-ADV,nsubjpass,24
M-ADV,auxpass,1
M-ADV,xcomp,0
M-ADV,ccomp,0
M-ADV,dobj,33
M-ADV,cc,0
M-ADV,conj,1
M-ADV,aux,0
M-ADV,advmod,0
M-ADV,prep,28
M-ADV,advcl,0
M-ADV,npadvmod,0
M-ADV,neg,1
M-ADV,csubjpass,0
M-ADV,agent,0
M-ADV,relcl,0
M-NEG,nsubj,21
M-NEG,ROOT,0
M-NEG,acomp,0
M-NEG,punct,0
M-NEG,nsubjpass,24
M-NEG,auxpass,1
M-NEG,xcomp,0
M-NEG,ccomp,0
M-NEG,dobj,33
M-NEG,cc,0
M-NEG,conj,1
M-NEG,aux,0
M-NEG,advmod,0
M-NEG,prep,28
M-NEG,advcl,0
M-NEG,npadvmod,0
M-NEG,neg,1
M-NEG,csubjpass,0
M-NEG,agent,0
M-NEG,relcl,0
