arg,dependency,count
1,nsubjpass,18
1,aux,0
1,auxpass,1
1,ROOT,3
1,xcomp,7
1,punct,23
1,nsubj,10
1,dobj,5
1,cc,0
1,conj,6
1,advmod,10
1,agent,8
1,npadvmod,12
1,ccomp,1
1,acomp,0
1,advcl,1
1,prep,2
0,nsubjpass,18
0,aux,0
0,auxpass,1
0,ROOT,3
0,xcomp,7
0,punct,23
0,nsubj,10
0,dobj,5
0,cc,0
0,conj,6
0,advmod,10
0,agent,8
0,npadvmod,12
0,ccomp,1
0,acomp,0
0,advcl,1
0,prep,2
2,nsubjpass,18
2,aux,0
2,auxpass,1
2,ROOT,3
2,xcomp,7
2,punct,23
2,nsubj,10
2,dobj,5
2,cc,0
2,conj,6
2,advmod,10
2,agent,8
2,npadvmod,12
2,ccomp,1
2,acomp,0
2,advcl,1
2,prep,2
3,nsubjpass,18
3,aux,0
3,auxpass,1
3,ROOT,3
3,xcomp,7
3,punct,23
3,nsubj,10
3,dobj,5
3,cc,0
3,conj,6
3,advmod,10
3,agent,8
3,npadvmod,12
3,ccomp,1
3,acomp,0
3,advcl,1
3,prep,2
M-ADV,nsubjpass,18
M-ADV,aux,0
M-ADV,auxpass,1
M-ADV,ROOT,3
M-ADV,xcomp,7
M-ADV,punct,23
M-ADV,nsubj,10
M-ADV,dobj,5
M-ADV,cc,0
M-ADV,conj,6
M-ADV,advmod,10
M-ADV,agent,8
M-ADV,npadvmod,12
M-ADV,ccomp,1
M-ADV,acomp,0
M-ADV,advcl,1
M-ADV,prep,2
M-MOD,nsubjpass,18
M-MOD,aux,0
M-MOD,auxpass,1
M-MOD,ROOT,3
M-MOD,xcomp,7
M-MOD,punct,23
M-MOD,nsubj,10
M-MOD,dobj,5
M-MOD,cc,0
M-MOD,conj,6
M-MOD,advmod,10
M-MOD,agent,8
M-MOD,npadvmod,12
M-MOD,ccomp,1
M-MOD,acomp,0
M-MOD,advcl,1
M-MOD,prep,2
