arg,dependency,count
0,nsubjpass,61
0,aux,0
0,auxpass,7
0,ROOT,21
0,agent,0
0,advcl,0
0,punct,22
0,advmod,0
0,nsubj,104
0,dobj,121
0,ccomp,0
0,acomp,0
0,xcomp,14
0,conj,7
0,dep,0
0,cc,14
0,prep,133
0,csubj,0
0,csubjpass,0
0,attr,1
0,npadvmod,0
0,neg,0
0,parataxis,0
0,det,0
0,compound,19
0,acl,0
0,nmod,1
0,nummod,1
0,amod,0
0,relcl,0
1,nsubjpass,61
1,aux,0
1,auxpass,7
1,ROOT,21
1,agent,0
1,advcl,0
1,punct,22
1,advmod,0
1,nsubj,104
1,dobj,121
1,ccomp,0
1,acomp,0
1,xcomp,14
1,conj,7
1,dep,0
1,cc,14
1,prep,133
1,csubj,0
1,csubjpass,0
1,attr,1
1,npadvmod,0
1,neg,0
1,parataxis,0
1,det,0
1,compound,19
1,acl,0
1,nmod,1
1,nummod,1
1,amod,0
1,relcl,0
2,nsubjpass,61
2,aux,0
2,auxpass,7
2,ROOT,21
2,agent,0
2,advcl,0
2,punct,22
2,advmod,0
2,nsubj,104
2,dobj,121
2,ccomp,0
2,acomp,0
2,xcomp,14
2,conj,7
2,dep,0
2,cc,14
2,prep,133
2,csubj,0
2,csubjpass,0
2,attr,1
2,npadvmod,0
2,neg,0
2,parataxis,0
2,det,0
2,compound,19
2,acl,0
2,nmod,1
2,nummod,1
2,amod,0
2,relcl,0
