arg,dependency,count
0,nsubj,71
0,prep,0
0,ROOT,2
0,acomp,0
0,punct,32
0,nsubjpass,30
0,auxpass,0
0,xcomp,0
0,aux,1
0,advmod,0
0,advcl,17
0,dobj,0
0,amod,4
0,compound,2
0,relcl,0
0,acl,0
0,csubj,0
0,cc,3
0,conj,0
0,pcomp,2
0,pobj,0
0,agent,0
0,ccomp,0
0,expl,0
0,attr,0
1,nsubj,71
1,prep,0
1,ROOT,2
1,acomp,0
1,punct,32
1,nsubjpass,30
1,auxpass,0
1,xcomp,0
1,aux,1
1,advmod,0
1,advcl,17
1,dobj,0
1,amod,4
1,compound,2
1,relcl,0
1,acl,0
1,csubj,0
1,cc,3
1,conj,0
1,pcomp,2
1,pobj,0
1,agent,0
1,ccomp,0
1,expl,0
1,attr,0
