arg,dependency,count
0,advmod,4
0,nsubj,21
0,ROOT,4
0,punct,4
0,nsubjpass,26
0,auxpass,2
0,prep,11
0,aux,0
0,advcl,0
0,dobj,12
0,attr,0
0,cc,0
0,conj,0
0,mark,0
0,acomp,0
0,agent,0
0,ccomp,4
0,neg,5
1,advmod,4
1,nsubj,21
1,ROOT,4
1,punct,4
1,nsubjpass,26
1,auxpass,2
1,prep,11
1,aux,0
1,advcl,0
1,dobj,12
1,attr,0
1,cc,0
1,conj,0
1,mark,0
1,acomp,0
1,agent,0
1,ccomp,4
1,neg,5
M-NEG,advmod,4
M-NEG,nsubj,21
M-NEG,ROOT,4
M-NEG,punct,4
M-NEG,nsubjpass,26
M-NEG,auxpass,2
M-NEG,prep,11
M-NEG,aux,0
M-NEG,advcl,0
M-NEG,dobj,12
M-NEG,attr,0
M-NEG,cc,0
M-NEG,conj,0
M-NEG,mark,0
M-NEG,acomp,0
M-NEG,agent,0
M-NEG,ccomp,4
M-NEG,neg,5
