arg,dependency,count
0,nsubjpass,34
0,auxpass,2
0,ROOT,4
0,agent,0
0,punct,14
0,nsubj,141
0,aux,0
0,prep,136
0,dobj,29
0,acomp,2
0,xcomp,0
0,advcl,8
0,parataxis,2
0,neg,0
0,npadvmod,1
0,ccomp,3
0,advmod,2
0,compound,0
0,appos,3
0,csubj,0
0,cc,0
0,conj,0
0,attr,0
1,nsubjpass,34
1,auxpass,2
1,ROOT,4
1,agent,0
1,punct,14
1,nsubj,141
1,aux,0
1,prep,136
1,dobj,29
1,acomp,2
1,xcomp,0
1,advcl,8
1,parataxis,2
1,neg,0
1,npadvmod,1
1,ccomp,3
1,advmod,2
1,compound,0
1,appos,3
1,csubj,0
1,cc,0
1,conj,0
1,attr,0
