arg,dependency,count
0,nsubjpass,19
0,aux,0
0,auxpass,0
0,ROOT,0
0,xcomp,0
0,punct,2
0,nsubj,48
0,dobj,36
0,acomp,0
0,advmod,0
0,agent,0
0,cc,0
0,conj,6
0,prep,15
0,npadvmod,3
0,advcl,0
0,dep,0
0,ccomp,0
1,nsubjpass,19
1,aux,0
1,auxpass,0
1,ROOT,0
1,xcomp,0
1,punct,2
1,nsubj,48
1,dobj,36
1,acomp,0
1,advmod,0
1,agent,0
1,cc,0
1,conj,6
1,prep,15
1,npadvmod,3
1,advcl,0
1,dep,0
1,ccomp,0
R,nsubjpass,19
R,aux,0
R,auxpass,0
R,ROOT,0
R,xcomp,0
R,punct,2
R,nsubj,48
R,dobj,36
R,acomp,0
R,advmod,0
R,agent,0
R,cc,0
R,conj,6
R,prep,15
R,npadvmod,3
R,advcl,0
R,dep,0
R,ccomp,0
