arg,dependency,count
0,nsubjpass,108
0,aux,0
0,auxpass,0
0,ROOT,0
0,ccomp,0
0,punct,0
0,advcl,0
0,xcomp,0
0,nsubj,33
0,dobj,26
0,acomp,0
0,advmod,0
0,parataxis,0
0,prep,32
0,cc,0
0,conj,0
0,neg,0
3,nsubjpass,108
3,aux,0
3,auxpass,0
3,ROOT,0
3,ccomp,0
3,punct,0
3,advcl,0
3,xcomp,0
3,nsubj,33
3,dobj,26
3,acomp,0
3,advmod,0
3,parataxis,0
3,prep,32
3,cc,0
3,conj,0
3,neg,0
2,nsubjpass,108
2,aux,0
2,auxpass,0
2,ROOT,0
2,ccomp,0
2,punct,0
2,advcl,0
2,xcomp,0
2,nsubj,33
2,dobj,26
2,acomp,0
2,advmod,0
2,parataxis,0
2,prep,32
2,cc,0
2,conj,0
2,neg,0
