arg,dependency,count
1,nsubj,96
1,aux,0
1,advmod,18
1,ROOT,18
1,ccomp,7
1,dobj,14
1,cc,34
1,conj,23
1,punct,92
1,nsubjpass,179
1,auxpass,12
1,xcomp,0
1,acomp,0
1,advcl,6
1,attr,27
1,prep,0
1,parataxis,4
1,agent,0
4,nsubj,96
4,aux,0
4,advmod,18
4,ROOT,18
4,ccomp,7
4,dobj,14
4,cc,34
4,conj,23
4,punct,92
4,nsubjpass,179
4,auxpass,12
4,xcomp,0
4,acomp,0
4,advcl,6
4,attr,27
4,prep,0
4,parataxis,4
4,agent,0
3,nsubj,96
3,aux,0
3,advmod,18
3,ROOT,18
3,ccomp,7
3,dobj,14
3,cc,34
3,conj,23
3,punct,92
3,nsubjpass,179
3,auxpass,12
3,xcomp,0
3,acomp,0
3,advcl,6
3,attr,27
3,prep,0
3,parataxis,4
3,agent,0
0,nsubj,96
0,aux,0
0,advmod,18
0,ROOT,18
0,ccomp,7
0,dobj,14
0,cc,34
0,conj,23
0,punct,92
0,nsubjpass,179
0,auxpass,12
0,xcomp,0
0,acomp,0
0,advcl,6
0,attr,27
0,prep,0
0,parataxis,4
0,agent,0
2,nsubj,96
2,aux,0
2,advmod,18
2,ROOT,18
2,ccomp,7
2,dobj,14
2,cc,34
2,conj,23
2,punct,92
2,nsubjpass,179
2,auxpass,12
2,xcomp,0
2,acomp,0
2,advcl,6
2,attr,27
2,prep,0
2,parataxis,4
2,agent,0
