arg,dependency,count
0,advmod,17
0,punct,53
0,advcl,21
0,aux,2
0,ROOT,8
0,dobj,16
0,prep,0
0,nsubj,31
0,auxpass,8
0,xcomp,0
0,acomp,0
0,nsubjpass,68
0,parataxis,3
0,ccomp,0
1,advmod,17
1,punct,53
1,advcl,21
1,aux,2
1,ROOT,8
1,dobj,16
1,prep,0
1,nsubj,31
1,auxpass,8
1,xcomp,0
1,acomp,0
1,nsubjpass,68
1,parataxis,3
1,ccomp,0
M-MOD,advmod,17
M-MOD,punct,53
M-MOD,advcl,21
M-MOD,aux,2
M-MOD,ROOT,8
M-MOD,dobj,16
M-MOD,prep,0
M-MOD,nsubj,31
M-MOD,auxpass,8
M-MOD,xcomp,0
M-MOD,acomp,0
M-MOD,nsubjpass,68
M-MOD,parataxis,3
M-MOD,ccomp,0
