arg,dependency,count
1,nsubj,46
1,ROOT,5
1,dobj,21
1,punct,36
1,ccomp,1
1,advmod,0
1,advcl,0
1,aux,0
1,nsubjpass,22
1,auxpass,0
1,xcomp,0
1,compound,5
1,det,0
1,acl,0
1,prep,20
1,conj,2
1,agent,0
1,cc,1
1,acomp,0
1,csubj,0
3,nsubj,46
3,ROOT,5
3,dobj,21
3,punct,36
3,ccomp,1
3,advmod,0
3,advcl,0
3,aux,0
3,nsubjpass,22
3,auxpass,0
3,xcomp,0
3,compound,5
3,det,0
3,acl,0
3,prep,20
3,conj,2
3,agent,0
3,cc,1
3,acomp,0
3,csubj,0
0,nsubj,46
0,ROOT,5
0,dobj,21
0,punct,36
0,ccomp,1
0,advmod,0
0,advcl,0
0,aux,0
0,nsubjpass,22
0,auxpass,0
0,xcomp,0
0,compound,5
0,det,0
0,acl,0
0,prep,20
0,conj,2
0,agent,0
0,cc,1
0,acomp,0
0,csubj,0
